atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
57.03	La	IV	344.12	100.0	0.0011	NIST	L4562
57.03	La	IV	453.5	7000.0	0.0737	NIST	L4562
57.03	La	IV	463.14	10000.0	0.1053	NIST	L4562
57.03	La	IV	499.54	15000.0	0.1579	NIST	L4562
57.03	La	IV	552.02	40000.0	0.4211	NIST	L4562
57.03	La	IV	631.26	30000.0	0.3158	NIST	L4562
57.03	La	IV	724.92	25.0	0.0003	NIST	L4562
57.03	La	IV	733.29	15.0	0.0002	NIST	L4562
57.03	La	IV	797.03	10.0	0.0001	NIST	L4562
57.03	La	IV	980.03	10.0	0.0001	NIST	L4562
57.03	La	IV	1039.3	50.0	0.0005	NIST	L4562
57.03	La	IV	1062.09	60.0	0.0006	NIST	L4562
57.03	La	IV	1158.35	75.0	0.0008	NIST	L4562
57.03	La	IV	1164.29	50.0	0.0005	NIST	L4562
57.03	La	IV	1230.9	400.0	0.0042	NIST	L4562
57.03	La	IV	1260.79	75.0	0.0008	NIST	L4562
57.03	La	IV	1261.12	300.0	0.0032	NIST	L4562
57.03	La	IV	1283.19	150.0	0.0016	NIST	L4562
57.03	La	IV	1302.31	2000.0	0.0211	NIST	L4562
57.03	La	IV	1333.53	1200.0	0.0126	NIST	L4562
57.03	La	IV	1334.96	3500.0	0.0368	NIST	L4562
57.03	La	IV	1352.76	1000.0	0.0105	NIST	L4562
57.03	La	IV	1368.04	25000.0	0.2632	NIST	L4562
57.03	La	IV	1377.49	8000.0	0.0842	NIST	L4562
57.03	La	IV	1394.32	3000.0	0.0316	NIST	L4562
57.03	La	IV	1414.58	5000.0	0.0526	NIST	L4562
57.03	La	IV	1432.55	7000.0	0.0737	NIST	L4562
57.03	La	IV	1441.63	7000.0	0.0737	NIST	L4562
57.03	La	IV	1462.15	7500.0	0.0789	NIST	L4562
57.03	La	IV	1463.47	20000.0	0.2105	NIST	L4562
57.03	La	IV	1467.54	7500.0	0.0789	NIST	L4562
57.03	La	IV	1507.87	15000.0	0.1579	NIST	L4562
57.03	La	IV	1527.19	5000.0	0.0526	NIST	L4562
57.03	La	IV	1575.92	2500.0	0.0263	NIST	L4562
57.03	La	IV	1583.61	1500.0	0.0158	NIST	L4562
57.03	La	IV	1585.11	750.0	0.0079	NIST	L4562
57.03	La	IV	1637.42	750.0	0.0079	NIST	L4562
57.03	La	IV	1645.21	750.0	0.0079	NIST	L4562
57.03	La	IV	1664.84	1000.0	0.0105	NIST	L4562
57.03	La	IV	1684.17	750.0	0.0079	NIST	L4562
57.03	La	IV	1767.65	2000.0	0.0211	NIST	L4562
57.03	La	IV	1808.66	4000.0	0.0421	NIST	L4562
57.03	La	IV	1851.81	1000.0	0.0105	NIST	L4562
57.03	La	IV	1852.77	1500.0	0.0158	NIST	L4562
57.03	La	IV	1879.79	750.0	0.0079	NIST	L4562
57.03	La	IV	1881.57	1000.0	0.0105	NIST	L4562
57.03	La	IV	1889.22	800.0	0.0084	NIST	L4562
57.03	La	IV	1891.47	1000.0	0.0105	NIST	L4562
57.03	La	IV	1902.97	5000.0	0.0526	NIST	L4562
57.03	La	IV	1907.44	800.0	0.0084	NIST	L4562
57.03	La	IV	1950.8	1500.0	0.0158	NIST	L4562
57.03	La	IV	1957.57	1200.0	0.0126	NIST	L4562
57.03	La	IV	2012.42	3000.0	0.0316	NIST	L4562
57.03	La	IV	2037.43	750.0	0.0079	NIST	L4562
57.03	La	IV	2066.5	2000.0	0.0211	NIST	L4562
57.03	La	IV	2073.18	3000.0	0.0316	NIST	L4562
57.03	La	IV	2143.23	1500.0	0.0158	NIST	L4562
57.03	La	IV	2197.45	4000.0	0.0421	NIST	L4562
57.03	La	IV	2221.12	1000.0	0.0105	NIST	L4562
57.03	La	IV	2227.34	900.0	0.0095	NIST	L4562
57.03	La	IV	2244.95	3000.0	0.0316	NIST	L4562
57.03	La	IV	2265.91	7500.0	0.0789	NIST	L4562
57.03	La	IV	2315.89	2000.0	0.0211	NIST	L4562
57.03	La	IV	2348.36	750.0	0.0079	NIST	L4562
57.03	La	IV	2355.31	750.0	0.0079	NIST	L4562
57.03	La	IV	2407.1	2000.0	0.0211	NIST	L4562
57.03	La	IV	2417.58	25000.0	0.2632	NIST	L4562
57.03	La	IV	2443.92	1200.0	0.0126	NIST	L4562
57.03	La	IV	2502.81	18000.0	0.1895	NIST	L4562
57.03	La	IV	2515.02	15000.0	0.1579	NIST	L4562
57.03	La	IV	2532.75	50000.0	0.5263	NIST	L4562
57.03	La	IV	2535.76	900.0	0.0095	NIST	L4562
57.03	La	IV	2582.05	45000.0	0.4737	NIST	L4562
57.03	La	IV	2591.3	18000.0	0.1895	NIST	L4562
57.03	La	IV	2597.5	95000.0	1.0	NIST	L4562
57.03	La	IV	2608.01	5000.0	0.0526	NIST	L4562
57.03	La	IV	2662.75	70000.0	0.7368	NIST	L4562
57.03	La	IV	2848.3	50000.0	0.5263	NIST	L4562
57.03	La	IV	2863.3	12000.0	0.1263	NIST	L4562
57.03	La	IV	2962.58	30000.0	0.3158	NIST	L4562
57.03	La	IV	3009.51	70000.0	0.7368	NIST	L4562
57.03	La	IV	3056.68	90000.0	0.9474	NIST	L4562
57.03	La	IV	3522.28	3500.0	0.0368	NIST	L4562
57.03	La	IV	3650.4	2000.0	0.0211	NIST	L4562
57.03	La	IV	4270.76	2000.0	0.0211	NIST	L4562
57.03	La	IV	4549.8	1500.0	0.0158	NIST	L4562
57.03	La	IV	4836.89	500.0	0.0053	NIST	L4562
