atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
57.04	La	V	389.03	2.0	0.0001	NIST	L3749
57.04	La	V	390.72	400.0	0.0267	NIST	L3749
57.04	La	V	398.53	1.0	0.0001	NIST	L3749
57.04	La	V	399.34	30.0	0.002	NIST	L3749
57.04	La	V	405.1	350.0	0.0233	NIST	L3749
57.04	La	V	416.13	50.0	0.0033	NIST	L3749
57.04	La	V	421.55	3.0	0.0002	NIST	L3749
57.04	La	V	423.07	50.0	0.0033	NIST	L3749
57.04	La	V	424.78	400.0	0.0267	NIST	L3749
57.04	La	V	432.11	1000.0	0.0667	NIST	L3749
57.04	La	V	435.28	2500.0	0.1667	NIST	L3749
57.04	La	V	436.14	700.0	0.0467	NIST	L3749
57.04	La	V	436.84	700.0	0.0467	NIST	L3749
57.04	La	V	437.11	300.0	0.02	NIST	L3749
57.04	La	V	437.55	700.0	0.0467	NIST	L3749
57.04	La	V	444.01	20.0	0.0013	NIST	L3749
57.04	La	V	444.07	10.0	0.0007	NIST	L3749
57.04	La	V	450.4	1250.0	0.0833	NIST	L3749
57.04	La	V	457.3	600.0	0.04	NIST	L3749
57.04	La	V	463.85	1000.0	0.0667	NIST	L3749
57.04	La	V	476.67	150.0	0.01	NIST	L3749
57.04	La	V	482.16	5000.0	0.3333	NIST	L3749
57.04	La	V	482.43	200.0	0.0133	NIST	L3749
57.04	La	V	483.3	2000.0	0.1333	NIST	L3749
57.04	La	V	498.08	7000.0	0.4667	NIST	L3749
57.04	La	V	499.03	4000.0	0.2667	NIST	L3749
57.04	La	V	503.58	10000.0	0.6667	NIST	L3749
57.04	La	V	508.15	40.0	0.0027	NIST	L3749
57.04	La	V	525.71	1500.0	0.1	NIST	L3749
57.04	La	V	526.76	12000.0	0.8	NIST	L3749
57.04	La	V	531.07	10000.0	0.6667	NIST	L3749
57.04	La	V	533.23	15000.0	1.0	NIST	L3749
57.04	La	V	540.2	4000.0	0.2667	NIST	L3749
57.04	La	V	544.8	6000.0	0.4	NIST	L3749
57.04	La	V	547.44	8000.0	0.5333	NIST	L3749
57.04	La	V	570.9	3000.0	0.2	NIST	L3749
57.04	La	V	593.18	2500.0	0.1667	NIST	L3749
57.04	La	V	597.7	750.0	0.05	NIST	L3749
57.04	La	V	600.01	2000.0	0.1333	NIST	L3749
57.04	La	V	600.24	5000.0	0.3333	NIST	L3749
57.04	La	V	611.7	700.0	0.0467	NIST	L3749
57.04	La	V	617.6	500.0	0.0333	NIST	L3749
