atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
03.00	Li	I	2394.39	1.0	0.0003	NIST	L7397
03.00	Li	I	2425.43	3.0	0.0008	NIST	L7397
03.00	Li	I	2475.06	10.0	0.0028	NIST	L7397
03.00	Li	I	2562.31	15.0	0.0042	NIST	L7397
03.00	Li	I	2741.2	5.0	0.0014	NIST	L7397
03.00	Li	I	3232.66	17.0	0.0047	NIST	L7397
03.00	Li	I	3718.7	3.0	0.0008	NIST	L7397
03.00	Li	I	3794.72	6.0	0.0017	NIST	L7397
03.00	Li	I	3915.3	20.0	0.0056	NIST	L7397
03.00	Li	I	3915.35	20.0	0.0056	NIST	L7397
03.00	Li	I	3985.48	10.0	0.0028	NIST	L7397
03.00	Li	I	3985.54	10.0	0.0028	NIST	L7397
03.00	Li	I	4132.56	40.0	0.0111	NIST	L7397
03.00	Li	I	4132.62	40.0	0.0111	NIST	L7397
03.00	Li	I	4273.07	20.0	0.0056	NIST	L7397
03.00	Li	I	4273.13	20.0	0.0056	NIST	L7397
03.00	Li	I	4602.83	13.0	0.0036	NIST	L7397
03.00	Li	I	4602.89	13.0	0.0036	NIST	L7397
03.00	Li	I	4971.66	8.0	0.0022	NIST	L7397
03.00	Li	I	4971.75	8.0	0.0022	NIST	L7397
03.00	Li	I	6103.54	320.0	0.0889	NIST	L7397
03.00	Li	I	6103.65	320.0	0.0889	NIST	L7397
03.00	Li	I	6707.76	3600.0	1.0	NIST	L7397
03.00	Li	I	6707.91	3600.0	1.0	NIST	L7397
03.00	Li	I	8126.23	48.0	0.0133	NIST	L7397
03.00	Li	I	8126.45	48.0	0.0133	NIST	L7397
