atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
03.01	Li	II	1492.93	3.0	0.005	NIST	L3501
03.01	Li	II	1492.97	5.0	0.0083	NIST	L3501
03.01	Li	II	1493.04	1.0	0.0017	NIST	L3501
03.01	Li	II	1653.08	3.0	0.005	NIST	L3501
03.01	Li	II	1653.13	5.0	0.0083	NIST	L3501
03.01	Li	II	1653.21	1.0	0.0017	NIST	L3501
03.01	Li	II	2336.88	3.0	0.005	NIST	L3501
03.01	Li	II	2336.91	5.0	0.0083	NIST	L3501
03.01	Li	II	2337.0	2.0	0.0033	NIST	L3501
03.01	Li	II	2551.7	24.0	0.04	NIST	L7397
03.01	Li	II	2657.29	2.0	0.0033	NIST	L3501
03.01	Li	II	2657.3	3.0	0.005	NIST	L3501
03.01	Li	II	2728.29	5.0	0.0083	NIST	L3501
03.01	Li	II	2728.32	2.0	0.0033	NIST	L3501
03.01	Li	II	2730.47	3.0	0.005	NIST	L3501
03.01	Li	II	2730.55	1.0	0.0017	NIST	L3501
03.01	Li	II	2934.02	2.0	0.0033	NIST	L3501
03.01	Li	II	2934.07	2.0	0.0033	NIST	L3501
03.01	Li	II	2934.12	5.0	0.0083	NIST	L3501
03.01	Li	II	2934.25	1.0	0.0017	NIST	L3501
03.01	Li	II	3029.12	3.0	0.005	NIST	L3501
03.01	Li	II	3029.14	3.0	0.005	NIST	L3501
03.01	Li	II	3155.31	3.0	0.005	NIST	L3501
03.01	Li	II	3155.33	4.0	0.0067	NIST	L3501
03.01	Li	II	3196.26	1.0	0.0017	NIST	L3501
03.01	Li	II	3196.33	9.0	0.015	NIST	L3501
03.01	Li	II	3196.36	4.0	0.0067	NIST	L3501
03.01	Li	II	3199.33	5.0	0.0083	NIST	L3501
03.01	Li	II	3199.43	2.0	0.0033	NIST	L3501
03.01	Li	II	3714.0	1.0	0.0017	NIST	L3501
03.01	Li	II	3714.16	5.0	0.0083	NIST	L3501
03.01	Li	II	3714.27	6.0	0.01	NIST	L3501
03.01	Li	II	3714.29	8.0	0.0133	NIST	L3501
03.01	Li	II	3714.4	7.0	0.0117	NIST	L3501
03.01	Li	II	3714.41	10.0	0.0167	NIST	L3501
03.01	Li	II	3714.51	1.0	0.0017	NIST	L3501
03.01	Li	II	4325.42	5.0	0.0083	NIST	L3501
03.01	Li	II	4325.47	5.0	0.0083	NIST	L3501
03.01	Li	II	4325.54	1.0	0.0017	NIST	L3501
03.01	Li	II	4671.65	6.0	0.01	NIST	L3501
03.01	Li	II	4671.7	2.0	0.0033	NIST	L3501
03.01	Li	II	4678.06	3.0	0.005	NIST	L3501
03.01	Li	II	4678.29	1.0	0.0017	NIST	L3501
03.01	Li	II	4881.32	4.0	0.0067	NIST	L3501
03.01	Li	II	4881.39	4.0	0.0067	NIST	L3501
03.01	Li	II	4881.49	1.0	0.0017	NIST	L3501
03.01	Li	II	5483.55	600.0	1.0	NIST	L7397
03.01	Li	II	5485.65	600.0	1.0	NIST	L7397
