atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
71.03	Lu	IV	876.8	400.0	0.4	NIST	L1553
71.03	Lu	IV	902.06	100.0	0.1	NIST	L1553
71.03	Lu	IV	1015.18	300.0	0.3	NIST	L1553
71.03	Lu	IV	1136.17	20.0	0.02	NIST	L1553
71.03	Lu	IV	1189.27	50.0	0.05	NIST	L1553
71.03	Lu	IV	1194.59	20.0	0.02	NIST	L1553
71.03	Lu	IV	1213.08	60.0	0.06	NIST	L1553
71.03	Lu	IV	1220.74	15.0	0.015	NIST	L1553
71.03	Lu	IV	1223.75	20.0	0.02	NIST	L1553
71.03	Lu	IV	1240.07	20.0	0.02	NIST	L1553
71.03	Lu	IV	1248.1	20.0	0.02	NIST	L1553
71.03	Lu	IV	1266.27	40.0	0.04	NIST	L1553
71.03	Lu	IV	1272.42	100.0	0.1	NIST	L1553
71.03	Lu	IV	1273.02	20.0	0.02	NIST	L1553
71.03	Lu	IV	1274.77	40.0	0.04	NIST	L1553
71.03	Lu	IV	1276.54	20.0	0.02	NIST	L1553
71.03	Lu	IV	1289.38	50.0	0.05	NIST	L1553
71.03	Lu	IV	1310.08	60.0	0.06	NIST	L1553
71.03	Lu	IV	1323.02	50.0	0.05	NIST	L1553
71.03	Lu	IV	1331.04	15.0	0.015	NIST	L1553
71.03	Lu	IV	1333.79	800.0	0.8	NIST	L1553
71.03	Lu	IV	1334.94	300.0	0.3	NIST	L1553
71.03	Lu	IV	1338.2	50.0	0.05	NIST	L1553
71.03	Lu	IV	1339.49	100.0	0.1	NIST	L1553
71.03	Lu	IV	1342.58	300.0	0.3	NIST	L1553
71.03	Lu	IV	1351.68	200.0	0.2	NIST	L1553
71.03	Lu	IV	1353.74	300.0	0.3	NIST	L1553
71.03	Lu	IV	1355.85	200.0	0.2	NIST	L1553
71.03	Lu	IV	1359.67	20.0	0.02	NIST	L1553
71.03	Lu	IV	1363.24	100.0	0.1	NIST	L1553
71.03	Lu	IV	1363.37	50.0	0.05	NIST	L1553
71.03	Lu	IV	1367.34	20.0	0.02	NIST	L1553
71.03	Lu	IV	1373.54	20.0	0.02	NIST	L1553
71.03	Lu	IV	1375.36	15.0	0.015	NIST	L1553
71.03	Lu	IV	1376.02	100.0	0.1	NIST	L1553
71.03	Lu	IV	1379.56	30.0	0.03	NIST	L1553
71.03	Lu	IV	1383.18	15.0	0.015	NIST	L1553
71.03	Lu	IV	1389.85	15.0	0.015	NIST	L1553
71.03	Lu	IV	1390.07	60.0	0.06	NIST	L1553
71.03	Lu	IV	1390.3	200.0	0.2	NIST	L1553
71.03	Lu	IV	1390.69	50.0	0.05	NIST	L1553
