atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
12.06	Mg	VII	59.64	1.0	0.0014	NIST	L7482
12.06	Mg	VII	60.138	10.0	0.0143	NIST	L7482
12.06	Mg	VII	62.166	10.0	0.0143	NIST	L7482
12.06	Mg	VII	62.615	10.0	0.0143	NIST	L7482
12.06	Mg	VII	62.696	100.0	0.1429	NIST	L7482
12.06	Mg	VII	63.396	100.0	0.1429	NIST	L7482
12.06	Mg	VII	64.122	200.0	0.2857	NIST	L7482
12.06	Mg	VII	66.788	10.0	0.0143	NIST	L7482
12.06	Mg	VII	67.453	10.0	0.0143	NIST	L7482
12.06	Mg	VII	67.47	100.0	0.1429	NIST	L7482
12.06	Mg	VII	67.497	200.0	0.2857	NIST	L7482
12.06	Mg	VII	67.993	100.0	0.1429	NIST	L7482
12.06	Mg	VII	68.064	200.0	0.2857	NIST	L7482
12.06	Mg	VII	68.1	200.0	0.2857	NIST	L7482
12.06	Mg	VII	68.144	300.0	0.4286	NIST	L7482
12.06	Mg	VII	68.352	200.0	0.2857	NIST	L7482
12.06	Mg	VII	69.615	300.0	0.4286	NIST	L7482
12.06	Mg	VII	70.193	100.0	0.1429	NIST	L7482
12.06	Mg	VII	71.786	100.0	0.1429	NIST	L7482
12.06	Mg	VII	72.787	100.0	0.1429	NIST	L7482
12.06	Mg	VII	72.852	10.0	0.0143	NIST	L7482
12.06	Mg	VII	72.896	1.0	0.0014	NIST	L7482
12.06	Mg	VII	75.975	400.0	0.5714	NIST	L7482
12.06	Mg	VII	76.392	300.0	0.4286	NIST	L7482
12.06	Mg	VII	77.033	100.0	0.1429	NIST	L7482
12.06	Mg	VII	77.144	200.0	0.2857	NIST	L7482
12.06	Mg	VII	78.376	10.0	0.0143	NIST	L7482
12.06	Mg	VII	78.405	10.0	0.0143	NIST	L7482
12.06	Mg	VII	78.521	200.0	0.2857	NIST	L7482
12.06	Mg	VII	79.131	500.0	0.7143	NIST	L7482
12.06	Mg	VII	79.168	500.0	0.7143	NIST	L7482
12.06	Mg	VII	82.94	400.0	0.5714	NIST	L7482
12.06	Mg	VII	82.969	400.0	0.5714	NIST	L7482
12.06	Mg	VII	83.015	500.0	0.7143	NIST	L7482
12.06	Mg	VII	83.519	300.0	0.4286	NIST	L7482
12.06	Mg	VII	83.56	200.0	0.2857	NIST	L7482
12.06	Mg	VII	83.587	200.0	0.2857	NIST	L7482
12.06	Mg	VII	83.635	10.0	0.0143	NIST	L7482
12.06	Mg	VII	83.716	300.0	0.4286	NIST	L7482
12.06	Mg	VII	83.766	500.0	0.7143	NIST	L7482
12.06	Mg	VII	83.91	300.0	0.4286	NIST	L7482
12.06	Mg	VII	83.959	400.0	0.5714	NIST	L7482
12.06	Mg	VII	84.025	500.0	0.7143	NIST	L7482
12.06	Mg	VII	84.087	300.0	0.4286	NIST	L7482
12.06	Mg	VII	84.642	500.0	0.7143	NIST	L7482
12.06	Mg	VII	85.091	10.0	0.0143	NIST	L7482
12.06	Mg	VII	85.336	10.0	0.0143	NIST	L7482
12.06	Mg	VII	85.407	700.0	1.0	NIST	L7482
12.06	Mg	VII	86.032	200.0	0.2857	NIST	L7482
12.06	Mg	VII	87.131	500.0	0.7143	NIST	L7482
12.06	Mg	VII	87.175	400.0	0.5714	NIST	L7482
12.06	Mg	VII	87.722	600.0	0.8571	NIST	L7482
12.06	Mg	VII	87.767	400.0	0.5714	NIST	L7482
12.06	Mg	VII	87.889	500.0	0.7143	NIST	L7482
12.06	Mg	VII	88.68	600.0	0.8571	NIST	L7482
12.06	Mg	VII	89.407	200.0	0.2857	NIST	L7482
12.06	Mg	VII	89.448	200.0	0.2857	NIST	L7482
12.06	Mg	VII	89.476	10.0	0.0143	NIST	L7482
12.06	Mg	VII	90.706	400.0	0.5714	NIST	L7482
12.06	Mg	VII	90.815	300.0	0.4286	NIST	L7482
12.06	Mg	VII	90.897	600.0	0.8571	NIST	L7482
12.06	Mg	VII	91.46	10.0	0.0143	NIST	L7482
12.06	Mg	VII	91.573	100.0	0.1429	NIST	L7482
12.06	Mg	VII	92.898	200.0	0.2857	NIST	L7482
12.06	Mg	VII	92.934	200.0	0.2857	NIST	L7482
12.06	Mg	VII	92.964	100.0	0.1429	NIST	L7482
12.06	Mg	VII	94.043	400.0	0.5714	NIST	L7482
12.06	Mg	VII	94.174	300.0	0.4286	NIST	L7482
12.06	Mg	VII	95.027	400.0	0.5714	NIST	L7482
12.06	Mg	VII	95.089	10.0	0.0143	NIST	L7482
12.06	Mg	VII	95.139	100.0	0.1429	NIST	L7482
12.06	Mg	VII	95.233	100.0	0.1429	NIST	L7482
12.06	Mg	VII	95.259	200.0	0.2857	NIST	L7482
12.06	Mg	VII	95.385	400.0	0.5714	NIST	L7482
12.06	Mg	VII	95.421	400.0	0.5714	NIST	L7482
12.06	Mg	VII	95.483	500.0	0.7143	NIST	L7482
12.06	Mg	VII	95.556	100.0	0.1429	NIST	L7482
12.06	Mg	VII	95.637	300.0	0.4286	NIST	L7482
12.06	Mg	VII	98.032	300.0	0.4286	NIST	L7482
12.06	Mg	VII	98.983	400.0	0.5714	NIST	L7482
12.06	Mg	VII	100.374	100.0	0.1429	NIST	L7482
12.06	Mg	VII	101.956	200.0	0.2857	NIST	L7482
12.06	Mg	VII	102.053	10.0	0.0143	NIST	L7482
12.06	Mg	VII	102.138	100.0	0.1429	NIST	L7482
12.06	Mg	VII	102.471	300.0	0.4286	NIST	L7482
12.06	Mg	VII	102.906	300.0	0.4286	NIST	L7482
12.06	Mg	VII	103.743	10.0	0.0143	NIST	L7482
12.06	Mg	VII	103.859	10.0	0.0143	NIST	L7482
12.06	Mg	VII	105.159	100.0	0.1429	NIST	L7482
12.06	Mg	VII	106.524	200.0	0.2857	NIST	L7482
12.06	Mg	VII	106.707	100.0	0.1429	NIST	L7482
12.06	Mg	VII	106.809	10.0	0.0143	NIST	L7482
12.06	Mg	VII	110.121	10.0	0.0143	NIST	L7482
12.06	Mg	VII	111.984	10.0	0.0143	NIST	L7482
12.06	Mg	VII	112.135	10.0	0.0143	NIST	L7482
12.06	Mg	VII	112.269	1.0	0.0014	NIST	L7482
12.06	Mg	VII	276.153	200.0	0.2857	NIST	u19
12.06	Mg	VII	277.002	300.0	0.4286	NIST	u19
12.06	Mg	VII	278.402	400.0	0.5714	NIST	u19
12.06	Mg	VII	280.737	300.0	0.4286	NIST	u19
12.06	Mg	VII	319.027	400.0	0.5714	NIST	u19
12.06	Mg	VII	320.267	40.0	0.0571	NIST	u19
12.06	Mg	VII	320.513	70.0	0.1	NIST	u19
12.06	Mg	VII	321.095	100.0	0.1429	NIST	u19
12.06	Mg	VII	321.154	50.0	0.0714	NIST	u19
12.06	Mg	VII	323.14	100.0	0.1429	NIST	u19
12.06	Mg	VII	363.771	100.0	0.1429	NIST	u19
12.06	Mg	VII	365.178	60.0	0.0857	NIST	u19
12.06	Mg	VII	365.228	150.0	0.2143	NIST	u19
12.06	Mg	VII	367.674	400.0	0.5714	NIST	u19
12.06	Mg	VII	367.686	100.0	0.1429	NIST	u19
12.06	Mg	VII	429.132	100.0	0.1429	NIST	u19
12.06	Mg	VII	431.194	60.0	0.0857	NIST	u19
12.06	Mg	VII	431.318	200.0	0.2857	NIST	u19
12.06	Mg	VII	434.715	70.0	0.1	NIST	u19
12.06	Mg	VII	434.917	200.0	0.2857	NIST	u19
12.06	Mg	VII	450.69	100.0	0.1429	NIST	u19
12.06	Mg	VII	546.006	50.0	0.0714	NIST	u19
12.06	Mg	VII	548.62	100.0	0.1429	NIST	u19
12.06	Mg	VII	554.94	50.0	0.0714	NIST	u19
12.06	Mg	VII	558.28	100.0	0.1429	NIST	u19
