atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
12.10	Mg	XI	7.128	15.0	0.015	NIST	L2304
12.10	Mg	XI	7.156	20.0	0.02	NIST	L2304
12.10	Mg	XI	7.177	25.0	0.025	NIST	L2304
12.10	Mg	XI	7.2256	35.0	0.035	NIST	L2560c7
12.10	Mg	XI	7.3102	50.0	0.05	NIST	L7418c8
12.10	Mg	XI	7.4738	100.0	0.1	NIST	L7418c8
12.10	Mg	XI	7.8509	400.0	0.4	NIST	L7418c8
12.10	Mg	XI	7.8612	20.0	0.02	NIST	L4110c7
12.10	Mg	XI	9.1689	1000.0	1.0	NIST	L7418c8
12.10	Mg	XI	9.231	50.0	0.05	NIST	L7418c8
12.10	Mg	XI	39.278	3.0	0.003	NIST	L10489
12.10	Mg	XI	39.318	4.0	0.004	NIST	L10489
12.10	Mg	XI	50.45	25.0	0.025	NIST	L10489
12.10	Mg	XI	50.472	15.0	0.015	NIST	L10489
12.10	Mg	XI	52.625	50.0	0.05	NIST	L10489
12.10	Mg	XI	52.721	40.0	0.04	NIST	L10489
12.10	Mg	XI	54.729	40.0	0.04	NIST	L10489
12.10	Mg	XI	151.356	6.0	0.006	NIST	L10489
12.10	Mg	XI	154.687	6.0	0.006	NIST	L10489
12.10	Mg	XI	154.734	6.0	0.006	NIST	L10489
