atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.00	Mn	I	1996.06	9700.0	0.3593	NIST	L3475
25.00	Mn	I	1999.51	14000.0	0.5185	NIST	L3475
25.00	Mn	I	2003.85	18000.0	0.6667	NIST	L3475
25.00	Mn	I	2092.16	1500.0	0.0556	NIST	L3475
25.00	Mn	I	2109.58	1700.0	0.063	NIST	L3475
25.00	Mn	I	2208.81	290.0	0.0107	NIST	L3475
25.00	Mn	I	2213.85	540.0	0.02	NIST	L3475
25.00	Mn	I	2221.84	770.0	0.0285	NIST	L3475
25.00	Mn	I	2533.06	75.0	0.0028	NIST	L3475
25.00	Mn	I	2572.76	580.0	0.0215	NIST	L3475
25.00	Mn	I	2575.51	480.0	0.0178	NIST	L3475
25.00	Mn	I	2584.31	550.0	0.0204	NIST	L3475
25.00	Mn	I	2592.94	250.0	0.0093	NIST	L3475
25.00	Mn	I	2595.76	250.0	0.0093	NIST	L3475
25.00	Mn	I	2602.14	40.0	0.0015	NIST	L3475
25.00	Mn	I	2622.9	140.0	0.0052	NIST	L3475
25.00	Mn	I	2624.04	150.0	0.0056	NIST	L3475
25.00	Mn	I	2626.64	95.0	0.0035	NIST	L3475
25.00	Mn	I	2630.26	30.0	0.0011	NIST	L3475
25.00	Mn	I	2630.57	60.0	0.0022	NIST	L3475
25.00	Mn	I	2667.0	45.0	0.0017	NIST	L3475
25.00	Mn	I	2676.33	30.0	0.0011	NIST	L3475
25.00	Mn	I	2681.72	40.0	0.0015	NIST	L3475
25.00	Mn	I	2683.02	45.0	0.0017	NIST	L3475
25.00	Mn	I	2683.75	23.0	0.0009	NIST	L3475
25.00	Mn	I	2692.66	85.0	0.0031	NIST	L3475
25.00	Mn	I	2738.86	30.0	0.0011	NIST	L3475
25.00	Mn	I	2760.93	45.0	0.0017	NIST	L3475
25.00	Mn	I	2771.44	30.0	0.0011	NIST	L3475
25.00	Mn	I	2776.23	30.0	0.0011	NIST	L3475
25.00	Mn	I	2780.0	30.0	0.0011	NIST	L3475
25.00	Mn	I	2789.2	55.0	0.002	NIST	L3475
25.00	Mn	I	2790.36	60.0	0.0022	NIST	L3475
25.00	Mn	I	2791.08	60.0	0.0022	NIST	L3475
25.00	Mn	I	2794.82	6200.0	0.2296	NIST	L3475
25.00	Mn	I	2798.27	5100.0	0.1889	NIST	L3475
25.00	Mn	I	2799.84	220.0	0.0081	NIST	L3475
25.00	Mn	I	2801.06	3700.0	0.137	NIST	L3475
25.00	Mn	I	2804.1	70.0	0.0026	NIST	L3475
25.00	Mn	I	2806.14	60.0	0.0022	NIST	L3475
25.00	Mn	I	2808.02	55.0	0.002	NIST	L3475
25.00	Mn	I	2809.11	110.0	0.0041	NIST	L3475
25.00	Mn	I	2812.84	60.0	0.0022	NIST	L3475
25.00	Mn	I	2813.47	70.0	0.0026	NIST	L3475
25.00	Mn	I	2817.97	85.0	0.0031	NIST	L3475
25.00	Mn	I	2818.77	40.0	0.0015	NIST	L3475
25.00	Mn	I	2821.45	55.0	0.002	NIST	L3475
25.00	Mn	I	2822.55	55.0	0.002	NIST	L3475
25.00	Mn	I	2830.79	80.0	0.003	NIST	L3475
25.00	Mn	I	2836.31	27.0	0.001	NIST	L3475
25.00	Mn	I	2882.9	40.0	0.0015	NIST	L3475
25.00	Mn	I	2907.22	40.0	0.0015	NIST	L3475
25.00	Mn	I	2914.6	140.0	0.0052	NIST	L3475
25.00	Mn	I	2925.57	190.0	0.007	NIST	L3475
25.00	Mn	I	2928.68	27.0	0.001	NIST	L3475
25.00	Mn	I	2934.02	27.0	0.001	NIST	L3475
25.00	Mn	I	2940.39	250.0	0.0093	NIST	L3475
25.00	Mn	I	2941.04	60.0	0.0022	NIST	L3475
25.00	Mn	I	3007.66	40.0	0.0015	NIST	L3475
25.00	Mn	I	3011.16	40.0	0.0015	NIST	L3475
25.00	Mn	I	3011.38	40.0	0.0015	NIST	L3475
25.00	Mn	I	3014.67	40.0	0.0015	NIST	L3475
25.00	Mn	I	3016.45	60.0	0.0022	NIST	L3475
25.00	Mn	I	3022.75	70.0	0.0026	NIST	L3475
25.00	Mn	I	3040.6	95.0	0.0035	NIST	L3475
25.00	Mn	I	3042.73	27.0	0.001	NIST	L3475
25.00	Mn	I	3043.36	85.0	0.0031	NIST	L3475
25.00	Mn	I	3044.57	330.0	0.0122	NIST	L3475
25.00	Mn	I	3045.59	120.0	0.0044	NIST	L3475
25.00	Mn	I	3047.04	200.0	0.0074	NIST	L3475
25.00	Mn	I	3048.86	40.0	0.0015	NIST	L3475
25.00	Mn	I	3054.36	250.0	0.0093	NIST	L3475
25.00	Mn	I	3062.12	140.0	0.0052	NIST	L3475
25.00	Mn	I	3066.02	170.0	0.0063	NIST	L3475
25.00	Mn	I	3070.27	170.0	0.0063	NIST	L3475
25.00	Mn	I	3073.13	160.0	0.0059	NIST	L3475
25.00	Mn	I	3079.63	90.0	0.0033	NIST	L3475
25.00	Mn	I	3081.33	50.0	0.0019	NIST	L3475
25.00	Mn	I	3082.05	23.0	0.0009	NIST	L3475
25.00	Mn	I	3097.06	40.0	0.0015	NIST	L3475
25.00	Mn	I	3110.68	40.0	0.0015	NIST	L3475
25.00	Mn	I	3148.18	60.0	0.0022	NIST	L3475
25.00	Mn	I	3161.04	90.0	0.0033	NIST	L3475
25.00	Mn	I	3178.5	140.0	0.0052	NIST	L3475
25.00	Mn	I	3212.88	220.0	0.0081	NIST	L3475
25.00	Mn	I	3216.95	65.0	0.0024	NIST	L3475
25.00	Mn	I	3228.09	1000.0	0.037	NIST	L3475
25.00	Mn	I	3230.72	300.0	0.0111	NIST	L3475
25.00	Mn	I	3236.78	850.0	0.0315	NIST	L3475
25.00	Mn	I	3243.78	330.0	0.0122	NIST	L3475
25.00	Mn	I	3248.52	650.0	0.0241	NIST	L3475
25.00	Mn	I	3251.14	100.0	0.0037	NIST	L3475
25.00	Mn	I	3252.95	310.0	0.0115	NIST	L3475
25.00	Mn	I	3254.04	65.0	0.0024	NIST	L3475
25.00	Mn	I	3256.14	310.0	0.0115	NIST	L3475
25.00	Mn	I	3258.41	220.0	0.0081	NIST	L3475
25.00	Mn	I	3260.23	180.0	0.0067	NIST	L3475
25.00	Mn	I	3264.71	180.0	0.0067	NIST	L3475
25.00	Mn	I	3296.88	65.0	0.0024	NIST	L3475
25.00	Mn	I	3298.22	65.0	0.0024	NIST	L3475
25.00	Mn	I	3320.69	65.0	0.0024	NIST	L3475
25.00	Mn	I	3330.67	70.0	0.0026	NIST	L3475
25.00	Mn	I	3531.85	360.0	0.0133	NIST	L3475
25.00	Mn	I	3532.12	1100.0	0.0407	NIST	L3475
25.00	Mn	I	3547.8	1300.0	0.0481	NIST	L3475
25.00	Mn	I	3548.03	1100.0	0.0407	NIST	L3475
25.00	Mn	I	3548.2	390.0	0.0144	NIST	L3475
25.00	Mn	I	3569.49	2200.0	0.0815	NIST	L3475
25.00	Mn	I	3569.8	720.0	0.0267	NIST	L3475
25.00	Mn	I	3577.88	1400.0	0.0519	NIST	L3475
25.00	Mn	I	3586.54	720.0	0.0267	NIST	L3475
25.00	Mn	I	3595.12	290.0	0.0107	NIST	L3475
25.00	Mn	I	3607.54	420.0	0.0156	NIST	L3475
25.00	Mn	I	3608.49	420.0	0.0156	NIST	L3475
25.00	Mn	I	3610.3	360.0	0.0133	NIST	L3475
25.00	Mn	I	3619.28	290.0	0.0107	NIST	L3475
25.00	Mn	I	3623.79	220.0	0.0081	NIST	L3475
25.00	Mn	I	3629.74	140.0	0.0052	NIST	L3475
25.00	Mn	I	3660.4	100.0	0.0037	NIST	L3475
25.00	Mn	I	3670.52	70.0	0.0026	NIST	L3475
25.00	Mn	I	3676.96	70.0	0.0026	NIST	L3475
25.00	Mn	I	3682.09	50.0	0.0019	NIST	L3475
25.00	Mn	I	3693.67	280.0	0.0104	NIST	L3475
25.00	Mn	I	3696.57	180.0	0.0067	NIST	L3475
25.00	Mn	I	3701.73	70.0	0.0026	NIST	L3475
25.00	Mn	I	3706.08	210.0	0.0078	NIST	L3475
25.00	Mn	I	3718.93	130.0	0.0048	NIST	L3475
25.00	Mn	I	3728.89	55.0	0.002	NIST	L3475
25.00	Mn	I	3731.93	130.0	0.0048	NIST	L3475
25.00	Mn	I	3790.22	260.0	0.0096	NIST	L3475
25.00	Mn	I	3799.26	55.0	0.002	NIST	L3475
25.00	Mn	I	3800.55	110.0	0.0041	NIST	L3475
25.00	Mn	I	3801.91	55.0	0.002	NIST	L3475
25.00	Mn	I	3806.72	3200.0	0.1185	NIST	L3475
25.00	Mn	I	3809.59	700.0	0.0259	NIST	L3475
25.00	Mn	I	3810.69	55.0	0.002	NIST	L3475
25.00	Mn	I	3816.75	90.0	0.0033	NIST	L3475
25.00	Mn	I	3823.51	2100.0	0.0778	NIST	L3475
25.00	Mn	I	3823.89	390.0	0.0144	NIST	L3475
25.00	Mn	I	3829.68	200.0	0.0074	NIST	L3475
25.00	Mn	I	3833.86	480.0	0.0178	NIST	L3475
25.00	Mn	I	3834.36	1300.0	0.0481	NIST	L3475
25.00	Mn	I	3839.78	350.0	0.013	NIST	L3475
25.00	Mn	I	3841.08	670.0	0.0248	NIST	L3475
25.00	Mn	I	3843.98	350.0	0.013	NIST	L3475
25.00	Mn	I	3918.32	65.0	0.0024	NIST	L3475
25.00	Mn	I	3926.47	120.0	0.0044	NIST	L3475
25.00	Mn	I	3952.84	65.0	0.0024	NIST	L3475
25.00	Mn	I	3975.89	55.0	0.002	NIST	L3475
25.00	Mn	I	3977.08	65.0	0.0024	NIST	L3475
25.00	Mn	I	3982.58	130.0	0.0048	NIST	L3475
25.00	Mn	I	3985.24	150.0	0.0056	NIST	L3475
25.00	Mn	I	3986.83	190.0	0.007	NIST	L3475
25.00	Mn	I	3987.1	150.0	0.0056	NIST	L3475
25.00	Mn	I	4018.1	1500.0	0.0556	NIST	L3475
25.00	Mn	I	4026.44	150.0	0.0056	NIST	L3475
25.00	Mn	I	4030.76	27000.0	1.0	NIST	L3475
25.00	Mn	I	4033.07	19000.0	0.7037	NIST	L3475
25.00	Mn	I	4034.49	11000.0	0.4074	NIST	L3475
25.00	Mn	I	4035.73	1500.0	0.0556	NIST	L3475
25.00	Mn	I	4038.73	55.0	0.002	NIST	L3475
25.00	Mn	I	4041.36	5600.0	0.2074	NIST	L3475
25.00	Mn	I	4045.13	210.0	0.0078	NIST	L3475
25.00	Mn	I	4048.76	1100.0	0.0407	NIST	L3475
25.00	Mn	I	4049.0	80.0	0.003	NIST	L3475
25.00	Mn	I	4051.73	55.0	0.002	NIST	L3475
25.00	Mn	I	4052.47	65.0	0.0024	NIST	L3475
25.00	Mn	I	4055.21	150.0	0.0056	NIST	L3475
25.00	Mn	I	4055.54	1900.0	0.0704	NIST	L3475
25.00	Mn	I	4057.95	210.0	0.0078	NIST	L3475
25.00	Mn	I	4058.93	1100.0	0.0407	NIST	L3475
25.00	Mn	I	4059.39	150.0	0.0056	NIST	L3475
25.00	Mn	I	4061.74	730.0	0.027	NIST	L3475
25.00	Mn	I	4063.53	730.0	0.027	NIST	L3475
25.00	Mn	I	4065.08	80.0	0.003	NIST	L3475
25.00	Mn	I	4068.0	80.0	0.003	NIST	L3475
25.00	Mn	I	4070.28	290.0	0.0107	NIST	L3475
25.00	Mn	I	4079.24	730.0	0.027	NIST	L3475
25.00	Mn	I	4079.42	730.0	0.027	NIST	L3475
25.00	Mn	I	4082.94	1100.0	0.0407	NIST	L3475
25.00	Mn	I	4083.63	1100.0	0.0407	NIST	L3475
25.00	Mn	I	4089.94	65.0	0.0024	NIST	L3475
25.00	Mn	I	4105.36	55.0	0.002	NIST	L3475
25.00	Mn	I	4110.9	200.0	0.0074	NIST	L3475
25.00	Mn	I	4131.12	150.0	0.0056	NIST	L3475
25.00	Mn	I	4135.04	120.0	0.0044	NIST	L3475
25.00	Mn	I	4141.06	80.0	0.003	NIST	L3475
25.00	Mn	I	4147.53	55.0	0.002	NIST	L3475
25.00	Mn	I	4148.8	80.0	0.003	NIST	L3475
25.00	Mn	I	4176.6	150.0	0.0056	NIST	L3475
25.00	Mn	I	4189.99	120.0	0.0044	NIST	L3475
25.00	Mn	I	4201.76	65.0	0.0024	NIST	L3475
25.00	Mn	I	4211.75	65.0	0.0024	NIST	L3475
25.00	Mn	I	4235.14	370.0	0.0137	NIST	L3475
25.00	Mn	I	4235.29	510.0	0.0189	NIST	L3475
25.00	Mn	I	4239.72	190.0	0.007	NIST	L3475
25.00	Mn	I	4257.66	290.0	0.0107	NIST	L3475
25.00	Mn	I	4265.92	290.0	0.0107	NIST	L3475
25.00	Mn	I	4281.1	270.0	0.01	NIST	L3475
25.00	Mn	I	4284.08	65.0	0.0024	NIST	L3475
25.00	Mn	I	4312.55	65.0	0.0024	NIST	L3475
25.00	Mn	I	4374.95	45.0	0.0017	NIST	L3475
25.00	Mn	I	4381.7	45.0	0.0017	NIST	L3475
25.00	Mn	I	4411.88	55.0	0.002	NIST	L3475
25.00	Mn	I	4414.88	350.0	0.013	NIST	L3475
25.00	Mn	I	4419.78	55.0	0.002	NIST	L3475
25.00	Mn	I	4436.35	210.0	0.0078	NIST	L3475
25.00	Mn	I	4451.59	800.0	0.0296	NIST	L3475
25.00	Mn	I	4453.0	160.0	0.0059	NIST	L3475
25.00	Mn	I	4455.01	130.0	0.0048	NIST	L3475
25.00	Mn	I	4455.32	160.0	0.0059	NIST	L3475
25.00	Mn	I	4455.82	110.0	0.0041	NIST	L3475
25.00	Mn	I	4457.04	55.0	0.002	NIST	L3475
25.00	Mn	I	4457.55	210.0	0.0078	NIST	L3475
25.00	Mn	I	4458.26	270.0	0.01	NIST	L3475
25.00	Mn	I	4460.38	55.0	0.002	NIST	L3475
25.00	Mn	I	4461.08	150.0	0.0056	NIST	L3475
