atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.02	Mn	III	892.39	20.0	0.01	NIST	L457
25.02	Mn	III	1108.16	20.0	0.01	NIST	L457
25.02	Mn	III	1183.3	30.0	0.015	NIST	L457
25.02	Mn	III	1183.86	25.0	0.0125	NIST	L457
25.02	Mn	III	1198.49	30.0	0.015	NIST	L457
25.02	Mn	III	1219.8	30.0	0.015	NIST	L457
25.02	Mn	III	1228.97	100.0	0.05	NIST	L457
25.02	Mn	III	1283.58	500.0	0.25	NIST	L457
25.02	Mn	III	1287.59	400.0	0.2	NIST	L457
25.02	Mn	III	1291.62	300.0	0.15	NIST	L457
25.02	Mn	III	1360.72	1000.0	0.5	NIST	L457
25.02	Mn	III	1365.2	800.0	0.4	NIST	L457
25.02	Mn	III	1369.43	400.0	0.2	NIST	L457
25.02	Mn	III	1371.65	300.0	0.15	NIST	L457
25.02	Mn	III	1596.95	300.0	0.15	NIST	L457
25.02	Mn	III	1609.17	500.0	0.25	NIST	L457
25.02	Mn	III	1614.14	1000.0	0.5	NIST	L457
25.02	Mn	III	1620.6	2000.0	1.0	NIST	L457
25.02	Mn	III	1623.91	300.0	0.15	NIST	L457
25.02	Mn	III	1629.12	400.0	0.2	NIST	L457
25.02	Mn	III	1633.8	500.0	0.25	NIST	L457
25.02	Mn	III	1647.46	250.0	0.125	NIST	L457
25.02	Mn	III	1653.57	400.0	0.2	NIST	L457
25.02	Mn	III	1804.06	400.0	0.2	NIST	L457
25.02	Mn	III	1806.47	300.0	0.15	NIST	L457
25.02	Mn	III	1811.02	300.0	0.15	NIST	L457
25.02	Mn	III	1877.62	400.0	0.2	NIST	L457
25.02	Mn	III	1885.21	300.0	0.15	NIST	L457
25.02	Mn	III	1941.28	500.0	0.25	NIST	L457
25.02	Mn	III	1942.89	250.0	0.125	NIST	L457
25.02	Mn	III	1943.21	800.0	0.4	NIST	L457
25.02	Mn	III	1952.36	500.0	0.25	NIST	L457
25.02	Mn	III	1952.52	1000.0	0.5	NIST	L457
25.02	Mn	III	1956.61	300.0	0.15	NIST	L457
25.02	Mn	III	1962.04	250.0	0.125	NIST	L457
25.02	Mn	III	1978.95	500.0	0.25	NIST	L457
25.02	Mn	III	1982.76	400.0	0.2	NIST	L457
25.02	Mn	III	1989.59	400.0	0.2	NIST	L457
25.02	Mn	III	2022.19	300.0	0.15	NIST	L457
25.02	Mn	III	2027.83	1000.0	0.5	NIST	L457
25.02	Mn	III	2028.14	500.0	0.25	NIST	L457
25.02	Mn	III	2044.57	300.0	0.15	NIST	L457
25.02	Mn	III	2048.93	400.0	0.2	NIST	L457
25.02	Mn	III	2049.68	500.0	0.25	NIST	L457
25.02	Mn	III	2056.8	300.0	0.15	NIST	L457
25.02	Mn	III	2066.38	500.0	0.25	NIST	L457
25.02	Mn	III	2069.02	1000.0	0.5	NIST	L457
25.02	Mn	III	2077.38	900.0	0.45	NIST	L457
25.02	Mn	III	2078.13	300.0	0.15	NIST	L457
25.02	Mn	III	2084.23	800.0	0.4	NIST	L457
25.02	Mn	III	2090.05	600.0	0.3	NIST	L457
25.02	Mn	III	2090.25	300.0	0.15	NIST	L457
25.02	Mn	III	2094.14	300.0	0.15	NIST	L457
25.02	Mn	III	2094.78	500.0	0.25	NIST	L457
25.02	Mn	III	2097.93	500.0	0.25	NIST	L457
25.02	Mn	III	2099.97	500.0	0.25	NIST	L457
25.02	Mn	III	2123.25	300.0	0.15	NIST	L457
25.02	Mn	III	2169.78	1000.0	0.5	NIST	L457
25.02	Mn	III	2174.15	700.0	0.35	NIST	L457
25.02	Mn	III	2176.87	900.0	0.45	NIST	L457
25.02	Mn	III	2181.86	800.0	0.4	NIST	L457
25.02	Mn	III	2184.87	800.0	0.4	NIST	L457
25.02	Mn	III	2185.13	600.0	0.3	NIST	L457
25.02	Mn	III	2211.95	400.0	0.2	NIST	L457
25.02	Mn	III	2212.42	600.0	0.3	NIST	L457
25.02	Mn	III	2215.21	800.0	0.4	NIST	L457
25.02	Mn	III	2220.55	900.0	0.45	NIST	L457
25.02	Mn	III	2227.42	1000.0	0.5	NIST	L457
25.02	Mn	III	3287.49	100.0	0.05	NIST	L457
25.02	Mn	III	3540.52	100.0	0.05	NIST	L457
25.02	Mn	III	3601.72	150.0	0.075	NIST	L457
25.02	Mn	III	3616.0	100.0	0.05	NIST	L457
25.02	Mn	III	4246.17	100.0	0.05	NIST	L457
25.02	Mn	III	5079.2	200.0	0.1	NIST	L457
25.02	Mn	III	5100.03	150.0	0.075	NIST	L457
25.02	Mn	III	5117.03	100.0	0.05	NIST	L457
25.02	Mn	III	5252.23	100.0	0.05	NIST	L457
25.02	Mn	III	5365.59	100.0	0.05	NIST	L457
25.02	Mn	III	5454.07	150.0	0.075	NIST	L457
25.02	Mn	III	5474.68	200.0	0.1	NIST	L457
25.02	Mn	III	5671.12	100.0	0.05	NIST	L457
25.02	Mn	III	5946.65	200.0	0.1	NIST	L457
25.02	Mn	III	6213.11	100.0	0.05	NIST	L457
25.02	Mn	III	6231.21	200.0	0.1	NIST	L457
25.02	Mn	III	6238.64	100.0	0.05	NIST	L457
25.02	Mn	III	6273.71	100.0	0.05	NIST	L457
