atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.03	Mn	IV	579.79	60.0	0.6316	NIST	L295
25.03	Mn	IV	581.44	60.0	0.6316	NIST	L295
25.03	Mn	IV	581.65	60.0	0.6316	NIST	L295
25.03	Mn	IV	585.21	60.0	0.6316	NIST	L295
25.03	Mn	IV	1242.25	90.0	0.9474	NIST	L295
25.03	Mn	IV	1244.5	90.0	0.9474	NIST	L295
25.03	Mn	IV	1247.73	85.0	0.8947	NIST	L295
25.03	Mn	IV	1251.93	95.0	1.0	NIST	L295
25.03	Mn	IV	1257.28	95.0	1.0	NIST	L295
25.03	Mn	IV	1264.41	90.0	0.9474	NIST	L295
25.03	Mn	IV	1603.6	70.0	0.7368	NIST	L295
25.03	Mn	IV	1611.1	70.0	0.7368	NIST	L295
25.03	Mn	IV	1653.83	75.0	0.7895	NIST	L295
25.03	Mn	IV	1656.39	70.0	0.7368	NIST	L295
25.03	Mn	IV	1659.25	70.0	0.7368	NIST	L295
25.03	Mn	IV	1664.73	75.0	0.7895	NIST	L295
25.03	Mn	IV	1667.0	80.0	0.8421	NIST	L295
25.03	Mn	IV	1670.08	70.0	0.7368	NIST	L295
25.03	Mn	IV	1691.68	75.0	0.7895	NIST	L295
25.03	Mn	IV	1693.15	75.0	0.7895	NIST	L295
25.03	Mn	IV	1698.3	80.0	0.8421	NIST	L295
25.03	Mn	IV	1698.7	75.0	0.7895	NIST	L295
25.03	Mn	IV	1699.06	70.0	0.7368	NIST	L295
25.03	Mn	IV	1707.43	75.0	0.7895	NIST	L295
25.03	Mn	IV	1718.67	65.0	0.6842	NIST	L295
25.03	Mn	IV	1720.52	75.0	0.7895	NIST	L295
25.03	Mn	IV	1720.74	75.0	0.7895	NIST	L295
25.03	Mn	IV	1721.41	75.0	0.7895	NIST	L295
25.03	Mn	IV	1722.94	65.0	0.6842	NIST	L295
25.03	Mn	IV	1724.83	75.0	0.7895	NIST	L295
25.03	Mn	IV	1742.1	85.0	0.8947	NIST	L295
25.03	Mn	IV	1751.59	85.0	0.8947	NIST	L295
25.03	Mn	IV	1759.82	75.0	0.7895	NIST	L295
25.03	Mn	IV	1762.17	70.0	0.7368	NIST	L295
25.03	Mn	IV	1762.94	75.0	0.7895	NIST	L295
25.03	Mn	IV	1766.27	85.0	0.8947	NIST	L295
25.03	Mn	IV	1767.09	75.0	0.7895	NIST	L295
25.03	Mn	IV	1772.11	65.0	0.6842	NIST	L295
25.03	Mn	IV	1773.51	75.0	0.7895	NIST	L295
25.03	Mn	IV	1782.21	75.0	0.7895	NIST	L295
25.03	Mn	IV	1786.02	75.0	0.7895	NIST	L295
25.03	Mn	IV	1787.04	75.0	0.7895	NIST	L295
25.03	Mn	IV	1787.38	75.0	0.7895	NIST	L295
25.03	Mn	IV	1788.64	75.0	0.7895	NIST	L295
25.03	Mn	IV	1790.44	75.0	0.7895	NIST	L295
25.03	Mn	IV	1795.65	80.0	0.8421	NIST	L295
25.03	Mn	IV	1795.79	80.0	0.8421	NIST	L295
25.03	Mn	IV	1907.03	60.0	0.6316	NIST	L295
25.03	Mn	IV	1910.25	75.0	0.7895	NIST	L295
25.03	Mn	IV	1997.54	65.0	0.6842	NIST	L295
