atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
25.17	Mn	XVIII	14.698	2.0	0.1818	NIST	L2563
25.17	Mn	XVIII	14.752	4.0	0.3636	NIST	L2563
25.17	Mn	XVIII	14.877	7.0	0.6364	NIST	L2563
25.17	Mn	XVIII	15.238	2.0	0.1818	NIST	L2563
25.17	Mn	XVIII	15.403	2.0	0.1818	NIST	L2563
25.17	Mn	XVIII	16.185	6.0	0.5455	NIST	L2183
25.17	Mn	XVIII	16.255	5.0	0.4545	NIST	L2183
25.17	Mn	XVIII	16.425	3.0	0.2727	NIST	L2183
25.17	Mn	XVIII	16.451	4.0	0.3636	NIST	L2183
25.17	Mn	XVIII	16.521	4.0	0.3636	NIST	L2183
25.17	Mn	XVIII	16.54	5.0	0.4545	NIST	L2183
25.17	Mn	XVIII	16.577	3.0	0.2727	NIST	L2183
25.17	Mn	XVIII	16.724	1.0	0.0909	NIST	L2183
25.17	Mn	XVIII	84.05	6.0	0.5455	NIST	L5205
25.17	Mn	XVIII	89.03	1.0	0.0909	NIST	L5205
25.17	Mn	XVIII	89.59	1.0	0.0909	NIST	L5205
25.17	Mn	XVIII	91.9	2.0	0.1818	NIST	L5205
25.17	Mn	XVIII	96.23	10.0	0.9091	NIST	L5205
25.17	Mn	XVIII	108.76	8.0	0.7273	NIST	L5205
25.17	Mn	XVIII	111.39	5.0	0.4545	NIST	L5205
25.17	Mn	XVIII	113.3	8.0	0.7273	NIST	L5205
25.17	Mn	XVIII	115.38	11.0	1.0	NIST	L5205
25.17	Mn	XVIII	117.25	7.0	0.6364	NIST	L5205
25.17	Mn	XVIII	118.22	6.0	0.5455	NIST	L5205
25.17	Mn	XVIII	122.29	7.0	0.6364	NIST	L5205
25.17	Mn	XVIII	126.09	8.0	0.7273	NIST	L5205
25.17	Mn	XVIII	139.65	3.0	0.2727	NIST	L5205
