atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.03	Mo	IV	857.75	10.0	0.1	NIST	L3357
42.03	Mo	IV	859.72	10.0	0.1	NIST	L3357
42.03	Mo	IV	863.63	20.0	0.2	NIST	L3357
42.03	Mo	IV	865.24	25.0	0.25	NIST	L3357
42.03	Mo	IV	865.53	20.0	0.2	NIST	L3357
42.03	Mo	IV	867.92	50.0	0.5	NIST	L3357
42.03	Mo	IV	878.43	10.0	0.1	NIST	L3357
42.03	Mo	IV	884.19	100.0	1.0	NIST	L3357
42.03	Mo	IV	884.82	10.0	0.1	NIST	L3357
42.03	Mo	IV	886.05	60.0	0.6	NIST	L3357
42.03	Mo	IV	891.74	50.0	0.5	NIST	L3357
42.03	Mo	IV	894.8	40.0	0.4	NIST	L3357
42.03	Mo	IV	895.41	15.0	0.15	NIST	L3357
42.03	Mo	IV	1819.5	20.0	0.2	NIST	L3357
42.03	Mo	IV	1821.59	30.0	0.3	NIST	L3357
42.03	Mo	IV	1850.69	30.0	0.3	NIST	L3357
42.03	Mo	IV	1877.88	20.0	0.2	NIST	L3357
42.03	Mo	IV	1926.26	80.0	0.8	NIST	L3357
42.03	Mo	IV	1929.24	100.0	1.0	NIST	L3357
42.03	Mo	IV	1949.44	20.0	0.2	NIST	L3357
42.03	Mo	IV	1971.06	80.0	0.8	NIST	L3357
42.03	Mo	IV	1991.41	20.0	0.2	NIST	L3357
42.03	Mo	IV	2010.92	70.0	0.7	NIST	L3357
42.03	Mo	IV	2023.78	20.0	0.2	NIST	L3357
42.03	Mo	IV	2055.64	25.0	0.25	NIST	L3357
42.03	Mo	IV	2060.38	50.0	0.5	NIST	L3357
42.03	Mo	IV	2091.89	15.0	0.15	NIST	L3357
42.03	Mo	IV	2113.78	10.0	0.1	NIST	L3357
42.03	Mo	IV	2140.33	5.0	0.05	NIST	L3357
