atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.11	Mo	XII	131.394	100.0	0.1	NIST	L6833
42.11	Mo	XII	136.499	200.0	0.2	NIST	L6833
42.11	Mo	XII	235.847	400.0	0.4	NIST	L10267
42.11	Mo	XII	250.112	500.0	0.5	NIST	L10267
42.11	Mo	XII	252.819	40.0	0.04	NIST	L10267
42.11	Mo	XII	301.17	200.0	0.2	NIST	L6833
42.11	Mo	XII	307.202	100.0	0.1	NIST	L6833
42.11	Mo	XII	329.414	1000.0	1.0	NIST	L6833
42.11	Mo	XII	336.639	800.0	0.8	NIST	L6833
42.11	Mo	XII	337.674	100.0	0.1	NIST	L10267
42.11	Mo	XII	338.061	100.0	0.1	NIST	L10267
42.11	Mo	XII	344.093	300.0	0.3	NIST	L10267
42.11	Mo	XII	352.028	100.0	0.1	NIST	L10267
42.11	Mo	XII	352.738	200.0	0.2	NIST	L10267
42.11	Mo	XII	354.594	300.0	0.3	NIST	L10267
42.11	Mo	XII	371.244	400.0	0.4	NIST	L10267
42.11	Mo	XII	381.125	500.0	0.5	NIST	L10267
42.11	Mo	XII	414.764	100.0	0.1	NIST	L10267
42.11	Mo	XII	415.458	200.0	0.2	NIST	L10267
42.11	Mo	XII	452.64	4.0	0.004	NIST	L10267
42.11	Mo	XII	508.8	4.0	0.004	NIST	L10267
42.11	Mo	XII	510.798	5.0	0.005	NIST	L11283
