atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.30	Mo	XXXI	86.15	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	94.737	5.0	1.0	NIST	L10678
42.30	Mo	XXXI	95.358	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	96.471	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	96.563	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	96.839	4.0	0.8	NIST	L10678
42.30	Mo	XXXI	97.964	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	98.224	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	100.43	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	100.62	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	101.081	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	112.64	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	113.897	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	115.555	1.0	0.2	NIST	L10678
42.30	Mo	XXXI	115.988	5.0	1.0	NIST	L10678
42.30	Mo	XXXI	115.999	5.0	1.0	NIST	L10226
42.30	Mo	XXXI	118.56	2.0	0.4	NIST	L10678
42.30	Mo	XXXI	118.797	1.0	0.2	NIST	L10678
42.30	Mo	XXXI	121.373	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	124.236	1.0	0.2	NIST	L10678
42.30	Mo	XXXI	131.905	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	133.21	3.0	0.6	NIST	L10678
42.30	Mo	XXXI	136.066	2.0	0.4	NIST	L10678
