atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
42.31	Mo	XXXII	10.197	2.0	0.0444	NIST	L4257
42.31	Mo	XXXII	10.241	3.0	0.0667	NIST	L4257
42.31	Mo	XXXII	10.272	3.0	0.0667	NIST	L4257
42.31	Mo	XXXII	10.323	2.0	0.0444	NIST	L4257
42.31	Mo	XXXII	10.767	5.0	0.1111	NIST	L4109
42.31	Mo	XXXII	11.011	11.0	0.2444	NIST	L4109
42.31	Mo	XXXII	11.898	8.0	0.1778	NIST	L4109
42.31	Mo	XXXII	11.957	17.0	0.3778	NIST	L4109
42.31	Mo	XXXII	12.284	1.0	0.0222	NIST	L4109
42.31	Mo	XXXII	14.382	27.0	0.6	NIST	L4257
42.31	Mo	XXXII	14.566	19.0	0.4222	NIST	L10544
42.31	Mo	XXXII	15.002	22.0	0.4889	NIST	L10544
42.31	Mo	XXXII	15.457	35.0	0.7778	NIST	L10544
42.31	Mo	XXXII	15.506	7.0	0.1556	NIST	L10544
42.31	Mo	XXXII	16.49	10.0	0.2222	NIST	L10544
42.31	Mo	XXXII	17.042	35.0	0.7778	NIST	L6973
42.31	Mo	XXXII	17.097	5.0	0.1111	NIST	L10544
42.31	Mo	XXXII	17.149	45.0	1.0	NIST	L6973
42.31	Mo	XXXII	17.172	3.0	0.0667	NIST	L10544
42.31	Mo	XXXII	18.431	5.0	0.1111	NIST	L4109
42.31	Mo	XXXII	18.581	26.0	0.5778	NIST	L10544
42.31	Mo	XXXII	18.72	1.0	0.0222	NIST	L4109
42.31	Mo	XXXII	104.291	20.0	0.4444	NIST	L6973
42.31	Mo	XXXII	126.979	20.0	0.4444	NIST	L6973
42.31	Mo	XXXII	127.868	25.0	0.5556	NIST	L6973
42.31	Mo	XXXII	176.648	1.0	0.0222	NIST	L6973
