atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
07.02	N	III	257.95	500.0	0.5	NIST	L3513
07.02	N	III	258.5	650.0	0.65	NIST	L3513
07.02	N	III	259.19	700.0	0.7	NIST	L3513
07.02	N	III	260.09	800.0	0.8	NIST	L3513
07.02	N	III	261.28	800.0	0.8	NIST	L3513
07.02	N	III	262.91	500.0	0.5	NIST	L3513
07.02	N	III	265.23	500.0	0.5	NIST	L3513
07.02	N	III	265.27	500.0	0.5	NIST	L3513
07.02	N	III	268.7	500.0	0.5	NIST	L3513
07.02	N	III	314.715	150.0	0.15	NIST	L3492
07.02	N	III	314.85	200.0	0.2	NIST	L3492
07.02	N	III	314.877	90.0	0.09	NIST	L3492
07.02	N	III	323.26	600.0	0.6	NIST	L3513
07.02	N	III	338.35	500.0	0.5	NIST	L3513
07.02	N	III	340.2	500.0	0.5	NIST	L3513
07.02	N	III	351.98	500.0	0.5	NIST	L3513
07.02	N	III	362.833	120.0	0.12	NIST	L3492
07.02	N	III	362.881	150.0	0.15	NIST	L3492
07.02	N	III	362.946	150.0	0.15	NIST	L3492
07.02	N	III	362.985	90.0	0.09	NIST	L3492
07.02	N	III	374.204	300.0	0.3	NIST	L3492
07.02	N	III	374.441	350.0	0.35	NIST	L3492
07.02	N	III	387.48	500.0	0.5	NIST	L3513
07.02	N	III	451.869	250.0	0.25	NIST	L3492
07.02	N	III	452.226	300.0	0.3	NIST	L3492
07.02	N	III	684.996	500.0	0.5	NIST	L3513
07.02	N	III	685.513	570.0	0.57	NIST	L3513
07.02	N	III	685.816	650.0	0.65	NIST	L3513
07.02	N	III	686.335	500.0	0.5	NIST	L3513
07.02	N	III	763.336	500.0	0.5	NIST	L3513
07.02	N	III	764.359	570.0	0.57	NIST	L3513
07.02	N	III	771.544	250.0	0.25	NIST	L3513
07.02	N	III	771.901	300.0	0.3	NIST	L3513
07.02	N	III	772.385	350.0	0.35	NIST	L3513
07.02	N	III	772.891	200.0	0.2	NIST	L3513
07.02	N	III	772.975	150.0	0.15	NIST	L3513
07.02	N	III	979.842	650.0	0.65	NIST	L3513
07.02	N	III	979.919	700.0	0.7	NIST	L3513
07.02	N	III	989.79	900.0	0.9	NIST	L3513
07.02	N	III	991.514	700.0	0.7	NIST	L3513
07.02	N	III	991.579	1000.0	1.0	NIST	L3513
07.02	N	III	1183.031	500.0	0.5	NIST	L3513
07.02	N	III	1184.55	570.0	0.57	NIST	L3513
07.02	N	III	1387.371	150.0	0.15	NIST	L3513
07.02	N	III	1729.945	250.0	0.25	NIST	L3513
07.02	N	III	1747.848	570.0	0.57	NIST	L3513
07.02	N	III	1751.218	350.0	0.35	NIST	L3513
07.02	N	III	1751.657	650.0	0.65	NIST	L3513
07.02	N	III	1804.486	150.0	0.15	NIST	L3513
07.02	N	III	1805.669	200.0	0.2	NIST	L3513
07.02	N	III	1846.42	150.0	0.15	NIST	L3513
07.02	N	III	1885.06	350.0	0.35	NIST	L3513
07.02	N	III	1885.22	400.0	0.4	NIST	L3513
07.02	N	III	1907.99	200.0	0.2	NIST	L3513
07.02	N	III	1919.55	150.0	0.15	NIST	L3513
07.02	N	III	1919.77	150.0	0.15	NIST	L3513
07.02	N	III	1920.65	300.0	0.3	NIST	L3513
07.02	N	III	1920.84	150.0	0.15	NIST	L3513
07.02	N	III	1921.3	200.0	0.2	NIST	L3513
07.02	N	III	2064.01	200.0	0.2	NIST	L3513
07.02	N	III	2064.42	250.0	0.25	NIST	L3513
07.02	N	III	2068.68	120.0	0.12	NIST	L3513
07.02	N	III	2071.09	90.0	0.09	NIST	L3513
07.02	N	III	2117.59	90.0	0.09	NIST	L3513
07.02	N	III	2121.5	90.0	0.09	NIST	L3513
07.02	N	III	2147.31	90.0	0.09	NIST	L3513
07.02	N	III	2188.2	200.0	0.2	NIST	L3513
07.02	N	III	2188.38	150.0	0.15	NIST	L3513
07.02	N	III	2682.18	250.0	0.25	NIST	L3513
07.02	N	III	2689.2	90.0	0.09	NIST	L3513
07.02	N	III	3367.34	120.0	0.12	NIST	L3513
07.02	N	III	3754.67	90.0	0.09	NIST	L3513
07.02	N	III	3771.05	120.0	0.12	NIST	L3513
07.02	N	III	3938.52	90.0	0.09	NIST	L3513
07.02	N	III	3998.63	150.0	0.15	NIST	L3513
07.02	N	III	4003.58	200.0	0.2	NIST	L3513
07.02	N	III	4097.33	250.0	0.25	NIST	L3513
07.02	N	III	4103.43	200.0	0.2	NIST	L3513
07.02	N	III	4195.76	120.0	0.12	NIST	L3513
07.02	N	III	4200.1	150.0	0.15	NIST	L3513
07.02	N	III	4332.91	90.0	0.09	NIST	L3513
07.02	N	III	4345.68	120.0	0.12	NIST	L3513
07.02	N	III	4379.11	300.0	0.3	NIST	L3513
07.02	N	III	4510.91	90.0	0.09	NIST	L3513
07.02	N	III	4514.86	120.0	0.12	NIST	L3513
07.02	N	III	4634.14	90.0	0.09	NIST	L3513
07.02	N	III	4640.64	120.0	0.12	NIST	L3513
07.02	N	III	4858.82	90.0	0.09	NIST	L3513
07.02	N	III	4867.15	150.0	0.15	NIST	L3513
07.02	N	III	5314.35	90.0	0.09	NIST	L3513
07.02	N	III	5320.82	200.0	0.2	NIST	L3513
07.02	N	III	5327.18	150.0	0.15	NIST	L3513
07.02	N	III	6454.11	90.0	0.09	NIST	L3513
07.02	N	III	6467.02	120.0	0.12	NIST	L3513
