atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
07.03	N	IV	181.75	400.0	0.4	NIST	L1356
07.03	N	IV	191.7	400.0	0.4	NIST	L1356
07.03	N	IV	192.9	400.0	0.4	NIST	L1356
07.03	N	IV	196.87	500.0	0.5	NIST	L1356
07.03	N	IV	197.23	500.0	0.5	NIST	L1356
07.03	N	IV	202.6	500.0	0.5	NIST	L1356
07.03	N	IV	205.94	500.0	0.5	NIST	L1356
07.03	N	IV	205.97	500.0	0.5	NIST	L1356
07.03	N	IV	206.03	500.0	0.5	NIST	L1356
07.03	N	IV	217.2	500.0	0.5	NIST	L1356
07.03	N	IV	217.9	500.0	0.5	NIST	L1356
07.03	N	IV	223.4	500.0	0.5	NIST	L1356
07.03	N	IV	225.12	800.0	0.8	NIST	L1356
07.03	N	IV	225.21	800.0	0.8	NIST	L1356
07.03	N	IV	234.12	600.0	0.6	NIST	L1356
07.03	N	IV	234.2	600.0	0.6	NIST	L1356
07.03	N	IV	234.25	600.0	0.6	NIST	L1356
07.03	N	IV	236.07	550.0	0.55	NIST	L1356
07.03	N	IV	237.99	500.0	0.5	NIST	L1356
07.03	N	IV	238.7	500.0	0.5	NIST	L1356
07.03	N	IV	238.8	600.0	0.6	NIST	L1356
07.03	N	IV	239.62	500.0	0.5	NIST	L1356
07.03	N	IV	247.2	900.0	0.9	NIST	L1356
07.03	N	IV	248.43	500.0	0.5	NIST	L1356
07.03	N	IV	248.46	500.0	0.5	NIST	L1356
07.03	N	IV	248.48	500.0	0.5	NIST	L1356
07.03	N	IV	260.45	600.0	0.6	NIST	L1356
07.03	N	IV	270.99	650.0	0.65	NIST	L1356
07.03	N	IV	283.42	250.0	0.25	NIST	L1356
07.03	N	IV	283.48	300.0	0.3	NIST	L1356
07.03	N	IV	283.58	350.0	0.35	NIST	L1356
07.03	N	IV	285.56	600.0	0.6	NIST	L1356
07.03	N	IV	297.7	600.0	0.6	NIST	L1356
07.03	N	IV	297.82	700.0	0.7	NIST	L1356
07.03	N	IV	300.32	650.0	0.65	NIST	L1356
07.03	N	IV	303.123	90.0	0.09	NIST	L4738
07.03	N	IV	303.28	500.0	0.5	NIST	L1356
07.03	N	IV	315.053	150.0	0.15	NIST	L4738
07.03	N	IV	322.503	120.0	0.12	NIST	L4738
07.03	N	IV	322.57	150.0	0.15	NIST	L4738
07.03	N	IV	322.724	200.0	0.2	NIST	L4738
07.03	N	IV	323.175	120.0	0.12	NIST	L4738
07.03	N	IV	335.05	300.0	0.3	NIST	L4738
07.03	N	IV	351.93	500.0	0.5	NIST	L1356
07.03	N	IV	353.06	700.0	0.7	NIST	L1356
07.03	N	IV	420.77	500.0	0.5	NIST	L1356
07.03	N	IV	463.74	650.0	0.65	NIST	L1356
07.03	N	IV	765.148	570.0	0.57	NIST	L4738
07.03	N	IV	921.992	520.0	0.52	NIST	L4738
07.03	N	IV	922.519	500.0	0.5	NIST	L4738
07.03	N	IV	923.057	480.0	0.48	NIST	L4738
07.03	N	IV	924.283	520.0	0.52	NIST	L4738
07.03	N	IV	955.335	1000.0	1.0	NIST	L4738
07.03	N	IV	1036.16	150.0	0.15	NIST	L4738
07.03	N	IV	1078.71	90.0	0.09	NIST	L4738
07.03	N	IV	1188.01	90.0	0.09	NIST	L4738
07.03	N	IV	1718.55	1000.0	1.0	NIST	L4738
07.03	N	IV	2080.34	90.0	0.09	NIST	L4738
07.03	N	IV	2318.09	90.0	0.09	NIST	L4738
07.03	N	IV	2477.69	150.0	0.15	NIST	L4738
07.03	N	IV	2645.65	250.0	0.25	NIST	L4738
07.03	N	IV	2646.18	300.0	0.3	NIST	L4738
07.03	N	IV	2646.96	350.0	0.35	NIST	L4738
07.03	N	IV	3078.25	90.0	0.09	NIST	L4738
07.03	N	IV	3463.37	90.0	0.09	NIST	L4738
07.03	N	IV	3478.71	570.0	0.57	NIST	L4738
07.03	N	IV	3482.99	500.0	0.5	NIST	L4738
07.03	N	IV	3484.96	400.0	0.4	NIST	L4738
07.03	N	IV	3747.54	90.0	0.09	NIST	L4738
07.03	N	IV	4057.76	150.0	0.15	NIST	L4738
07.03	N	IV	4606.33	90.0	0.09	NIST	L4738
07.03	N	IV	6380.77	150.0	0.15	NIST	L4738
