atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
11.02	Na	III	181.023	3.0	0.03	NIST	L1883
11.02	Na	III	181.476	3.0	0.03	NIST	L1883
11.02	Na	III	182.511	1.0	0.01	NIST	L1883
11.02	Na	III	182.968	1.0	0.01	NIST	L1883
11.02	Na	III	183.515	1.0	0.01	NIST	L1883
11.02	Na	III	183.556	3.0	0.03	NIST	L1883
11.02	Na	III	183.571	4.0	0.04	NIST	L1883
11.02	Na	III	183.729	3.0	0.03	NIST	L1883
11.02	Na	III	183.747	4.0	0.04	NIST	L1883
11.02	Na	III	183.946	5.0	0.05	NIST	L1883
11.02	Na	III	184.019	4.0	0.04	NIST	L1883
11.02	Na	III	184.193	4.0	0.04	NIST	L1883
11.02	Na	III	184.206	4.0	0.04	NIST	L1883
11.02	Na	III	184.409	4.0	0.04	NIST	L1883
11.02	Na	III	188.858	3.0	0.03	NIST	L1883
11.02	Na	III	188.8739	4.0	0.04	NIST	L1883
11.02	Na	III	189.3488	5.0	0.05	NIST	L1883
11.02	Na	III	191.0	5.0	0.05	NIST	L1883
11.02	Na	III	191.307	4.0	0.04	NIST	L1883
11.02	Na	III	191.5118	3.0	0.03	NIST	L1883
11.02	Na	III	191.808	2.0	0.02	NIST	L1883
11.02	Na	III	193.8043	5.0	0.05	NIST	L1883
11.02	Na	III	194.0372	5.0	0.05	NIST	L1883
11.02	Na	III	194.1213	4.0	0.04	NIST	L1883
11.02	Na	III	194.1689	5.0	0.05	NIST	L1883
11.02	Na	III	194.2926	5.0	0.05	NIST	L1883
11.02	Na	III	194.3228	4.0	0.04	NIST	L1883
11.02	Na	III	194.4617	5.0	0.05	NIST	L1883
11.02	Na	III	194.53	2.0	0.02	NIST	L1883
11.02	Na	III	194.55	5.0	0.05	NIST	L1883
11.02	Na	III	194.6392	5.0	0.05	NIST	L1883
11.02	Na	III	194.6842	6.0	0.06	NIST	L1883
11.02	Na	III	194.9795	5.0	0.05	NIST	L1883
11.02	Na	III	195.0447	3.0	0.03	NIST	L1883
11.02	Na	III	195.5321	6.0	0.06	NIST	L1883
11.02	Na	III	196.0546	5.0	0.05	NIST	L1883
11.02	Na	III	201.845	2.0	0.02	NIST	L1883
11.02	Na	III	202.1499	6.0	0.06	NIST	L1883
11.02	Na	III	202.1862	6.0	0.06	NIST	L1883
11.02	Na	III	202.4947	8.0	0.08	NIST	L1883
11.02	Na	III	202.709	5.0	0.05	NIST	L1883
11.02	Na	III	202.721	7.0	0.07	NIST	L1883
11.02	Na	III	202.7645	8.0	0.08	NIST	L1883
11.02	Na	III	203.055	8.0	0.08	NIST	L1883
11.02	Na	III	203.284	8.0	0.08	NIST	L1883
11.02	Na	III	203.326	3.0	0.03	NIST	L1883
11.02	Na	III	206.8743	6.0	0.06	NIST	L1883
11.02	Na	III	207.297	10.0	0.1	NIST	L1883
11.02	Na	III	207.4609	6.0	0.06	NIST	L1883
11.02	Na	III	207.746	1.0	0.01	NIST	L1883
11.02	Na	III	207.8859	7.0	0.07	NIST	L1883
11.02	Na	III	207.9964	5.0	0.05	NIST	L1883
11.02	Na	III	208.338	1.0	0.01	NIST	L1883
11.02	Na	III	208.343	1.0	0.01	NIST	L1883
11.02	Na	III	208.591	2.0	0.02	NIST	L1883
11.02	Na	III	214.2237	7.0	0.07	NIST	L1883
11.02	Na	III	214.5885	8.0	0.08	NIST	L1883
11.02	Na	III	214.86	6.0	0.06	NIST	L1883
11.02	Na	III	214.874	8.0	0.08	NIST	L1883
11.02	Na	III	215.047	8.0	0.08	NIST	L1883
11.02	Na	III	215.082	8.0	0.08	NIST	L1883
11.02	Na	III	215.218	3.0	0.03	NIST	L1883
11.02	Na	III	215.228	15.0	0.15	NIST	L1883
11.02	Na	III	215.324	2.0	0.02	NIST	L1883
11.02	Na	III	215.34	10.0	0.1	NIST	L1883
11.02	Na	III	215.4819	8.0	0.08	NIST	L1883
11.02	Na	III	215.659	7.0	0.07	NIST	L1883
11.02	Na	III	215.683	7.0	0.07	NIST	L1883
11.02	Na	III	215.8607	12.0	0.12	NIST	L1883
