atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
41.00	Nb	I	2436.33	35.0	0.0022	NIST	L3475
41.00	Nb	I	2462.89	65.0	0.0041	NIST	L3475
41.00	Nb	I	2466.73	35.0	0.0022	NIST	L3475
41.00	Nb	I	2469.08	55.0	0.0034	NIST	L3475
41.00	Nb	I	2504.65	110.0	0.0069	NIST	L3475
41.00	Nb	I	2565.41	130.0	0.0081	NIST	L3475
41.00	Nb	I	2569.03	100.0	0.0063	NIST	L3475
41.00	Nb	I	2578.74	200.0	0.0125	NIST	L3475
41.00	Nb	I	2592.2	270.0	0.0169	NIST	L3475
41.00	Nb	I	2616.48	130.0	0.0081	NIST	L3475
41.00	Nb	I	2623.51	130.0	0.0081	NIST	L3475
41.00	Nb	I	2627.44	130.0	0.0081	NIST	L3475
41.00	Nb	I	2628.49	130.0	0.0081	NIST	L3475
41.00	Nb	I	2647.5	330.0	0.0206	NIST	L3475
41.00	Nb	I	2649.52	240.0	0.015	NIST	L3475
41.00	Nb	I	2654.45	330.0	0.0206	NIST	L3475
41.00	Nb	I	2657.62	160.0	0.01	NIST	L3475
41.00	Nb	I	2668.29	130.0	0.0081	NIST	L3475
41.00	Nb	I	2687.15	130.0	0.0081	NIST	L3475
41.00	Nb	I	2746.91	200.0	0.0125	NIST	L3475
41.00	Nb	I	2748.85	200.0	0.0125	NIST	L3475
41.00	Nb	I	2753.01	190.0	0.0119	NIST	L3475
41.00	Nb	I	2758.61	280.0	0.0175	NIST	L3475
41.00	Nb	I	2773.2	310.0	0.0194	NIST	L3475
41.00	Nb	I	2782.36	130.0	0.0081	NIST	L3475
41.00	Nb	I	2836.24	150.0	0.0094	NIST	L3475
41.00	Nb	I	2840.94	110.0	0.0069	NIST	L3475
41.00	Nb	I	2851.45	110.0	0.0069	NIST	L3475
41.00	Nb	I	2864.32	100.0	0.0063	NIST	L3475
41.00	Nb	I	3048.1	150.0	0.0094	NIST	L3475
41.00	Nb	I	3053.09	110.0	0.0069	NIST	L3475
41.00	Nb	I	3111.45	150.0	0.0094	NIST	L3475
41.00	Nb	I	3151.87	140.0	0.0088	NIST	L3475
41.00	Nb	I	3187.49	200.0	0.0125	NIST	L3475
41.00	Nb	I	3249.52	160.0	0.01	NIST	L3475
41.00	Nb	I	3264.59	160.0	0.01	NIST	L3475
41.00	Nb	I	3270.47	120.0	0.0075	NIST	L3475
41.00	Nb	I	3270.76	100.0	0.0063	NIST	L3475
41.00	Nb	I	3272.07	200.0	0.0125	NIST	L3475
41.00	Nb	I	3277.67	160.0	0.01	NIST	L3475
41.00	Nb	I	3285.66	230.0	0.0144	NIST	L3475
41.00	Nb	I	3287.59	200.0	0.0125	NIST	L3475
41.00	Nb	I	3287.92	160.0	0.01	NIST	L3475
41.00	Nb	I	3296.01	320.0	0.02	NIST	L3475
41.00	Nb	I	3299.61	160.0	0.01	NIST	L3475
41.00	Nb	I	3304.83	120.0	0.0075	NIST	L3475
41.00	Nb	I	3308.05	120.0	0.0075	NIST	L3475
41.00	Nb	I	3310.47	120.0	0.0075	NIST	L3475
41.00	Nb	I	3312.6	400.0	0.025	NIST	L3475
41.00	Nb	I	3315.22	200.0	0.0125	NIST	L3475
41.00	Nb	I	3318.98	200.0	0.0125	NIST	L3475
41.00	Nb	I	3319.26	120.0	0.0075	NIST	L3475
41.00	Nb	I	3326.62	240.0	0.015	NIST	L3475
41.00	Nb	I	3329.36	170.0	0.0106	NIST	L3475
41.00	Nb	I	3332.16	110.0	0.0069	NIST	L3475
41.00	Nb	I	3341.97	1300.0	0.0813	NIST	L3475
41.00	Nb	I	3343.71	1300.0	0.0813	NIST	L3475
41.00	Nb	I	3346.93	130.0	0.0081	NIST	L3475
41.00	Nb	I	3349.06	1700.0	0.1062	NIST	L3475
41.00	Nb	I	3349.52	420.0	0.0262	NIST	L3475
41.00	Nb	I	3354.74	340.0	0.0213	NIST	L3475
41.00	Nb	I	3357.04	130.0	0.0081	NIST	L3475
41.00	Nb	I	3358.42	1700.0	0.1062	NIST	L3475
41.00	Nb	I	3366.96	340.0	0.0213	NIST	L3475
41.00	Nb	I	3371.33	170.0	0.0106	NIST	L3475
41.00	Nb	I	3374.92	350.0	0.0219	NIST	L3475
41.00	Nb	I	3380.41	270.0	0.0169	NIST	L3475
41.00	Nb	I	3380.86	130.0	0.0081	NIST	L3475
41.00	Nb	I	3392.34	350.0	0.0219	NIST	L3475
41.00	Nb	I	3395.93	170.0	0.0106	NIST	L3475
41.00	Nb	I	3399.4	120.0	0.0075	NIST	L3475
41.00	Nb	I	3405.41	230.0	0.0144	NIST	L3475
41.00	Nb	I	3406.13	130.0	0.0081	NIST	L3475
41.00	Nb	I	3408.38	270.0	0.0169	NIST	L3475
41.00	Nb	I	3415.97	180.0	0.0112	NIST	L3475
41.00	Nb	I	3423.76	180.0	0.0112	NIST	L3475
41.00	Nb	I	3425.85	130.0	0.0081	NIST	L3475
41.00	Nb	I	3427.45	230.0	0.0144	NIST	L3475
41.00	Nb	I	3429.04	130.0	0.0081	NIST	L3475
41.00	Nb	I	3463.81	170.0	0.0106	NIST	L3475
41.00	Nb	I	3465.86	180.0	0.0112	NIST	L3475
41.00	Nb	I	3469.44	130.0	0.0081	NIST	L3475
41.00	Nb	I	3471.19	100.0	0.0063	NIST	L3475
41.00	Nb	I	3473.02	140.0	0.0088	NIST	L3475
41.00	Nb	I	3478.69	290.0	0.0181	NIST	L3475
41.00	Nb	I	3491.03	230.0	0.0144	NIST	L3475
41.00	Nb	I	3497.81	200.0	0.0125	NIST	L3475
41.00	Nb	I	3498.63	500.0	0.0312	NIST	L3475
41.00	Nb	I	3507.96	460.0	0.0288	NIST	L3475
41.00	Nb	I	3520.06	200.0	0.0125	NIST	L3475
41.00	Nb	I	3535.3	2000.0	0.125	NIST	L3475
41.00	Nb	I	3537.48	1300.0	0.0813	NIST	L3475
41.00	Nb	I	3544.02	500.0	0.0312	NIST	L3475
41.00	Nb	I	3544.65	250.0	0.0156	NIST	L3475
41.00	Nb	I	3550.45	300.0	0.0187	NIST	L3475
41.00	Nb	I	3554.52	250.0	0.0156	NIST	L3475
41.00	Nb	I	3554.66	1000.0	0.0625	NIST	L3475
41.00	Nb	I	3563.5	630.0	0.0394	NIST	L3475
41.00	Nb	I	3563.62	630.0	0.0394	NIST	L3475
41.00	Nb	I	3575.85	1500.0	0.0938	NIST	L3475
41.00	Nb	I	3577.72	200.0	0.0125	NIST	L3475
41.00	Nb	I	3580.27	5000.0	0.3125	NIST	L3475
41.00	Nb	I	3584.97	500.0	0.0312	NIST	L3475
