atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
41.03	Nb	IV	401.374	1.0	0.0	NIST	L12094
41.03	Nb	IV	402.659	2.0	0.0	NIST	L12094
41.03	Nb	IV	403.151	2.0	0.0	NIST	L12094
41.03	Nb	IV	407.725	3.0	0.0	NIST	L12094
41.03	Nb	IV	416.409	15.0	0.0	NIST	L12094
41.03	Nb	IV	422.679	2.0	0.0	NIST	L12094
41.03	Nb	IV	427.577	1.0	0.0	NIST	L12094
41.03	Nb	IV	428.539	2.0	0.0	NIST	L12094
41.03	Nb	IV	428.768	5.0	0.0	NIST	L12094
41.03	Nb	IV	429.89	5.0	0.0	NIST	L12094
41.03	Nb	IV	438.057	1.0	0.0	NIST	L12094
41.03	Nb	IV	438.282	1.0	0.0	NIST	L12094
41.03	Nb	IV	440.155	2.0	0.0	NIST	L12094
41.03	Nb	IV	440.521	1.0	0.0	NIST	L12094
41.03	Nb	IV	440.701	2.0	0.0	NIST	L12094
41.03	Nb	IV	441.067	2.0	0.0	NIST	L12094
41.03	Nb	IV	441.692	70.0	0.0	NIST	L12094
41.03	Nb	IV	441.705	130.0	0.0	NIST	L12094
41.03	Nb	IV	442.612	3.0	0.0	NIST	L12094
41.03	Nb	IV	443.076	3.0	0.0	NIST	L12094
41.03	Nb	IV	443.143	45.0	0.0	NIST	L12094
41.03	Nb	IV	443.377	150.0	0.0	NIST	L12094
41.03	Nb	IV	443.715	13.0	0.0	NIST	L12094
41.03	Nb	IV	443.806	13.0	0.0	NIST	L12094
41.03	Nb	IV	444.166	15.0	0.0	NIST	L12094
41.03	Nb	IV	445.239	25.0	0.0	NIST	L12094
41.03	Nb	IV	445.284	4.0	0.0	NIST	L12094
41.03	Nb	IV	445.558	12.0	0.0	NIST	L12094
41.03	Nb	IV	446.584	35.0	0.0	NIST	L12094
41.03	Nb	IV	447.873	1.0	0.0	NIST	L12094
41.03	Nb	IV	449.11	1.0	0.0	NIST	L12094
41.03	Nb	IV	450.67	1.0	0.0	NIST	L12094
41.03	Nb	IV	452.142	1.0	0.0	NIST	L12094
41.03	Nb	IV	452.526	35.0	0.0	NIST	L12094
41.03	Nb	IV	453.461	1.0	0.0	NIST	L12094
41.03	Nb	IV	454.737	30.0	0.0	NIST	L12094
41.03	Nb	IV	455.37	2.0	0.0	NIST	L12094
41.03	Nb	IV	455.755	5.0	0.0	NIST	L12094
41.03	Nb	IV	457.979	10.0	0.0	NIST	L12094
41.03	Nb	IV	458.231	35.0	0.0	NIST	L12094
