atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
60.01	Nd	II	2962.88	55.0	0.0102	NIST	L3475
60.01	Nd	II	2963.58	65.0	0.012	NIST	L3475
60.01	Nd	II	2993.2	80.0	0.0148	NIST	L3475
60.01	Nd	II	3007.97	95.0	0.0176	NIST	L3475
60.01	Nd	II	3014.19	95.0	0.0176	NIST	L3475
60.01	Nd	II	3018.35	95.0	0.0176	NIST	L3475
60.01	Nd	II	3026.47	80.0	0.0148	NIST	L3475
60.01	Nd	II	3038.98	50.0	0.0093	NIST	L3475
60.01	Nd	II	3051.11	50.0	0.0093	NIST	L3475
60.01	Nd	II	3052.15	80.0	0.0148	NIST	L3475
60.01	Nd	II	3056.71	140.0	0.0259	NIST	L3475
60.01	Nd	II	3069.73	130.0	0.0241	NIST	L3475
60.01	Nd	II	3071.43	65.0	0.012	NIST	L3475
60.01	Nd	II	3071.5	65.0	0.012	NIST	L3475
60.01	Nd	II	3075.38	160.0	0.0296	NIST	L3475
60.01	Nd	II	3079.38	95.0	0.0176	NIST	L3475
60.01	Nd	II	3080.94	95.0	0.0176	NIST	L3475
60.01	Nd	II	3092.92	240.0	0.0444	NIST	L3475
60.01	Nd	II	3098.48	140.0	0.0259	NIST	L3475
60.01	Nd	II	3099.52	55.0	0.0102	NIST	L3475
60.01	Nd	II	3105.43	130.0	0.0241	NIST	L3475
60.01	Nd	II	3106.18	95.0	0.0176	NIST	L3475
60.01	Nd	II	3108.01	65.0	0.012	NIST	L3475
60.01	Nd	II	3115.18	260.0	0.0481	NIST	L3475
60.01	Nd	II	3116.15	190.0	0.0352	NIST	L3475
60.01	Nd	II	3119.75	50.0	0.0093	NIST	L3475
60.01	Nd	II	3123.06	160.0	0.0296	NIST	L3475
60.01	Nd	II	3124.58	190.0	0.0352	NIST	L3475
60.01	Nd	II	3133.6	290.0	0.0537	NIST	L3475
60.01	Nd	II	3134.9	220.0	0.0407	NIST	L3475
60.01	Nd	II	3137.24	100.0	0.0185	NIST	L3475
60.01	Nd	II	3141.46	170.0	0.0315	NIST	L3475
60.01	Nd	II	3142.44	170.0	0.0315	NIST	L3475
60.01	Nd	II	3144.55	100.0	0.0185	NIST	L3475
60.01	Nd	II	3144.82	100.0	0.0185	NIST	L3475
60.01	Nd	II	3148.51	100.0	0.0185	NIST	L3475
60.01	Nd	II	3149.29	100.0	0.0185	NIST	L3475
60.01	Nd	II	3149.51	100.0	0.0185	NIST	L3475
60.01	Nd	II	3162.62	100.0	0.0185	NIST	L3475
60.01	Nd	II	3175.99	100.0	0.0185	NIST	L3475
60.01	Nd	II	3181.54	50.0	0.0093	NIST	L3475
60.01	Nd	II	3188.73	50.0	0.0093	NIST	L3475
60.01	Nd	II	3200.62	50.0	0.0093	NIST	L3475
60.01	Nd	II	3203.47	150.0	0.0278	NIST	L3475
60.01	Nd	II	3211.0	85.0	0.0157	NIST	L3475
60.01	Nd	II	3217.12	100.0	0.0185	NIST	L3475
60.01	Nd	II	3228.04	50.0	0.0093	NIST	L3475
60.01	Nd	II	3237.91	40.0	0.0074	NIST	L3475
60.01	Nd	II	3254.08	100.0	0.0185	NIST	L3475
60.01	Nd	II	3256.91	50.0	0.0093	NIST	L3475
60.01	Nd	II	3259.24	220.0	0.0407	NIST	L3475
60.01	Nd	II	3260.66	100.0	0.0185	NIST	L3475
60.01	Nd	II	3265.12	220.0	0.0407	NIST	L3475
60.01	Nd	II	3265.38	50.0	0.0093	NIST	L3475
60.01	Nd	II	3267.25	170.0	0.0315	NIST	L3475
60.01	Nd	II	3273.18	100.0	0.0185	NIST	L3475
60.01	Nd	II	3275.22	320.0	0.0593	NIST	L3475
60.01	Nd	II	3281.49	50.0	0.0093	NIST	L3475
60.01	Nd	II	3282.777	50.0	0.0093	NIST	L3260
60.01	Nd	II	3285.1	290.0	0.0537	NIST	L3475
60.01	Nd	II	3286.62	100.0	0.0185	NIST	L3475
60.01	Nd	II	3290.65	100.0	0.0185	NIST	L3475
60.01	Nd	II	3293.84	70.0	0.013	NIST	L3475
60.01	Nd	II	3294.68	70.0	0.013	NIST	L3475
60.01	Nd	II	3300.16	300.0	0.0556	NIST	L3475
60.01	Nd	II	3312.75	200.0	0.037	NIST	L3475
60.01	Nd	II	3325.9	200.0	0.037	NIST	L3475
60.01	Nd	II	3328.27	410.0	0.0759	NIST	L3260
60.01	Nd	II	3331.57	250.0	0.0463	NIST	L3475
60.01	Nd	II	3334.471	290.0	0.0537	NIST	L3260
60.01	Nd	II	3339.063	290.0	0.0537	NIST	L3260
60.01	Nd	II	3353.59	320.0	0.0593	NIST	L3475
60.01	Nd	II	3355.93	200.0	0.037	NIST	L3475
60.01	Nd	II	3364.96	270.0	0.05	NIST	L3475
60.01	Nd	II	3393.63	290.0	0.0537	NIST	L3475
60.01	Nd	II	3527.53	200.0	0.037	NIST	L3475
60.01	Nd	II	3543.35	290.0	0.0537	NIST	L3475
60.01	Nd	II	3555.77	200.0	0.037	NIST	L3475
60.01	Nd	II	3560.75	410.0	0.0759	NIST	L3475
