atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
10.05	Ne	VI	86.09	10.0	0.01	NIST	L9340
10.05	Ne	VI	86.19	13.0	0.013	NIST	L9340
10.05	Ne	VI	89.06	22.0	0.022	NIST	L9340
10.05	Ne	VI	89.1	22.0	0.022	NIST	L9340
10.05	Ne	VI	89.95	18.0	0.018	NIST	L9340
10.05	Ne	VI	90.06	24.0	0.024	NIST	L9340
10.05	Ne	VI	95.37	13.0	0.013	NIST	L9340
10.05	Ne	VI	95.44	12.0	0.012	NIST	L9340
10.05	Ne	VI	96.89	20.0	0.02	NIST	L9340
10.05	Ne	VI	96.97	27.0	0.027	NIST	L9340
10.05	Ne	VI	97.05	23.0	0.023	NIST	L9340
10.05	Ne	VI	97.09	25.0	0.025	NIST	L9340
10.05	Ne	VI	97.11	25.0	0.025	NIST	L9340
10.05	Ne	VI	98.13	17.0	0.017	NIST	L9340
10.05	Ne	VI	98.26	17.0	0.017	NIST	L9340
10.05	Ne	VI	101.22	25.0	0.025	NIST	L9340
10.05	Ne	VI	101.34	45.0	0.045	NIST	L9340
10.05	Ne	VI	101.42	27.0	0.027	NIST	L9340
10.05	Ne	VI	101.54	50.0	0.05	NIST	L9340
10.05	Ne	VI	101.75	13.0	0.013	NIST	L9340
10.05	Ne	VI	101.8	18.0	0.018	NIST	L9340
10.05	Ne	VI	101.87	23.0	0.023	NIST	L9340
10.05	Ne	VI	102.59	27.0	0.027	NIST	L9340
10.05	Ne	VI	103.58	30.0	0.03	NIST	L9340
10.05	Ne	VI	103.65	50.0	0.05	NIST	L9340
10.05	Ne	VI	103.71	23.0	0.023	NIST	L9340
10.05	Ne	VI	104.09	66.0	0.066	NIST	L9340
10.05	Ne	VI	104.17	45.0	0.045	NIST	L9340
10.05	Ne	VI	104.26	37.0	0.037	NIST	L9340
10.05	Ne	VI	104.93	23.0	0.023	NIST	L9340
10.05	Ne	VI	107.6	37.0	0.037	NIST	L9340
10.05	Ne	VI	109.03	20.0	0.02	NIST	L9340
10.05	Ne	VI	109.07	20.0	0.02	NIST	L9340
10.05	Ne	VI	109.31	30.0	0.03	NIST	L9340
10.05	Ne	VI	109.46	66.0	0.066	NIST	L9340
10.05	Ne	VI	111.1	200.0	0.2	NIST	L9340
10.05	Ne	VI	111.142	500.0	0.5	NIST	L9340
10.05	Ne	VI	111.26	45.0	0.045	NIST	L9340
10.05	Ne	VI	114.07	60.0	0.06	NIST	L9340
10.05	Ne	VI	114.13	100.0	0.1	NIST	L9340
10.05	Ne	VI	114.24	200.0	0.2	NIST	L9340
10.05	Ne	VI	114.3	45.0	0.045	NIST	L9340
10.05	Ne	VI	116.58	100.0	0.1	NIST	L9340
10.05	Ne	VI	117.48	27.0	0.027	NIST	L9340
10.05	Ne	VI	119.92	100.0	0.1	NIST	L9340
10.05	Ne	VI	121.05	80.0	0.08	NIST	L9340
10.05	Ne	VI	121.1	80.0	0.08	NIST	L9340
10.05	Ne	VI	121.15	100.0	0.1	NIST	L9340
10.05	Ne	VI	121.65	40.0	0.04	NIST	L9340
10.05	Ne	VI	122.52	1000.0	1.0	NIST	L9340
10.05	Ne	VI	122.686	300.0	0.3	NIST	L9340
10.05	Ne	VI	126.53	80.0	0.08	NIST	L9340
10.05	Ne	VI	126.73	35.0	0.035	NIST	L9340
10.05	Ne	VI	126.91	35.0	0.035	NIST	L9340
10.05	Ne	VI	127.84	50.0	0.05	NIST	L9340
10.05	Ne	VI	128.07	45.0	0.045	NIST	L9340
10.05	Ne	VI	129.36	50.0	0.05	NIST	L9340
10.05	Ne	VI	130.26	110.0	0.11	NIST	L9340
10.05	Ne	VI	130.4	100.0	0.1	NIST	L9340
10.05	Ne	VI	131.36	54.0	0.054	NIST	L9340
10.05	Ne	VI	133.51	55.0	0.055	NIST	L9340
10.05	Ne	VI	134.31	30.0	0.03	NIST	L9340
10.05	Ne	VI	134.48	27.0	0.027	NIST	L9340
10.05	Ne	VI	134.83	27.0	0.027	NIST	L9340
10.05	Ne	VI	136.215	150.0	0.15	NIST	L9340
10.05	Ne	VI	136.28	110.0	0.11	NIST	L9340
10.05	Ne	VI	136.34	350.0	0.35	NIST	L9340
10.05	Ne	VI	136.45	150.0	0.15	NIST	L9340
10.05	Ne	VI	136.48	150.0	0.15	NIST	L9340
10.05	Ne	VI	138.397	100.0	0.1	NIST	L9340
10.05	Ne	VI	138.55	27.0	0.027	NIST	L9340
10.05	Ne	VI	138.63	100.0	0.1	NIST	L9340
10.05	Ne	VI	139.31	27.0	0.027	NIST	L9340
10.05	Ne	VI	140.96	50.0	0.05	NIST	L9340
10.05	Ne	VI	142.441	37.0	0.037	NIST	L9340
10.05	Ne	VI	143.52	30.0	0.03	NIST	L9340
10.05	Ne	VI	144.71	27.0	0.027	NIST	L9340
10.05	Ne	VI	144.88	45.0	0.045	NIST	L9340
10.05	Ne	VI	147.33	18.0	0.018	NIST	L9340
10.05	Ne	VI	147.47	27.0	0.027	NIST	L9340
10.05	Ne	VI	147.58	80.0	0.08	NIST	L9340
10.05	Ne	VI	147.78	50.0	0.05	NIST	L9340
10.05	Ne	VI	159.82	30.0	0.03	NIST	L9340
10.05	Ne	VI	160.03	18.0	0.018	NIST	L9340
10.05	Ne	VI	164.93	18.0	0.018	NIST	L9340
10.05	Ne	VI	168.73	40.0	0.04	NIST	L9340
10.05	Ne	VI	168.85	27.0	0.027	NIST	L9340
10.05	Ne	VI	399.838	260.0	0.26	NIST	L9340
