atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
10.07	Ne	VIII	11.905	900.0	0.03	NIST	L9090
10.07	Ne	VIII	11.93	1500.0	0.05	NIST	L9090
10.07	Ne	VIII	12.46	600.0	0.02	NIST	L9090
10.07	Ne	VIII	13.469	1200.0	0.04	NIST	L9090
10.07	Ne	VIII	13.488	900.0	0.03	NIST	L9090
10.07	Ne	VIII	13.533	1200.0	0.04	NIST	L9090
10.07	Ne	VIII	13.561	2600.0	0.0867	NIST	L9090
10.07	Ne	VIII	13.655	7200.0	0.24	NIST	L9090
10.07	Ne	VIII	13.685	540.0	0.018	NIST	L9090
10.07	Ne	VIII	13.7083	12000.0	0.4	NIST	L9090
10.07	Ne	VIII	13.844	2400.0	0.08	NIST	L9090
10.07	Ne	VIII	14.19	900.0	0.03	NIST	L9090
10.07	Ne	VIII	53.81	40.0	0.0013	NIST	L9090
10.07	Ne	VIII	54.31	140.0	0.0047	NIST	L9090
10.07	Ne	VIII	55.01	260.0	0.0087	NIST	L9090
10.07	Ne	VIII	56.043	600.0	0.02	NIST	L9090
10.07	Ne	VIII	57.747	900.0	0.03	NIST	L9090
10.07	Ne	VIII	58.407	360.0	0.012	NIST	L9090
10.07	Ne	VIII	59.19	600.0	0.02	NIST	L9090
10.07	Ne	VIII	60.351	440.0	0.0147	NIST	L9090
10.07	Ne	VIII	60.413	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	60.55	220.0	0.0073	NIST	L9090
10.07	Ne	VIII	60.796	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	61.48	340.0	0.0113	NIST	L9090
10.07	Ne	VIII	61.73	350.0	0.0117	NIST	L9090
10.07	Ne	VIII	62.297	400.0	0.0133	NIST	L9090
10.07	Ne	VIII	62.361	600.0	0.02	NIST	L9090
10.07	Ne	VIII	62.58	330.0	0.011	NIST	L9090
10.07	Ne	VIII	64.42	430.0	0.0143	NIST	L9090
10.07	Ne	VIII	65.44	370.0	0.0123	NIST	L9090
10.07	Ne	VIII	65.822	1000.0	0.0333	NIST	L9090
10.07	Ne	VIII	65.895	1300.0	0.0433	NIST	L9090
10.07	Ne	VIII	66.259	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	66.33	600.0	0.02	NIST	L9090
10.07	Ne	VIII	66.66	600.0	0.02	NIST	L9090
10.07	Ne	VIII	66.73	600.0	0.02	NIST	L9090
10.07	Ne	VIII	67.382	1500.0	0.05	NIST	L9090
10.07	Ne	VIII	67.8	230.0	0.0077	NIST	L9090
10.07	Ne	VIII	73.47	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	73.563	1500.0	0.05	NIST	L9090
10.07	Ne	VIII	74.541	600.0	0.02	NIST	L9090
10.07	Ne	VIII	74.637	1300.0	0.0433	NIST	L9090
10.07	Ne	VIII	78.71	520.0	0.0173	NIST	L9090
10.07	Ne	VIII	79.04	560.0	0.0187	NIST	L9090
10.07	Ne	VIII	79.33	280.0	0.0093	NIST	L9090
10.07	Ne	VIII	80.12	580.0	0.0193	NIST	L9090
10.07	Ne	VIII	83.79	470.0	0.0157	NIST	L9090
10.07	Ne	VIII	86.09	260.0	0.0087	NIST	L9090
10.07	Ne	VIII	86.22	340.0	0.0113	NIST	L9090
10.07	Ne	VIII	86.4	260.0	0.0087	NIST	L9090
10.07	Ne	VIII	86.85	390.0	0.013	NIST	L9090
10.07	Ne	VIII	88.092	2300.0	0.0767	NIST	L9090
10.07	Ne	VIII	88.12	1300.0	0.0433	NIST	L9090
10.07	Ne	VIII	88.88	250.0	0.0083	NIST	L9090
10.07	Ne	VIII	88.94	490.0	0.0163	NIST	L9090
10.07	Ne	VIII	89.03	240.0	0.008	NIST	L9090
10.07	Ne	VIII	92.11	280.0	0.0093	NIST	L9090
10.07	Ne	VIII	92.19	470.0	0.0157	NIST	L9090
10.07	Ne	VIII	92.27	300.0	0.01	NIST	L9090
10.07	Ne	VIII	92.65	230.0	0.0077	NIST	L9090
10.07	Ne	VIII	97.03	900.0	0.03	NIST	L9090
10.07	Ne	VIII	98.115	3000.0	0.1	NIST	L9090
10.07	Ne	VIII	98.26	4000.0	0.1333	NIST	L9090
10.07	Ne	VIII	102.911	2100.0	0.07	NIST	L9090
10.07	Ne	VIII	103.085	2500.0	0.0833	NIST	L9090
10.07	Ne	VIII	153.98	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	156.65	270.0	0.009	NIST	L9090
10.07	Ne	VIII	163.46	700.0	0.0233	NIST	L9090
10.07	Ne	VIII	167.4	2700.0	0.09	NIST	L9090
10.07	Ne	VIII	170.64	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	183.6	700.0	0.0233	NIST	L9090
10.07	Ne	VIII	190.07	800.0	0.0267	NIST	L9090
10.07	Ne	VIII	195.23	1400.0	0.0467	NIST	L9090
10.07	Ne	VIII	198.98	700.0	0.0233	NIST	L9090
10.07	Ne	VIII	199.17	700.0	0.0233	NIST	L9090
10.07	Ne	VIII	199.97	5000.0	0.1667	NIST	L9090
10.07	Ne	VIII	200.03	5000.0	0.1667	NIST	L9090
10.07	Ne	VIII	201.0	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	251.81	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	253.5	240.0	0.008	NIST	L9090
10.07	Ne	VIII	260.34	2600.0	0.0867	NIST	L9090
10.07	Ne	VIII	262.32	900.0	0.03	NIST	L9090
10.07	Ne	VIII	269.04	300.0	0.01	NIST	L9090
10.07	Ne	VIII	271.11	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	272.31	4000.0	0.1333	NIST	L9090
10.07	Ne	VIII	276.06	840.0	0.028	NIST	L9090
10.07	Ne	VIII	282.27	3600.0	0.12	NIST	L9090
10.07	Ne	VIII	282.61	3600.0	0.12	NIST	L9090
10.07	Ne	VIII	283.74	2000.0	0.0667	NIST	L9090
10.07	Ne	VIII	285.16	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	286.61	1200.0	0.04	NIST	L9090
10.07	Ne	VIII	289.09	1800.0	0.06	NIST	L9090
10.07	Ne	VIII	292.38	12000.0	0.4	NIST	L9090
10.07	Ne	VIII	292.47	12000.0	0.4	NIST	L9090
10.07	Ne	VIII	297.12	1000.0	0.0333	NIST	L9090
10.07	Ne	VIII	298.7	1800.0	0.06	NIST	L9090
10.07	Ne	VIII	299.13	1800.0	0.06	NIST	L9090
10.07	Ne	VIII	303.56	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	303.65	800.0	0.0267	NIST	L9090
10.07	Ne	VIII	332.08	700.0	0.0233	NIST	L9090
10.07	Ne	VIII	338.03	1200.0	0.04	NIST	L9090
10.07	Ne	VIII	381.49	1700.0	0.0567	NIST	L9090
10.07	Ne	VIII	394.25	830.0	0.0277	NIST	L9090
10.07	Ne	VIII	402.0	5300.0	0.1767	NIST	L9090
10.07	Ne	VIII	406.78	1400.0	0.0467	NIST	L9090
10.07	Ne	VIII	410.0	430.0	0.0143	NIST	L9090
10.07	Ne	VIII	509.0	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	514.86	1300.0	0.0433	NIST	L9090
10.07	Ne	VIII	554.0	1400.0	0.0467	NIST	L9090
10.07	Ne	VIII	584.0	1800.0	0.06	NIST	L9090
10.07	Ne	VIII	612.0	1600.0	0.0533	NIST	L9090
10.07	Ne	VIII	626.63	4700.0	0.1567	NIST	L9090
10.07	Ne	VIII	631.53	4700.0	0.1567	NIST	L9090
10.07	Ne	VIII	632.49	14000.0	0.4667	NIST	L9090
10.07	Ne	VIII	632.86	14000.0	0.4667	NIST	L9090
10.07	Ne	VIII	712.0	1100.0	0.0367	NIST	L9090
10.07	Ne	VIII	721.12	740.0	0.0247	NIST	L9090
10.07	Ne	VIII	723.27	2100.0	0.07	NIST	L9090
10.07	Ne	VIII	725.0	2000.0	0.0667	NIST	L9090
10.07	Ne	VIII	725.6	1900.0	0.0633	NIST	L9090
10.07	Ne	VIII	726.63	5000.0	0.1667	NIST	L9090
10.07	Ne	VIII	726.72	5700.0	0.19	NIST	L9090
10.07	Ne	VIII	726.9	2200.0	0.0733	NIST	L9090
10.07	Ne	VIII	727.19	2200.0	0.0733	NIST	L9090
10.07	Ne	VIII	729.55	4000.0	0.1333	NIST	L9090
10.07	Ne	VIII	731.45	3600.0	0.12	NIST	L9090
10.07	Ne	VIII	770.409	30000.0	1.0	NIST	L9090
10.07	Ne	VIII	780.324	22000.0	0.7333	NIST	L9090
10.07	Ne	VIII	1800.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	1820.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	1839.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	1859.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	1875.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	1912.0	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	1929.0	300.0	0.01	NIST	L9090
10.07	Ne	VIII	1931.0	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	1937.0	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	1942.0	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	1965.0	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	2009.4	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	2215.3	70.0	0.0023	NIST	L9090
10.07	Ne	VIII	2333.9	60.0	0.002	NIST	L9090
10.07	Ne	VIII	2405.3	80.0	0.0027	NIST	L9090
10.07	Ne	VIII	2489.2	25.0	0.0008	NIST	L9090
10.07	Ne	VIII	2531.2	330.0	0.011	NIST	L9090
10.07	Ne	VIII	2549.2	130.0	0.0043	NIST	L9090
10.07	Ne	VIII	2562.2	50.0	0.0017	NIST	L9090
10.07	Ne	VIII	2570.2	120.0	0.004	NIST	L9090
10.07	Ne	VIII	2636.2	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	2668.2	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	2736.2	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	2777.2	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	2820.7	15.0	0.0005	NIST	L9090
10.07	Ne	VIII	2850.7	14.0	0.0005	NIST	L9090
10.07	Ne	VIII	2860.1	40.0	0.0013	NIST	L9090
10.07	Ne	VIII	2894.2	70.0	0.0023	NIST	L9090
10.07	Ne	VIII	2906.1	70.0	0.0023	NIST	L9090
10.07	Ne	VIII	2931.1	90.0	0.003	NIST	L9090
10.07	Ne	VIII	2941.1	110.0	0.0037	NIST	L9090
10.07	Ne	VIII	2959.1	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	2970.2	400.0	0.0133	NIST	L9090
10.07	Ne	VIII	2975.9	600.0	0.02	NIST	L9090
10.07	Ne	VIII	3013.1	9.0	0.0003	NIST	L9090
10.07	Ne	VIII	3031.1	25.0	0.0008	NIST	L9090
10.07	Ne	VIII	3106.1	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	3266.1	50.0	0.0017	NIST	L9090
10.07	Ne	VIII	3319.4	60.0	0.002	NIST	L9090
10.07	Ne	VIII	3433.7	500.0	0.0167	NIST	L9090
10.07	Ne	VIII	3483.0	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	3488.0	300.0	0.01	NIST	L9090
10.07	Ne	VIII	3544.0	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	3726.5	30.0	0.001	NIST	L9090
10.07	Ne	VIII	4001.9	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4092.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4181.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4221.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4313.8	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4331.8	200.0	0.0067	NIST	L9090
10.07	Ne	VIII	4337.72	400.0	0.0133	NIST	L9090
10.07	Ne	VIII	4339.99	400.0	0.0133	NIST	L9090
10.07	Ne	VIII	4340.9	400.0	0.0133	NIST	L9090
10.07	Ne	VIII	4376.54	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4380.09	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4385.87	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4422.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4426.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4445.8	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4495.7	100.0	0.0033	NIST	L9090
10.07	Ne	VIII	4500.7	20.0	0.0007	NIST	L9090
10.07	Ne	VIII	4537.55	20.0	0.0007	NIST	L9090
