atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
28.00	Ni	I	2289.98	1600.0	0.1951	NIST	L3475
28.00	Ni	I	2300.78	630.0	0.0768	NIST	L3475
28.00	Ni	I	2310.96	2000.0	0.2439	NIST	L3475
28.00	Ni	I	2312.34	1700.0	0.2073	NIST	L3475
28.00	Ni	I	2313.66	1400.0	0.1707	NIST	L3475
28.00	Ni	I	2313.98	1400.0	0.1707	NIST	L3475
28.00	Ni	I	2317.16	1400.0	0.1707	NIST	L3475
28.00	Ni	I	2320.03	2600.0	0.3171	NIST	L3475
28.00	Ni	I	2321.38	1900.0	0.2317	NIST	L3475
28.00	Ni	I	2322.68	240.0	0.0293	NIST	L3475
28.00	Ni	I	2325.79	1400.0	0.1707	NIST	L3475
28.00	Ni	I	2329.96	940.0	0.1146	NIST	L3475
28.00	Ni	I	2337.49	460.0	0.0561	NIST	L3475
28.00	Ni	I	2337.82	160.0	0.0195	NIST	L3475
28.00	Ni	I	2345.54	1200.0	0.1463	NIST	L3475
28.00	Ni	I	2346.63	190.0	0.0232	NIST	L3475
28.00	Ni	I	2347.52	400.0	0.0488	NIST	L3475
28.00	Ni	I	2360.63	160.0	0.0195	NIST	L3475
28.00	Ni	I	2362.06	200.0	0.0244	NIST	L3475
28.00	Ni	I	2386.58	240.0	0.0293	NIST	L3475
28.00	Ni	I	2419.31	240.0	0.0293	NIST	L3475
28.00	Ni	I	2421.23	85.0	0.0104	NIST	L3475
28.00	Ni	I	2423.33	70.0	0.0085	NIST	L3475
28.00	Ni	I	2423.66	70.0	0.0085	NIST	L3475
28.00	Ni	I	2424.03	70.0	0.0085	NIST	L3475
28.00	Ni	I	2453.99	85.0	0.0104	NIST	L3475
28.00	Ni	I	2472.06	160.0	0.0195	NIST	L3475
28.00	Ni	I	2476.87	85.0	0.0104	NIST	L3475
28.00	Ni	I	2696.49	45.0	0.0055	NIST	L3475
28.00	Ni	I	2798.65	150.0	0.0183	NIST	L3475
