atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
28.03	Ni	IV	392.68	33.0	0.4342	NIST	L3732
28.03	Ni	IV	393.24	32.0	0.4211	NIST	L3732
28.03	Ni	IV	424.4	49.0	0.6447	NIST	L3732
28.03	Ni	IV	444.21	57.0	0.75	NIST	L3732
28.03	Ni	IV	469.67	67.0	0.8816	NIST	L3732
28.03	Ni	IV	471.24	65.0	0.8553	NIST	L3732
28.03	Ni	IV	485.42	65.0	0.8553	NIST	L3732
28.03	Ni	IV	536.28	66.0	0.8684	NIST	L3732
28.03	Ni	IV	537.96	67.0	0.8816	NIST	L3732
28.03	Ni	IV	1345.72	58.0	0.7632	NIST	L3732
28.03	Ni	IV	1357.07	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1398.19	76.0	1.0	NIST	L3732
28.03	Ni	IV	1411.45	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1419.58	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1421.22	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1427.45	70.0	0.9211	NIST	L3732
28.03	Ni	IV	1428.93	67.0	0.8816	NIST	L3732
28.03	Ni	IV	1435.24	67.0	0.8816	NIST	L3732
28.03	Ni	IV	1438.82	70.0	0.9211	NIST	L3732
28.03	Ni	IV	1449.01	73.0	0.9605	NIST	L3732
28.03	Ni	IV	1452.22	76.0	1.0	NIST	L3732
28.03	Ni	IV	1455.42	70.0	0.9211	NIST	L3732
28.03	Ni	IV	1472.63	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1476.82	68.0	0.8947	NIST	L3732
28.03	Ni	IV	1482.25	73.0	0.9605	NIST	L3732
28.03	Ni	IV	1489.53	67.0	0.8816	NIST	L3732
28.03	Ni	IV	1489.83	72.0	0.9474	NIST	L3732
28.03	Ni	IV	1493.01	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1493.67	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1498.71	68.0	0.8947	NIST	L3732
28.03	Ni	IV	1498.77	71.0	0.9342	NIST	L3732
28.03	Ni	IV	1498.9	72.0	0.9474	NIST	L3732
28.03	Ni	IV	1499.97	67.0	0.8816	NIST	L3732
28.03	Ni	IV	1512.74	70.0	0.9211	NIST	L3732
28.03	Ni	IV	1516.66	70.0	0.9211	NIST	L3732
28.03	Ni	IV	1520.63	73.0	0.9605	NIST	L3732
28.03	Ni	IV	1525.31	75.0	0.9868	NIST	L3732
28.03	Ni	IV	1527.68	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1527.8	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1534.71	76.0	1.0	NIST	L3732
28.03	Ni	IV	1537.25	73.0	0.9605	NIST	L3732
28.03	Ni	IV	1538.93	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1543.41	75.0	0.9868	NIST	L3732
28.03	Ni	IV	1546.23	74.0	0.9737	NIST	L3732
28.03	Ni	IV	1548.04	68.0	0.8947	NIST	L3732
28.03	Ni	IV	1557.28	69.0	0.9079	NIST	L3732
28.03	Ni	IV	1560.18	67.0	0.8816	NIST	L3732
