atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
28.08	Ni	IX	101.657	8.0	0.8	NIST	L39
28.08	Ni	IX	101.701	8.0	0.8	NIST	L39
28.08	Ni	IX	101.846	10.0	1.0	NIST	L39
28.08	Ni	IX	101.932	2.0	0.2	NIST	L39
28.08	Ni	IX	102.283	1.0	0.1	NIST	L39
28.08	Ni	IX	102.34	6.0	0.6	NIST	L39
28.08	Ni	IX	102.48	6.0	0.6	NIST	L39
28.08	Ni	IX	102.602	10.0	1.0	NIST	L39
28.08	Ni	IX	103.428	4.0	0.4	NIST	L39
28.08	Ni	IX	103.62	8.0	0.8	NIST	L39
28.08	Ni	IX	103.871	6.0	0.6	NIST	L39
28.08	Ni	IX	103.981	10.0	1.0	NIST	L39
28.08	Ni	IX	103.993	10.0	1.0	NIST	L39
28.08	Ni	IX	140.542	1.0	0.1	NIST	L5016
28.08	Ni	IX	140.917	4.0	0.4	NIST	L5016
28.08	Ni	IX	141.002	3.0	0.3	NIST	L5016
28.08	Ni	IX	141.356	5.0	0.5	NIST	L5016
28.08	Ni	IX	147.013	4.0	0.4	NIST	L5016
28.08	Ni	IX	150.32	1.0	0.1	NIST	L5016
28.08	Ni	IX	150.574	1.0	0.1	NIST	L5016
28.08	Ni	IX	150.836	4.0	0.4	NIST	L5016
28.08	Ni	IX	151.022	4.0	0.4	NIST	L5016
28.08	Ni	IX	151.281	3.0	0.3	NIST	L5016
28.08	Ni	IX	151.7	1.0	0.1	NIST	L5016
28.08	Ni	IX	165.436	6.0	0.6	NIST	L5016
28.08	Ni	IX	166.079	4.0	0.4	NIST	L5016
28.08	Ni	IX	166.306	4.0	0.4	NIST	L5016
