atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
28.10	Ni	XI	62.73	2.0	0.04	NIST	L39
28.10	Ni	XI	63.641	4.0	0.08	NIST	L39
28.10	Ni	XI	77.393	8.0	0.16	NIST	L39
28.10	Ni	XI	78.744	6.0	0.12	NIST	L39
28.10	Ni	XI	81.138	3.0	0.06	NIST	L3619
28.10	Ni	XI	81.213	5.0	0.1	NIST	L3619
28.10	Ni	XI	81.378	4.0	0.08	NIST	L3619
28.10	Ni	XI	81.468	7.0	0.14	NIST	L3619
28.10	Ni	XI	81.732	5.0	0.1	NIST	L3619
28.10	Ni	XI	82.417	10.0	0.2	NIST	L3619
28.10	Ni	XI	82.53	7.0	0.14	NIST	L3619
28.10	Ni	XI	82.625	6.0	0.12	NIST	L3619
28.10	Ni	XI	83.139	6.0	0.12	NIST	L3619
28.10	Ni	XI	83.546	4.0	0.08	NIST	L3619
28.10	Ni	XI	83.798	6.0	0.12	NIST	L3619
28.10	Ni	XI	84.092	7.0	0.14	NIST	L3619
28.10	Ni	XI	85.226	1.0	0.02	NIST	L3619
28.10	Ni	XI	93.85	1.0	0.02	NIST	L3619
28.10	Ni	XI	148.377	50.0	1.0	NIST	L10919
28.10	Ni	XI	186.976	20.0	0.4	NIST	L4463
28.10	Ni	XI	207.93	30.0	0.6	NIST	L4463
28.10	Ni	XI	211.428	20.0	0.4	NIST	L4463
