atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
08.03	O	IV	195.86	150.0	0.1765	NIST	L3492
08.03	O	IV	196.01	200.0	0.2353	NIST	L3492
08.03	O	IV	207.18	110.0	0.1294	NIST	L3492
08.03	O	IV	207.24	150.0	0.1765	NIST	L3492
08.03	O	IV	233.46	140.0	0.1647	NIST	L3492
08.03	O	IV	233.5	150.0	0.1765	NIST	L3492
08.03	O	IV	233.52	110.0	0.1294	NIST	L3492
08.03	O	IV	233.56	200.0	0.2353	NIST	L3492
08.03	O	IV	233.6	110.0	0.1294	NIST	L3492
08.03	O	IV	238.36	90.0	0.1059	NIST	L375
08.03	O	IV	238.57	180.0	0.2118	NIST	L375
08.03	O	IV	252.56	110.0	0.1294	NIST	L3492
08.03	O	IV	252.95	110.0	0.1294	NIST	L3492
08.03	O	IV	253.08	150.0	0.1765	NIST	L3492
08.03	O	IV	260.39	300.0	0.3529	NIST	L3492
08.03	O	IV	260.56	250.0	0.2941	NIST	L3492
08.03	O	IV	279.63	300.0	0.3529	NIST	L3492
08.03	O	IV	279.94	375.0	0.4412	NIST	L3492
08.03	O	IV	285.71	110.0	0.1294	NIST	L3492
08.03	O	IV	285.84	150.0	0.1765	NIST	L3492
08.03	O	IV	306.62	200.0	0.2353	NIST	L3492
08.03	O	IV	306.88	150.0	0.1765	NIST	L3492
08.03	O	IV	553.33	700.0	0.8235	NIST	L648
08.03	O	IV	554.075	775.0	0.9118	NIST	L648
08.03	O	IV	554.514	850.0	1.0	NIST	L648
08.03	O	IV	555.261	700.0	0.8235	NIST	L648
08.03	O	IV	608.398	580.0	0.6824	NIST	L648
08.03	O	IV	609.829	640.0	0.7529	NIST	L648
08.03	O	IV	616.952	270.0	0.3176	NIST	L648
08.03	O	IV	617.005	150.0	0.1765	NIST	L3492
08.03	O	IV	617.036	200.0	0.2353	NIST	L3492
08.03	O	IV	624.617	520.0	0.6118	NIST	L648
08.03	O	IV	625.13	580.0	0.6824	NIST	L648
08.03	O	IV	625.852	640.0	0.7529	NIST	L648
08.03	O	IV	779.734	200.0	0.2353	NIST	L648
08.03	O	IV	779.821	315.0	0.3706	NIST	L648
08.03	O	IV	779.912	360.0	0.4235	NIST	L648
08.03	O	IV	779.997	200.0	0.2353	NIST	L648
08.03	O	IV	787.711	640.0	0.7529	NIST	L648
08.03	O	IV	790.109	520.0	0.6118	NIST	L648
08.03	O	IV	790.199	700.0	0.8235	NIST	L648
08.03	O	IV	802.2	200.0	0.2353	NIST	L648
08.03	O	IV	802.255	160.0	0.1882	NIST	L648
08.03	O	IV	921.296	130.0	0.1529	NIST	L648
08.03	O	IV	921.366	160.0	0.1882	NIST	L648
08.03	O	IV	923.367	200.0	0.2353	NIST	L648
08.03	O	IV	923.433	130.0	0.1529	NIST	L648
08.03	O	IV	1338.612	200.0	0.2353	NIST	L648
08.03	O	IV	1342.992	130.0	0.1529	NIST	L648
08.03	O	IV	1343.512	230.0	0.2706	NIST	L648
08.03	O	IV	2449.372	200.0	0.2353	NIST	L648
08.03	O	IV	2450.04	200.0	0.2353	NIST	L648
08.03	O	IV	2493.44	200.0	0.2353	NIST	L648
08.03	O	IV	2493.77	200.0	0.2353	NIST	L648
08.03	O	IV	2507.73	200.0	0.2353	NIST	L648
08.03	O	IV	2509.19	230.0	0.2706	NIST	L648
08.03	O	IV	2517.2	200.0	0.2353	NIST	L648
08.03	O	IV	2836.26	160.0	0.1882	NIST	L648
08.03	O	IV	2921.45	160.0	0.1882	NIST	L648
08.03	O	IV	3063.42	460.0	0.5412	NIST	L648
08.03	O	IV	3071.61	410.0	0.4824	NIST	L648
08.03	O	IV	3209.66	160.0	0.1882	NIST	L648
08.03	O	IV	3348.08	230.0	0.2706	NIST	L648
08.03	O	IV	3349.11	270.0	0.3176	NIST	L648
08.03	O	IV	3354.27	160.0	0.1882	NIST	L648
08.03	O	IV	3375.4	200.0	0.2353	NIST	L648
08.03	O	IV	3378.06	130.0	0.1529	NIST	L648
08.03	O	IV	3381.2	360.0	0.4235	NIST	L648
08.03	O	IV	3385.52	360.0	0.4235	NIST	L648
08.03	O	IV	3396.79	270.0	0.3176	NIST	L648
08.03	O	IV	3403.52	360.0	0.4235	NIST	L648
08.03	O	IV	3409.66	230.0	0.2706	NIST	L648
08.03	O	IV	3411.69	410.0	0.4824	NIST	L648
08.03	O	IV	3413.64	230.0	0.2706	NIST	L648
08.03	O	IV	3489.83	200.0	0.2353	NIST	L648
08.03	O	IV	3492.24	160.0	0.1882	NIST	L648
08.03	O	IV	3560.39	230.0	0.2706	NIST	L648
08.03	O	IV	3563.33	270.0	0.3176	NIST	L648
08.03	O	IV	3725.93	315.0	0.3706	NIST	L648
08.03	O	IV	3729.03	360.0	0.4235	NIST	L648
08.03	O	IV	3736.85	410.0	0.4824	NIST	L648
08.03	O	IV	3744.89	230.0	0.2706	NIST	L648
