atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
76.01	Os	II	2067.21	7800.0	1.0	NIST	L3475
76.01	Os	II	2070.67	4200.0	0.5385	NIST	L3475
76.01	Os	II	2194.39	840.0	0.1077	NIST	L3475
76.01	Os	II	2255.85	2000.0	0.2564	NIST	L3475
76.01	Os	II	2282.26	1400.0	0.1795	NIST	L3475
76.01	Os	II	2313.75	190.0	0.0244	NIST	L3475
76.01	Os	II	2336.8	720.0	0.0923	NIST	L3475
76.01	Os	II	2350.23	230.0	0.0295	NIST	L3475
76.01	Os	II	2355.28	120.0	0.0154	NIST	L3475
76.01	Os	II	2367.35	500.0	0.0641	NIST	L3475
76.01	Os	II	2375.06	95.0	0.0122	NIST	L3475
76.01	Os	II	2405.08	95.0	0.0122	NIST	L3475
76.01	Os	II	2420.02	95.0	0.0122	NIST	L3475
76.01	Os	II	2423.07	200.0	0.0256	NIST	L3475
76.01	Os	II	2424.02	70.0	0.009	NIST	L3475
76.01	Os	II	2427.9	70.0	0.009	NIST	L3475
76.01	Os	II	2454.91	110.0	0.0141	NIST	L3475
76.01	Os	II	2468.9	110.0	0.0141	NIST	L3475
76.01	Os	II	2486.24	530.0	0.0679	NIST	L3475
76.01	Os	II	2507.18	35.0	0.0045	NIST	L3475
76.01	Os	II	2509.71	70.0	0.009	NIST	L3475
76.01	Os	II	2538.0	780.0	0.1	NIST	L3475
76.01	Os	II	2548.83	30.0	0.0038	NIST	L3475
76.01	Os	II	2563.16	190.0	0.0244	NIST	L3475
76.01	Os	II	2578.32	150.0	0.0192	NIST	L3475
76.01	Os	II	2580.03	130.0	0.0167	NIST	L3475
76.01	Os	II	2596.0	170.0	0.0218	NIST	L3475
76.01	Os	II	2631.22	27.0	0.0035	NIST	L3475
76.01	Os	II	2664.29	40.0	0.0051	NIST	L3475
76.01	Os	II	2731.36	40.0	0.0051	NIST	L3475
76.01	Os	II	2783.88	40.0	0.0051	NIST	L3475
76.01	Os	II	2863.37	35.0	0.0045	NIST	L3475
76.01	Os	II	2879.39	35.0	0.0045	NIST	L3475
76.01	Os	II	2880.2	30.0	0.0038	NIST	L3475
76.01	Os	II	3042.74	120.0	0.0154	NIST	L3475
76.01	Os	II	3173.93	180.0	0.0231	NIST	L3475
76.01	Os	II	3213.31	150.0	0.0192	NIST	L3475
76.01	Os	II	3604.48	95.0	0.0122	NIST	L3475
