atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
15.01	P	II	810.24	10.0	0.0167	NIST	L3986
15.01	P	II	865.44	10.0	0.0167	NIST	L3986
15.01	P	II	1249.82	20.0	0.0333	NIST	L3986
15.01	P	II	1301.87	20.0	0.0333	NIST	L3986
15.01	P	II	1304.47	20.0	0.0333	NIST	L3986
15.01	P	II	1304.68	15.0	0.025	NIST	L3986
15.01	P	II	1305.48	35.0	0.0583	NIST	L3986
15.01	P	II	1309.87	25.0	0.0417	NIST	L3986
15.01	P	II	1310.7	60.0	0.1	NIST	L3986
15.01	P	II	1452.89	30.0	0.05	NIST	L3986
15.01	P	II	1532.51	80.0	0.1333	NIST	L3986
15.01	P	II	1535.9	120.0	0.2	NIST	L3986
15.01	P	II	1536.39	80.0	0.1333	NIST	L3986
15.01	P	II	1542.29	120.0	0.2	NIST	L3986
15.01	P	II	2484.19	100.0	0.1667	NIST	L3986
15.01	P	II	2606.06	150.0	0.25	NIST	L3986
15.01	P	II	2626.18	100.0	0.1667	NIST	L3986
15.01	P	II	2636.76	90.0	0.15	NIST	L3986
15.01	P	II	3308.92	150.0	0.25	NIST	L3986
15.01	P	II	3419.34	125.0	0.2083	NIST	L3986
15.01	P	II	3425.0	100.0	0.1667	NIST	L3986
15.01	P	II	4178.48	100.0	0.1667	NIST	L3986
15.01	P	II	4288.6	200.0	0.3333	NIST	L3986
15.01	P	II	4385.35	200.0	0.3333	NIST	L3986
15.01	P	II	4420.71	400.0	0.6667	NIST	L3986
15.01	P	II	4452.46	100.0	0.1667	NIST	L3986
15.01	P	II	4463.0	150.0	0.25	NIST	L3986
15.01	P	II	4467.98	120.0	0.2	NIST	L3986
15.01	P	II	4475.26	200.0	0.3333	NIST	L3986
15.01	P	II	4499.24	200.0	0.3333	NIST	L3986
15.01	P	II	4530.81	120.0	0.2	NIST	L3986
15.01	P	II	4554.83	120.0	0.2	NIST	L3986
15.01	P	II	4558.07	120.0	0.2	NIST	L3986
15.01	P	II	4581.71	120.0	0.2	NIST	L3986
15.01	P	II	4588.04	500.0	0.8333	NIST	L3986
15.01	P	II	4589.86	500.0	0.8333	NIST	L3986
15.01	P	II	4602.08	600.0	1.0	NIST	L3986
15.01	P	II	4626.7	300.0	0.5	NIST	L3986
15.01	P	II	4658.31	300.0	0.5	NIST	L3986
15.01	P	II	4864.42	200.0	0.3333	NIST	L3986
15.01	P	II	4927.2	150.0	0.25	NIST	L3986
15.01	P	II	4943.53	500.0	0.8333	NIST	L3986
15.01	P	II	4954.39	300.0	0.5	NIST	L3986
15.01	P	II	4969.71	300.0	0.5	NIST	L3986
15.01	P	II	5191.41	150.0	0.25	NIST	L3986
15.01	P	II	5253.52	300.0	0.5	NIST	L3986
15.01	P	II	5296.13	400.0	0.6667	NIST	L3986
15.01	P	II	5316.07	250.0	0.4167	NIST	L3986
15.01	P	II	5344.75	300.0	0.5	NIST	L3986
15.01	P	II	5378.2	250.0	0.4167	NIST	L3986
15.01	P	II	5386.88	300.0	0.5	NIST	L3986
15.01	P	II	5409.72	200.0	0.3333	NIST	L3986
15.01	P	II	5425.91	400.0	0.6667	NIST	L3986
15.01	P	II	5450.74	400.0	0.6667	NIST	L3986
15.01	P	II	5461.2	125.0	0.2083	NIST	L3986
15.01	P	II	5483.55	200.0	0.3333	NIST	L3986
15.01	P	II	5499.73	200.0	0.3333	NIST	L3986
15.01	P	II	5507.19	200.0	0.3333	NIST	L3986
15.01	P	II	5541.14	200.0	0.3333	NIST	L3986
15.01	P	II	5583.27	200.0	0.3333	NIST	L3986
15.01	P	II	5588.34	250.0	0.4167	NIST	L3986
15.01	P	II	5727.71	100.0	0.1667	NIST	L3986
15.01	P	II	6024.18	500.0	0.8333	NIST	L3986
15.01	P	II	6034.04	400.0	0.6667	NIST	L3986
15.01	P	II	6043.12	500.0	0.8333	NIST	L3986
15.01	P	II	6055.5	250.0	0.4167	NIST	L3986
15.01	P	II	6057.86	100.0	0.1667	NIST	L3986
15.01	P	II	6087.82	350.0	0.5833	NIST	L3986
15.01	P	II	6165.59	350.0	0.5833	NIST	L3986
15.01	P	II	6232.29	100.0	0.1667	NIST	L3986
15.01	P	II	6367.27	200.0	0.3333	NIST	L3986
15.01	P	II	6435.32	250.0	0.4167	NIST	L3986
15.01	P	II	6436.31	130.0	0.2167	NIST	L3986
15.01	P	II	6459.99	600.0	1.0	NIST	L3986
15.01	P	II	6503.46	600.0	1.0	NIST	L3986
15.01	P	II	6507.97	600.0	1.0	NIST	L3986
15.01	P	II	6713.28	150.0	0.25	NIST	L3986
15.01	P	II	7845.63	250.0	0.4167	NIST	L3986
