atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
15.04	P	V	255.59	80.0	0.0889	NIST	L2613
15.04	P	V	255.67	50.0	0.0556	NIST	L2613
15.04	P	V	310.58	110.0	0.1222	NIST	L2613
15.04	P	V	311.34	150.0	0.1667	NIST	L2613
15.04	P	V	328.47	300.0	0.3333	NIST	L2613
15.04	P	V	328.78	250.0	0.2778	NIST	L2613
15.04	P	V	347.23	150.0	0.1667	NIST	L2613
15.04	P	V	348.2	200.0	0.2222	NIST	L2613
15.04	P	V	378.56	110.0	0.1222	NIST	L2613
15.04	P	V	389.5	250.0	0.2778	NIST	L2613
15.04	P	V	390.7	300.0	0.3333	NIST	L2613
15.04	P	V	410.03	150.0	0.1667	NIST	L2613
15.04	P	V	475.6	375.0	0.4167	NIST	L2613
15.04	P	V	534.63	110.0	0.1222	NIST	L2613
15.04	P	V	534.99	80.0	0.0889	NIST	L2613
15.04	P	V	542.57	520.0	0.5778	NIST	L2613
15.04	P	V	544.92	600.0	0.6667	NIST	L2613
15.04	P	V	673.9	450.0	0.5	NIST	L2613
15.04	P	V	865.45	450.0	0.5	NIST	L2613
15.04	P	V	871.39	600.0	0.6667	NIST	L2613
15.04	P	V	997.62	250.0	0.2778	NIST	L2613
15.04	P	V	1000.38	150.0	0.1667	NIST	L2613
15.04	P	V	1117.98	900.0	1.0	NIST	L2613
15.04	P	V	1128.01	700.0	0.7778	NIST	L2613
15.04	P	V	1379.62	150.0	0.1667	NIST	L2613
15.04	P	V	1385.05	250.0	0.2778	NIST	L2613
15.04	P	V	1447.83	375.0	0.4167	NIST	L2613
15.04	P	V	1610.5	450.0	0.5	NIST	L2613
15.04	P	V	2180.29	200.0	0.2222	NIST	L2613
15.04	P	V	2186.42	150.0	0.1667	NIST	L2613
15.04	P	V	2424.4	375.0	0.4167	NIST	L2613
15.04	P	V	2440.93	450.0	0.5	NIST	L2613
15.04	P	V	2441.24	200.0	0.2222	NIST	L2613
15.04	P	V	2961.0	300.0	0.3333	NIST	L2613
15.04	P	V	2978.55	450.0	0.5	NIST	L2613
15.04	P	V	3175.09	700.0	0.7778	NIST	L2613
15.04	P	V	3204.04	520.0	0.5778	NIST	L2613
15.04	P	V	4083.18	150.0	0.1667	NIST	L2613
15.04	P	V	4094.95	110.0	0.1222	NIST	L2613
15.04	P	V	5156.72	110.0	0.1222	NIST	L2613
