atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
91.00	Pa	I	3504.97	3000.0	0.3	NIST	u2
91.00	Pa	I	3570.56	3000.0	0.3	NIST	u2
91.00	Pa	I	3571.82	3000.0	0.3	NIST	u2
91.00	Pa	I	3618.07	3000.0	0.3	NIST	u2
91.00	Pa	I	3636.52	10000.0	1.0	NIST	u2
91.00	Pa	I	3702.74	3000.0	0.3	NIST	u2
91.00	Pa	I	3752.67	3000.0	0.3	NIST	u2
91.00	Pa	I	3873.35	3000.0	0.3	NIST	u2
91.00	Pa	I	3931.83	3000.0	0.3	NIST	u2
91.00	Pa	I	3981.82	3000.0	0.3	NIST	u2
91.00	Pa	I	3982.23	10000.0	1.0	NIST	u2
91.00	Pa	I	6035.78	3000.0	0.3	NIST	u2
91.00	Pa	I	6162.56	3000.0	0.3	NIST	u2
91.00	Pa	I	6358.61	3000.0	0.3	NIST	u2
91.00	Pa	I	6379.25	3000.0	0.3	NIST	u2
91.00	Pa	I	6438.97	3000.0	0.3	NIST	u2
91.00	Pa	I	6792.75	3000.0	0.3	NIST	u2
91.00	Pa	I	6945.72	10000.0	1.0	NIST	u2
91.00	Pa	I	6960.09	3000.0	0.3	NIST	u2
91.00	Pa	I	6961.78	3000.0	0.3	NIST	u2
91.00	Pa	I	6992.73	3000.0	0.3	NIST	u2
91.00	Pa	I	7076.27	3000.0	0.3	NIST	u2
91.00	Pa	I	7100.94	3000.0	0.3	NIST	u2
91.00	Pa	I	7114.89	10000.0	1.0	NIST	u2
91.00	Pa	I	7171.55	3000.0	0.3	NIST	u2
91.00	Pa	I	7227.13	3000.0	0.3	NIST	u2
91.00	Pa	I	7318.79	3000.0	0.3	NIST	u2
91.00	Pa	I	7368.25	10000.0	1.0	NIST	u2
91.00	Pa	I	7471.89	3000.0	0.3	NIST	u2
91.00	Pa	I	7493.15	10000.0	1.0	NIST	u2
91.00	Pa	I	7558.26	3000.0	0.3	NIST	u2
91.00	Pa	I	7608.2	10000.0	1.0	NIST	u2
91.00	Pa	I	7626.79	10000.0	1.0	NIST	u2
91.00	Pa	I	7635.18	10000.0	1.0	NIST	u2
91.00	Pa	I	7669.34	10000.0	1.0	NIST	u2
91.00	Pa	I	7679.2	3000.0	0.3	NIST	u2
91.00	Pa	I	7749.19	10000.0	1.0	NIST	u2
91.00	Pa	I	7872.95	3000.0	0.3	NIST	u2
91.00	Pa	I	7945.56	3000.0	0.3	NIST	u2
91.00	Pa	I	8039.34	10000.0	1.0	NIST	u2
91.00	Pa	I	8099.84	10000.0	1.0	NIST	u2
91.00	Pa	I	8199.04	10000.0	1.0	NIST	u2
91.00	Pa	I	8271.87	10000.0	1.0	NIST	u2
91.00	Pa	I	8358.98	3000.0	0.3	NIST	u2
91.00	Pa	I	8369.6	3000.0	0.3	NIST	u2
91.00	Pa	I	8441.04	3000.0	0.3	NIST	u2
91.00	Pa	I	8532.66	10000.0	1.0	NIST	u2
91.00	Pa	I	8572.96	10000.0	1.0	NIST	u2
91.00	Pa	I	8639.91	3000.0	0.3	NIST	u2
91.00	Pa	I	8653.51	3000.0	0.3	NIST	u2
91.00	Pa	I	8735.27	10000.0	1.0	NIST	u2
91.00	Pa	I	10923.32	3000.0	0.3	NIST	u2
91.00	Pa	I	11791.73	10000.0	1.0	NIST	u2
91.00	Pa	I	14344.76	10000.0	1.0	NIST	u2
91.00	Pa	I	18478.61	3000.0	0.3	NIST	u2
