atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
46.01	Pd	II	1162.17	600.0	0.6	NIST	L11817
46.01	Pd	II	1183.4003	700.0	0.7	NIST	L11817
46.01	Pd	II	1196.4051	1000.0	1.0	NIST	L11817
46.01	Pd	II	1203.9645	800.0	0.8	NIST	L11817
46.01	Pd	II	1218.6219	700.0	0.7	NIST	L11817
46.01	Pd	II	1237.0677	700.0	0.7	NIST	L11817
46.01	Pd	II	1320.0229	800.0	0.8	NIST	L11817
46.01	Pd	II	1363.6892	700.0	0.7	NIST	L11817
46.01	Pd	II	1367.7039	800.0	0.8	NIST	L11817
46.01	Pd	II	1374.8481	900.0	0.9	NIST	L11817
46.01	Pd	II	2162.2617	50.0	0.05	NIST	L11331
46.01	Pd	II	2182.3368	50.0	0.05	NIST	L11331
46.01	Pd	II	2212.1419	50.0	0.05	NIST	L11331
46.01	Pd	II	2231.5907	100.0	0.1	NIST	L11331
46.01	Pd	II	2296.5164	200.0	0.2	NIST	L11331
46.01	Pd	II	2351.3469	50.0	0.05	NIST	L11331
46.01	Pd	II	2360.5341	270.0	0.27	NIST	L11331
46.01	Pd	II	2362.3313	50.0	0.05	NIST	L11331
46.01	Pd	II	2367.9664	75.0	0.075	NIST	L11331
46.01	Pd	II	2372.1574	60.0	0.06	NIST	L11331
46.01	Pd	II	2388.31	50.0	0.05	NIST	L11331
46.01	Pd	II	2414.7305	60.0	0.06	NIST	L11331
46.01	Pd	II	2418.7236	75.0	0.075	NIST	L11331
46.01	Pd	II	2424.4764	75.0	0.075	NIST	L11331
46.01	Pd	II	2426.8671	100.0	0.1	NIST	L11331
46.01	Pd	II	2430.9254	100.0	0.1	NIST	L11331
46.01	Pd	II	2433.1025	100.0	0.1	NIST	L11331
46.01	Pd	II	2435.321	100.0	0.1	NIST	L11331
46.01	Pd	II	2446.1888	150.0	0.15	NIST	L11331
46.01	Pd	II	2446.7132	75.0	0.075	NIST	L11331
46.01	Pd	II	2448.1588	80.0	0.08	NIST	L11331
46.01	Pd	II	2457.2572	100.0	0.1	NIST	L11331
46.01	Pd	II	2457.734	60.0	0.06	NIST	L11331
46.01	Pd	II	2457.7912	60.0	0.06	NIST	L11331
46.01	Pd	II	2469.2517	150.0	0.15	NIST	L11331
46.01	Pd	II	2470.0064	80.0	0.08	NIST	L11331
46.01	Pd	II	2471.1516	100.0	0.1	NIST	L11331
46.01	Pd	II	2472.502	50.0	0.05	NIST	L11331
46.01	Pd	II	2486.526	250.0	0.25	NIST	L11331
46.01	Pd	II	2488.9146	300.0	0.3	NIST	L11331
46.01	Pd	II	2489.6028	75.0	0.075	NIST	L11331
46.01	Pd	II	2498.7769	200.0	0.2	NIST	L11331
46.01	Pd	II	2505.7293	150.0	0.15	NIST	L11331
46.01	Pd	II	2514.4736	50.0	0.05	NIST	L11331
46.01	Pd	II	2534.6005	80.0	0.08	NIST	L11331
46.01	Pd	II	2539.3304	50.0	0.05	NIST	L11331
46.01	Pd	II	2551.8452	150.0	0.15	NIST	L11331
46.01	Pd	II	2565.5045	150.0	0.15	NIST	L11331
46.01	Pd	II	2569.5444	100.0	0.1	NIST	L11331
46.01	Pd	II	2593.2363	60.0	0.06	NIST	L11331
46.01	Pd	II	2628.2406	50.0	0.05	NIST	L11331
46.01	Pd	II	2635.933	70.0	0.07	NIST	L11331
46.01	Pd	II	2658.7201	150.0	0.15	NIST	L11331
46.01	Pd	II	2776.6595	150.0	0.15	NIST	L11331
46.01	Pd	II	2787.7527	100.0	0.1	NIST	L11331
46.01	Pd	II	2800.4565	30.0	0.03	NIST	L11331
46.01	Pd	II	2800.7557	20.0	0.02	NIST	L11331
46.01	Pd	II	2807.3766	50.0	0.05	NIST	L11331
46.01	Pd	II	2854.5776	200.0	0.2	NIST	L11331
46.01	Pd	II	2871.2159	100.0	0.1	NIST	L11331
46.01	Pd	II	2877.8878	100.0	0.1	NIST	L11331
46.01	Pd	II	2980.63	50.0	0.05	NIST	L3327
