atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
61.00	Pm	I	3162.23	35.0	0.035	NIST	L4514c1
61.00	Pm	I	3168.82	35.0	0.035	NIST	L4514c1
61.00	Pm	I	3222.04	35.0	0.035	NIST	L4514c1
61.00	Pm	I	3238.55	35.0	0.035	NIST	L4514c1
61.00	Pm	I	3296.63	75.0	0.075	NIST	L4514c1
61.00	Pm	I	3313.38	50.0	0.05	NIST	L4514c1
61.00	Pm	I	3329.22	50.0	0.05	NIST	L4514c1
61.00	Pm	I	3331.57	75.0	0.075	NIST	L4514c1
61.00	Pm	I	3354.45	100.0	0.1	NIST	L4514c1
61.00	Pm	I	3366.03	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3546.81	200.0	0.2	NIST	L4514c1
61.00	Pm	I	3669.22	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3674.85	200.0	0.2	NIST	L4514c1
61.00	Pm	I	3679.85	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3697.63	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3726.01	500.0	0.5	NIST	L4514c1
61.00	Pm	I	3738.43	200.0	0.2	NIST	L4514c1
61.00	Pm	I	3740.68	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3742.97	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3761.68	200.0	0.2	NIST	L4514c1
61.00	Pm	I	3765.75	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3775.42	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3780.77	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3781.43	200.0	0.2	NIST	L4514c1
61.00	Pm	I	3809.2	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3810.93	400.0	0.4	NIST	L4514c1
61.00	Pm	I	3839.52	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3874.03	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3885.79	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3890.97	250.0	0.25	NIST	L4514c1
61.00	Pm	I	3898.73	300.0	0.3	NIST	L4514c1
61.00	Pm	I	3954.76	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4056.56	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4085.31	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4264.32	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4284.37	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4305.64	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4318.8	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4347.72	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4363.92	350.0	0.35	NIST	L4514c1
61.00	Pm	I	4369.64	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4388.49	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4409.42	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4412.47	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4435.86	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4436.55	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4438.68	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4468.16	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4478.58	350.0	0.35	NIST	L4514c1
61.00	Pm	I	4481.6	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4485.05	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4490.5	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4500.33	350.0	0.35	NIST	L4514c1
61.00	Pm	I	4506.84	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4517.31	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4523.32	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4526.12	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4526.76	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4527.7	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4540.06	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4541.42	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4541.75	450.0	0.45	NIST	L4514c1
61.00	Pm	I	4544.08	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4545.17	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4549.78	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4554.03	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4554.63	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4555.34	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4556.06	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4557.03	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4559.21	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4568.14	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4570.37	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4572.15	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4575.27	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4578.28	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4578.41	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4579.48	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4581.14	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4585.49	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4593.82	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4595.82	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4597.55	800.0	0.8	NIST	L4514c1
61.00	Pm	I	4600.25	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4602.96	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4604.59	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4605.66	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4609.85	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4617.02	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4618.4	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4618.49	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4619.75	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4621.57	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4623.31	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4623.68	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4624.41	900.0	0.9	NIST	L4514c1
61.00	Pm	I	4625.29	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4627.6	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4630.93	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4633.45	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4640.96	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4643.36	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4643.76	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4645.94	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4647.03	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4650.42	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4650.52	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4653.41	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4654.5	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4655.05	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4659.38	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4660.79	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4663.26	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4663.46	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4665.19	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4671.23	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4671.76	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4674.42	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4677.46	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4677.92	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4678.09	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4682.92	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4696.8	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4699.51	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4727.06	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4728.36	900.0	0.9	NIST	L4514c1
61.00	Pm	I	4728.68	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4734.27	800.0	0.8	NIST	L4514c1
61.00	Pm	I	4737.99	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4739.78	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4745.13	350.0	0.35	NIST	L4514c1
61.00	Pm	I	4757.73	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4759.0	800.0	0.8	NIST	L4514c1
61.00	Pm	I	4762.57	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4773.46	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4781.29	900.0	0.9	NIST	L4514c1
61.00	Pm	I	4794.59	250.0	0.25	NIST	L4514c1
61.00	Pm	I	4795.43	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4798.98	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4801.36	900.0	0.9	NIST	L4514c1
61.00	Pm	I	4809.54	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4811.96	900.0	0.9	NIST	L4514c1
61.00	Pm	I	4817.12	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4827.72	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4837.66	800.0	0.8	NIST	L4514c1
61.00	Pm	I	4838.92	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4839.62	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4844.01	200.0	0.2	NIST	L4514c1
61.00	Pm	I	4852.73	350.0	0.35	NIST	L4514c1
61.00	Pm	I	4860.62	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4860.74	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4865.3	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4865.72	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4869.8	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4872.42	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4887.02	500.0	0.5	NIST	L4514c1
61.00	Pm	I	4892.52	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4900.3	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4904.28	300.0	0.3	NIST	L4514c1
61.00	Pm	I	4918.28	400.0	0.4	NIST	L4514c1
61.00	Pm	I	4932.99	600.0	0.6	NIST	L4514c1
61.00	Pm	I	4959.46	700.0	0.7	NIST	L4514c1
61.00	Pm	I	4997.1	500.0	0.5	NIST	L4514c1
61.00	Pm	I	5030.8	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5058.31	300.0	0.3	NIST	L4514c1
61.00	Pm	I	5092.42	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5094.83	400.0	0.4	NIST	L4514c1
61.00	Pm	I	5096.18	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5100.77	400.0	0.4	NIST	L4514c1
61.00	Pm	I	5127.34	400.0	0.4	NIST	L4514c1
61.00	Pm	I	5129.75	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5145.13	400.0	0.4	NIST	L4514c1
61.00	Pm	I	5146.3	500.0	0.5	NIST	L4514c1
61.00	Pm	I	5537.38	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5730.81	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5776.99	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5904.71	250.0	0.25	NIST	L4514c1
61.00	Pm	I	5905.9	100.0	0.1	NIST	L4514c1
61.00	Pm	I	5914.96	125.0	0.125	NIST	L4514c1
61.00	Pm	I	5939.66	150.0	0.15	NIST	L4514c1
61.00	Pm	I	5956.42	800.0	0.8	NIST	L4514c1
61.00	Pm	I	5956.69	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5967.89	400.0	0.4	NIST	L4514c1
61.00	Pm	I	5979.73	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5984.82	200.0	0.2	NIST	L4514c1
61.00	Pm	I	5997.12	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6030.06	300.0	0.3	NIST	L4514c1
61.00	Pm	I	6031.32	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6043.39	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6069.06	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6100.21	900.0	0.9	NIST	L4514c1
61.00	Pm	I	6106.4	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6151.76	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6163.16	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6229.64	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6237.79	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6272.69	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6286.06	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6308.29	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6323.84	700.0	0.7	NIST	L4514c1
61.00	Pm	I	6390.31	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6431.93	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6487.61	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6510.34	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6517.25	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6520.45	1000.0	1.0	NIST	L4514c1
61.00	Pm	I	6542.2	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6598.15	900.0	0.9	NIST	L4514c1
61.00	Pm	I	6598.66	800.0	0.8	NIST	L4514c1
61.00	Pm	I	6606.37	700.0	0.7	NIST	L4514c1
61.00	Pm	I	6625.23	800.0	0.8	NIST	L4514c1
61.00	Pm	I	6649.81	700.0	0.7	NIST	L4514c1
61.00	Pm	I	6661.68	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6663.76	400.0	0.4	NIST	L4514c1
61.00	Pm	I	6667.51	800.0	0.8	NIST	L4514c1
61.00	Pm	I	6677.47	700.0	0.7	NIST	L4514c1
61.00	Pm	I	6685.55	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6685.68	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6700.33	600.0	0.6	NIST	L4514c1
61.00	Pm	I	6714.67	700.0	0.7	NIST	L4514c1
61.00	Pm	I	6717.26	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6720.71	500.0	0.5	NIST	L4514c1
61.00	Pm	I	6727.5	700.0	0.7	NIST	L4514c1
