atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
59.03	Pr	IV	718.23	20.0	0.002	NIST	L1178
59.03	Pr	IV	721.34	30.0	0.003	NIST	L1178
59.03	Pr	IV	722.41	60.0	0.006	NIST	L1178
59.03	Pr	IV	722.58	30.0	0.003	NIST	L1178
59.03	Pr	IV	726.04	20.0	0.002	NIST	L1178
59.03	Pr	IV	730.37	50.0	0.005	NIST	L1178
59.03	Pr	IV	731.77	30.0	0.003	NIST	L1178
59.03	Pr	IV	734.86	30.0	0.003	NIST	L1178
59.03	Pr	IV	735.04	20.0	0.002	NIST	L1178
59.03	Pr	IV	736.19	20.0	0.002	NIST	L1178
59.03	Pr	IV	736.32	50.0	0.005	NIST	L1178
59.03	Pr	IV	737.17	100.0	0.01	NIST	L1178
59.03	Pr	IV	741.45	100.0	0.01	NIST	L1178
59.03	Pr	IV	743.15	20.0	0.002	NIST	L1178
59.03	Pr	IV	743.89	20.0	0.002	NIST	L1178
59.03	Pr	IV	746.14	20.0	0.002	NIST	L1178
59.03	Pr	IV	763.16	40.0	0.004	NIST	L1178
59.03	Pr	IV	764.0	20.0	0.002	NIST	L1178
59.03	Pr	IV	1226.4	300.0	0.03	NIST	L3520
59.03	Pr	IV	1228.59	2000.0	0.2	NIST	L3520
59.03	Pr	IV	1230.69	500.0	0.05	NIST	L3520
59.03	Pr	IV	1238.19	400.0	0.04	NIST	L3520
59.03	Pr	IV	1249.35	200.0	0.02	NIST	L3520
59.03	Pr	IV	1255.64	200.0	0.02	NIST	L3520
59.03	Pr	IV	1261.27	200.0	0.02	NIST	L3520
59.03	Pr	IV	1268.32	400.0	0.04	NIST	L3520
59.03	Pr	IV	1270.58	300.0	0.03	NIST	L3520
59.03	Pr	IV	1275.1	1000.0	0.1	NIST	L3520
59.03	Pr	IV	1275.4	200.0	0.02	NIST	L3520
59.03	Pr	IV	1278.65	1000.0	0.1	NIST	L3520
59.03	Pr	IV	1279.34	200.0	0.02	NIST	L3520
59.03	Pr	IV	1287.44	1000.0	0.1	NIST	L3520
59.03	Pr	IV	1290.93	300.0	0.03	NIST	L3520
59.03	Pr	IV	1292.3	1000.0	0.1	NIST	L3520
59.03	Pr	IV	1293.22	5000.0	0.5	NIST	L3520
59.03	Pr	IV	1295.28	5000.0	0.5	NIST	L3520
59.03	Pr	IV	1296.5	400.0	0.04	NIST	L3520
59.03	Pr	IV	1298.26	200.0	0.02	NIST	L3520
59.03	Pr	IV	1298.54	300.0	0.03	NIST	L3520
59.03	Pr	IV	1304.71	200.0	0.02	NIST	L3520
59.03	Pr	IV	1306.86	300.0	0.03	NIST	L3520
59.03	Pr	IV	1308.08	200.0	0.02	NIST	L3520
59.03	Pr	IV	1310.71	200.0	0.02	NIST	L3520
