atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
78.00	Pt	I	2030.63	3200.0	0.5818	NIST	L3475
78.00	Pt	I	2032.41	4400.0	0.8	NIST	L3475
78.00	Pt	I	2049.37	5500.0	1.0	NIST	L3475
78.00	Pt	I	2067.5	1500.0	0.2727	NIST	L3475
78.00	Pt	I	2084.59	3000.0	0.5455	NIST	L3475
78.00	Pt	I	2103.33	1000.0	0.1818	NIST	L3475
78.00	Pt	I	2128.61	950.0	0.1727	NIST	L3475
78.00	Pt	I	2144.23	1900.0	0.3455	NIST	L3475
78.00	Pt	I	2165.17	600.0	0.1091	NIST	L3475
78.00	Pt	I	2174.67	1500.0	0.2727	NIST	L3475
78.00	Pt	I	2202.22	400.0	0.0727	NIST	L3475
78.00	Pt	I	2222.61	320.0	0.0582	NIST	L3475
78.00	Pt	I	2249.3	150.0	0.0273	NIST	L3475
78.00	Pt	I	2268.84	190.0	0.0345	NIST	L3475
78.00	Pt	I	2274.38	280.0	0.0509	NIST	L3475
78.00	Pt	I	2289.27	150.0	0.0273	NIST	L3475
78.00	Pt	I	2292.4	150.0	0.0273	NIST	L3475
78.00	Pt	I	2308.04	240.0	0.0436	NIST	L3475
78.00	Pt	I	2315.5	90.0	0.0164	NIST	L3475
78.00	Pt	I	2318.29	220.0	0.04	NIST	L3475
78.00	Pt	I	2326.1	100.0	0.0182	NIST	L3475
78.00	Pt	I	2340.18	170.0	0.0309	NIST	L3475
78.00	Pt	I	2357.1	280.0	0.0509	NIST	L3475
78.00	Pt	I	2368.28	180.0	0.0327	NIST	L3475
78.00	Pt	I	2383.64	130.0	0.0236	NIST	L3475
78.00	Pt	I	2386.81	40.0	0.0073	NIST	L3475
78.00	Pt	I	2389.53	120.0	0.0218	NIST	L3475
78.00	Pt	I	2396.17	35.0	0.0064	NIST	L3475
78.00	Pt	I	2401.87	70.0	0.0127	NIST	L3475
78.00	Pt	I	2403.09	200.0	0.0364	NIST	L3475
78.00	Pt	I	2418.06	100.0	0.0182	NIST	L3475
78.00	Pt	I	2428.04	80.0	0.0145	NIST	L3475
78.00	Pt	I	2428.2	50.0	0.0091	NIST	L3475
78.00	Pt	I	2429.1	25.0	0.0045	NIST	L3475
78.00	Pt	I	2436.69	180.0	0.0327	NIST	L3475
78.00	Pt	I	2440.06	650.0	0.1182	NIST	L3475
78.00	Pt	I	2450.97	60.0	0.0109	NIST	L3475
78.00	Pt	I	2467.44	440.0	0.08	NIST	L3475
78.00	Pt	I	2471.01	35.0	0.0064	NIST	L3475
78.00	Pt	I	2487.17	1000.0	0.1818	NIST	L3475
78.00	Pt	I	2490.12	200.0	0.0364	NIST	L3475
78.00	Pt	I	2495.82	160.0	0.0291	NIST	L3475
78.00	Pt	I	2498.5	240.0	0.0436	NIST	L3475
78.00	Pt	I	2505.93	50.0	0.0091	NIST	L3475
78.00	Pt	I	2508.5	120.0	0.0218	NIST	L3475
78.00	Pt	I	2514.07	50.0	0.0091	NIST	L3475
78.00	Pt	I	2515.03	60.0	0.0109	NIST	L3475
78.00	Pt	I	2515.58	240.0	0.0436	NIST	L3475
78.00	Pt	I	2524.3	140.0	0.0255	NIST	L3475
78.00	Pt	I	2529.41	40.0	0.0073	NIST	L3475
78.00	Pt	I	2536.49	50.0	0.0091	NIST	L3475
78.00	Pt	I	2539.2	160.0	0.0291	NIST	L3475
78.00	Pt	I	2549.46	18.0	0.0033	NIST	L3475
78.00	Pt	I	2552.25	50.0	0.0091	NIST	L3475
78.00	Pt	I	2596.0	50.0	0.0091	NIST	L3475
78.00	Pt	I	2603.14	70.0	0.0127	NIST	L3475
78.00	Pt	I	2619.57	50.0	0.0091	NIST	L3475
78.00	Pt	I	2628.03	1100.0	0.2	NIST	L3475
78.00	Pt	I	2639.35	130.0	0.0236	NIST	L3475
78.00	Pt	I	2646.89	1000.0	0.1818	NIST	L3475
78.00	Pt	I	2650.86	500.0	0.0909	NIST	L3475
78.00	Pt	I	2658.17	20.0	0.0036	NIST	L3475
78.00	Pt	I	2659.45	2800.0	0.5091	NIST	L3475
78.00	Pt	I	2674.57	40.0	0.0073	NIST	L3475
78.00	Pt	I	2677.15	440.0	0.08	NIST	L3475
78.00	Pt	I	2698.43	200.0	0.0364	NIST	L3475
78.00	Pt	I	2702.4	2000.0	0.3636	NIST	L3475
78.00	Pt	I	2705.89	1600.0	0.2909	NIST	L3475
78.00	Pt	I	2713.13	60.0	0.0109	NIST	L3475
78.00	Pt	I	2719.04	1300.0	0.2364	NIST	L3475
78.00	Pt	I	2729.92	130.0	0.0236	NIST	L3475
78.00	Pt	I	2733.96	1800.0	0.3273	NIST	L3475
78.00	Pt	I	2738.48	70.0	0.0127	NIST	L3475
78.00	Pt	I	2747.61	70.0	0.0127	NIST	L3475
78.00	Pt	I	2753.86	80.0	0.0145	NIST	L3475
78.00	Pt	I	2754.92	200.0	0.0364	NIST	L3475
78.00	Pt	I	2769.84	30.0	0.0055	NIST	L3475
78.00	Pt	I	2771.67	500.0	0.0909	NIST	L3475
78.00	Pt	I	2773.24	40.0	0.0073	NIST	L3475
78.00	Pt	I	2774.0	20.0	0.0036	NIST	L3475
78.00	Pt	I	2793.27	50.0	0.0091	NIST	L3475
78.00	Pt	I	2803.24	140.0	0.0255	NIST	L3475
78.00	Pt	I	2808.51	10.0	0.0018	NIST	L3475
78.00	Pt	I	2818.25	50.0	0.0091	NIST	L3475
78.00	Pt	I	2830.3	1400.0	0.2545	NIST	L3475
78.00	Pt	I	2834.71	70.0	0.0127	NIST	L3475
78.00	Pt	I	2853.11	16.0	0.0029	NIST	L3475
78.00	Pt	I	2888.2	25.0	0.0045	NIST	L3475
78.00	Pt	I	2893.22	25.0	0.0045	NIST	L3475
78.00	Pt	I	2893.86	600.0	0.1091	NIST	L3475
78.00	Pt	I	2897.87	300.0	0.0545	NIST	L3475
78.00	Pt	I	2905.9	60.0	0.0109	NIST	L3475
78.00	Pt	I	2912.26	120.0	0.0218	NIST	L3475
78.00	Pt	I	2913.54	120.0	0.0218	NIST	L3475
78.00	Pt	I	2919.34	70.0	0.0127	NIST	L3475
78.00	Pt	I	2921.38	30.0	0.0055	NIST	L3475
78.00	Pt	I	2929.79	1700.0	0.3091	NIST	L3475
78.00	Pt	I	2942.76	30.0	0.0055	NIST	L3475
78.00	Pt	I	2944.75	30.0	0.0055	NIST	L3475
78.00	Pt	I	2959.1	25.0	0.0045	NIST	L3475
78.00	Pt	I	2960.75	60.0	0.0109	NIST	L3475
78.00	Pt	I	2997.97	1800.0	0.3273	NIST	L3475
78.00	Pt	I	3002.27	220.0	0.04	NIST	L3475
78.00	Pt	I	3017.88	30.0	0.0055	NIST	L3475
78.00	Pt	I	3036.45	130.0	0.0236	NIST	L3475
78.00	Pt	I	3042.64	800.0	0.1455	NIST	L3475
78.00	Pt	I	3064.71	3200.0	0.5818	NIST	L3475
78.00	Pt	I	3071.94	30.0	0.0055	NIST	L3475
78.00	Pt	I	3100.04	130.0	0.0236	NIST	L3475
78.00	Pt	I	3139.39	320.0	0.0582	NIST	L3475
78.00	Pt	I	3156.56	140.0	0.0255	NIST	L3475
78.00	Pt	I	3200.71	120.0	0.0218	NIST	L3475
78.00	Pt	I	3204.04	320.0	0.0582	NIST	L3475
78.00	Pt	I	3230.29	30.0	0.0055	NIST	L3475
78.00	Pt	I	3233.42	20.0	0.0036	NIST	L3475
78.00	Pt	I	3250.36	20.0	0.0036	NIST	L3475
78.00	Pt	I	3251.98	40.0	0.0073	NIST	L3475
78.00	Pt	I	3255.92	160.0	0.0291	NIST	L3475
78.00	Pt	I	3268.42	25.0	0.0045	NIST	L3475
