atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.00	Rb	I	3082.003	2.0	0.0	NIST	L3287
37.00	Rb	I	3112.566	10.0	0.0001	NIST	L3287
37.00	Rb	I	3113.047	3.0	0.0	NIST	L3287
37.00	Rb	I	3157.53	25.0	0.0003	NIST	L3287
37.00	Rb	I	3158.259	5.0	0.0001	NIST	L3287
37.00	Rb	I	3227.979	50.0	0.0006	NIST	L3287
37.00	Rb	I	3229.156	6.0	0.0001	NIST	L3287
37.00	Rb	I	3348.696	60.0	0.0007	NIST	L3287
37.00	Rb	I	3350.812	75.0	0.0008	NIST	L3287
37.00	Rb	I	3587.05	100.0	0.0011	NIST	L3287
37.00	Rb	I	3591.572	40.0	0.0004	NIST	L3287
37.00	Rb	I	4201.792	1000.0	0.0111	NIST	L3287
37.00	Rb	I	4215.524	500.0	0.0056	NIST	L3287
37.00	Rb	I	5087.9874	2.0	0.0	NIST	L7459
37.00	Rb	I	5132.4708	2.0	0.0	NIST	L7459
37.00	Rb	I	5150.1339	10.0	0.0001	NIST	L7459
37.00	Rb	I	5165.0231	1.0	0.0	NIST	L7459
37.00	Rb	I	5165.1416	2.0	0.0	NIST	L7459
37.00	Rb	I	5169.651	1.0	0.0	NIST	L3522
37.00	Rb	I	5195.2778	15.0	0.0002	NIST	L7459
37.00	Rb	I	5233.9679	2.0	0.0	NIST	L7459
37.00	Rb	I	5260.0338	20.0	0.0002	NIST	L7459
37.00	Rb	I	5260.2285	1.0	0.0	NIST	L7459
37.00	Rb	I	5322.38	3.0	0.0	NIST	L7459
37.00	Rb	I	5362.6013	40.0	0.0004	NIST	L7459
37.00	Rb	I	5390.5679	4.0	0.0	NIST	L7459
37.00	Rb	I	5431.5321	75.0	0.0008	NIST	L7459
37.00	Rb	I	5431.8305	3.0	0.0	NIST	L7459
37.00	Rb	I	5578.788	6.0	0.0001	NIST	L7459
37.00	Rb	I	5647.7735	40.0	0.0004	NIST	L7459
37.00	Rb	I	5653.75	20.0	0.0002	NIST	L7459
37.00	Rb	I	5724.1208	60.0	0.0007	NIST	L7459
37.00	Rb	I	5724.6143	3.0	0.0	NIST	L7459
37.00	Rb	I	6070.7547	75.0	0.0008	NIST	L7459
37.00	Rb	I	6159.6264	30.0	0.0003	NIST	L7459
37.00	Rb	I	6206.3092	75.0	0.0008	NIST	L7459
37.00	Rb	I	6298.3252	120.0	0.0013	NIST	L7459
37.00	Rb	I	6299.2245	5.0	0.0001	NIST	L7459
37.00	Rb	I	7279.9968	100.0	0.0011	NIST	L7459
37.00	Rb	I	7408.1731	150.0	0.0017	NIST	L7459
37.00	Rb	I	7618.933	200.0	0.0022	NIST	L7459
37.00	Rb	I	7757.6507	300.0	0.0033	NIST	L7459
37.00	Rb	I	7759.4363	60.0	0.0007	NIST	L7459
37.00	Rb	I	7800.268	90000.0	1.0	NIST	L4740
37.00	Rb	I	7925.26	5.0	0.0001	NIST	L3522
37.00	Rb	I	7925.537	4.0	0.0	NIST	L3522
37.00	Rb	I	7947.603	45000.0	0.5	NIST	L4740
37.00	Rb	I	8271.41	40.0	0.0004	NIST	L3522
37.00	Rb	I	8271.707	30.0	0.0003	NIST	L3522
37.00	Rb	I	8868.512	40.0	0.0004	NIST	L7459
37.00	Rb	I	8868.852	30.0	0.0003	NIST	L7459
37.00	Rb	I	9224.64	3.0	0.0	NIST	L6005
37.00	Rb	I	9234.25	2.0	0.0	NIST	L6005
37.00	Rb	I	9522.65	30.0	0.0003	NIST	L6005
37.00	Rb	I	9523.05	5.0	0.0001	NIST	L6005
37.00	Rb	I	9540.18	20.0	0.0002	NIST	L6005
37.00	Rb	I	10075.282	35.0	0.0004	NIST	L7459
37.00	Rb	I	10075.708	30.0	0.0003	NIST	L7459
37.00	Rb	I	13235.17	100.0	0.0011	NIST	L4740
37.00	Rb	I	13442.81	20.0	0.0002	NIST	L4740
37.00	Rb	I	13443.57	30.0	0.0003	NIST	L4740
37.00	Rb	I	13665.01	75.0	0.0008	NIST	L4740
37.00	Rb	I	14752.41	1000.0	0.0111	NIST	L4740
37.00	Rb	I	15288.43	800.0	0.0089	NIST	L4740
37.00	Rb	I	15289.48	150.0	0.0017	NIST	L4740
37.00	Rb	I	22535.8	20.0	0.0002	NIST	L4740
37.00	Rb	I	22938.73	10.0	0.0001	NIST	L4740
37.00	Rb	I	27321.76	4.0	0.0	NIST	L4740
37.00	Rb	I	27912.98	2.0	0.0	NIST	L4740
