atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.06	Rb	VII	291.731	150.0	0.05	NIST	L6833
37.06	Rb	VII	300.916	300.0	0.1	NIST	L6833
37.06	Rb	VII	390.826	300.0	0.1	NIST	L10267
37.06	Rb	VII	405.401	400.0	0.1333	NIST	L10267
37.06	Rb	VII	407.512	80.0	0.0267	NIST	L10267
37.06	Rb	VII	477.356	70.0	0.0233	NIST	L10267
37.06	Rb	VII	482.153	100.0	0.0333	NIST	L10267
37.06	Rb	VII	483.227	800.0	0.2667	NIST	L10267
37.06	Rb	VII	492.952	400.0	0.1333	NIST	L10267
37.06	Rb	VII	508.971	1000.0	0.3333	NIST	L10267
37.06	Rb	VII	519.439	50.0	0.0167	NIST	L10267
37.06	Rb	VII	519.771	400.0	0.1333	NIST	L10267
37.06	Rb	VII	524.383	800.0	0.2667	NIST	L10267
37.06	Rb	VII	531.67	100.0	0.0333	NIST	L10267
37.06	Rb	VII	541.067	50.0	0.0167	NIST	L10267
37.06	Rb	VII	546.37	70.0	0.0233	NIST	L10267
37.06	Rb	VII	547.384	100.0	0.0333	NIST	L10267
37.06	Rb	VII	550.074	45.0	0.015	NIST	L10267
37.06	Rb	VII	554.839	10.0	0.0033	NIST	L10267
37.06	Rb	VII	557.349	80.0	0.0267	NIST	L10267
37.06	Rb	VII	622.28	2000.0	0.6667	NIST	L10267
37.06	Rb	VII	649.064	200.0	0.0667	NIST	L10267
37.06	Rb	VII	654.385	100.0	0.0333	NIST	L10267
37.06	Rb	VII	659.071	3000.0	1.0	NIST	L10267
37.06	Rb	VII	663.141	80.0	0.0267	NIST	L10267
37.06	Rb	VII	665.638	30.0	0.01	NIST	L10267
