atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.09	Rb	X	96.977	4000.0	0.6667	NIST	L6172
37.09	Rb	X	97.704	6000.0	1.0	NIST	L6172
37.09	Rb	X	99.183	250.0	0.0417	NIST	L6172
37.09	Rb	X	292.49	10.0	0.0017	NIST	L7252
37.09	Rb	X	346.619	25.0	0.0042	NIST	L6987
37.09	Rb	X	348.884	35.0	0.0058	NIST	L6987
37.09	Rb	X	352.86	60.0	0.01	NIST	L6987
37.09	Rb	X	353.449	30.0	0.005	NIST	L6987
37.09	Rb	X	356.324	25.0	0.0042	NIST	L6987
37.09	Rb	X	356.599	50.0	0.0083	NIST	L6987
37.09	Rb	X	358.328	25.0	0.0042	NIST	L6987
37.09	Rb	X	360.706	50.0	0.0083	NIST	L6987
37.09	Rb	X	361.575	100.0	0.0167	NIST	L6987
37.09	Rb	X	361.684	30.0	0.005	NIST	L6987
37.09	Rb	X	363.314	50.0	0.0083	NIST	L6987
37.09	Rb	X	363.907	40.0	0.0067	NIST	L6987
37.09	Rb	X	365.552	50.0	0.0083	NIST	L6987
37.09	Rb	X	368.309	30.0	0.005	NIST	L6987
37.09	Rb	X	369.042	50.0	0.0083	NIST	L6987
37.09	Rb	X	369.908	20.0	0.0033	NIST	L6987
37.09	Rb	X	371.735	25.0	0.0042	NIST	L6987
37.09	Rb	X	372.878	15.0	0.0025	NIST	L6987
37.09	Rb	X	375.356	100.0	0.0167	NIST	L6987
37.09	Rb	X	375.844	100.0	0.0167	NIST	L6987
37.09	Rb	X	376.261	35.0	0.0058	NIST	L6987
37.09	Rb	X	376.712	50.0	0.0083	NIST	L6987
37.09	Rb	X	376.755	50.0	0.0083	NIST	L6987
37.09	Rb	X	376.989	25.0	0.0042	NIST	L6987
37.09	Rb	X	378.147	90.0	0.015	NIST	L6987
37.09	Rb	X	378.654	40.0	0.0067	NIST	L6987
37.09	Rb	X	380.111	40.0	0.0067	NIST	L6987
37.09	Rb	X	384.597	55.0	0.0092	NIST	L6987
37.09	Rb	X	389.411	35.0	0.0058	NIST	L6987
37.09	Rb	X	409.403	45.0	0.0075	NIST	L7252
37.09	Rb	X	409.616	20.0	0.0033	NIST	L7252
37.09	Rb	X	410.955	40.0	0.0067	NIST	L7252
37.09	Rb	X	413.748	40.0	0.0067	NIST	L7252
37.09	Rb	X	415.888	15.0	0.0025	NIST	L7252
37.09	Rb	X	510.353	20.0	0.0033	NIST	L6987
37.09	Rb	X	511.37	20.0	0.0033	NIST	L6987
37.09	Rb	X	520.232	20.0	0.0033	NIST	L6987
37.09	Rb	X	526.925	80.0	0.0133	NIST	L6987
37.09	Rb	X	528.324	40.0	0.0067	NIST	L6987
37.09	Rb	X	531.136	30.0	0.005	NIST	L6987
37.09	Rb	X	534.856	75.0	0.0125	NIST	L6987
37.09	Rb	X	536.359	60.0	0.01	NIST	L6987
37.09	Rb	X	539.627	80.0	0.0133	NIST	L6987
37.09	Rb	X	542.013	100.0	0.0167	NIST	L6987
37.09	Rb	X	557.337	100.0	0.0167	NIST	L6987
37.09	Rb	X	557.855	110.0	0.0183	NIST	L6987
37.09	Rb	X	569.776	45.0	0.0075	NIST	L6987
37.09	Rb	X	570.392	30.0	0.005	NIST	L6987
37.09	Rb	X	571.323	70.0	0.0117	NIST	L6987
37.09	Rb	X	576.46	35.0	0.0058	NIST	L6987
37.09	Rb	X	577.945	80.0	0.0133	NIST	L6987
37.09	Rb	X	580.61	40.0	0.0067	NIST	L6987
37.09	Rb	X	582.977	25.0	0.0042	NIST	L6987
37.09	Rb	X	591.735	60.0	0.01	NIST	L6987
37.09	Rb	X	602.222	80.0	0.0133	NIST	L6987
37.09	Rb	X	603.653	120.0	0.02	NIST	L6987
37.09	Rb	X	612.868	115.0	0.0192	NIST	L6987
37.09	Rb	X	617.03	25.0	0.0042	NIST	L6987
37.09	Rb	X	624.676	30.0	0.005	NIST	L6987
