atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
37.12	Rb	XIII	84.917	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	85.794	1200.0	0.3529	NIST	L9211
37.12	Rb	XIII	86.088	1600.0	0.4706	NIST	L9211
37.12	Rb	XIII	86.982	560.0	0.1647	NIST	L9211
37.12	Rb	XIII	87.106	970.0	0.2853	NIST	L9211
37.12	Rb	XIII	87.542	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	87.557	560.0	0.1647	NIST	L9211
37.12	Rb	XIII	87.71	100.0	0.0294	NIST	L9211
37.12	Rb	XIII	87.795	2900.0	0.8529	NIST	L9211
37.12	Rb	XIII	87.879	40.0	0.0118	NIST	L9211
37.12	Rb	XIII	88.19	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	88.495	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	89.052	240.0	0.0706	NIST	L9211
37.12	Rb	XIII	89.162	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	89.466	240.0	0.0706	NIST	L9211
37.12	Rb	XIII	89.823	380.0	0.1118	NIST	L9211
37.12	Rb	XIII	90.172	50.0	0.0147	NIST	L9211
37.12	Rb	XIII	90.329	720.0	0.2118	NIST	L9211
37.12	Rb	XIII	91.161	70.0	0.0206	NIST	L9211
37.12	Rb	XIII	91.304	70.0	0.0206	NIST	L9211
37.12	Rb	XIII	91.526	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	91.7	550.0	0.1618	NIST	L9211
37.12	Rb	XIII	91.914	60.0	0.0176	NIST	L9211
37.12	Rb	XIII	92.15	320.0	0.0941	NIST	L9211
37.12	Rb	XIII	92.291	60.0	0.0176	NIST	L9211
37.12	Rb	XIII	92.345	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	92.381	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	92.517	550.0	0.1618	NIST	L9211
37.12	Rb	XIII	92.894	50.0	0.0147	NIST	L9211
37.12	Rb	XIII	93.004	100.0	0.0294	NIST	L9211
37.12	Rb	XIII	93.066	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	93.477	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	93.559	830.0	0.2441	NIST	L9211
37.12	Rb	XIII	93.703	710.0	0.2088	NIST	L9211
37.12	Rb	XIII	93.723	3400.0	1.0	NIST	L9211
37.12	Rb	XIII	93.778	180.0	0.0529	NIST	L9211
37.12	Rb	XIII	93.864	210.0	0.0618	NIST	L9211
37.12	Rb	XIII	94.199	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	94.292	40.0	0.0118	NIST	L9211
37.12	Rb	XIII	94.472	140.0	0.0412	NIST	L9211
37.12	Rb	XIII	94.499	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	94.701	1500.0	0.4412	NIST	L9211
37.12	Rb	XIII	94.78	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	94.932	100.0	0.0294	NIST	L9211
37.12	Rb	XIII	94.953	160.0	0.0471	NIST	L9211
37.12	Rb	XIII	95.15	930.0	0.2735	NIST	L9211
37.12	Rb	XIII	95.397	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	95.422	160.0	0.0471	NIST	L9211
37.12	Rb	XIII	95.457	460.0	0.1353	NIST	L9211
37.12	Rb	XIII	95.624	190.0	0.0559	NIST	L9211
37.12	Rb	XIII	95.666	170.0	0.05	NIST	L9211
37.12	Rb	XIII	95.77	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	95.929	50.0	0.0147	NIST	L9211
37.12	Rb	XIII	95.962	90.0	0.0265	NIST	L9211
37.12	Rb	XIII	96.05	640.0	0.1882	NIST	L9211
37.12	Rb	XIII	96.256	60.0	0.0176	NIST	L9211
37.12	Rb	XIII	96.381	60.0	0.0176	NIST	L9211
37.12	Rb	XIII	96.465	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	96.719	540.0	0.1588	NIST	L9211
37.12	Rb	XIII	97.062	60.0	0.0176	NIST	L9211
37.12	Rb	XIII	97.324	210.0	0.0618	NIST	L9211
37.12	Rb	XIII	97.398	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	97.628	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	97.758	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	97.829	1200.0	0.3529	NIST	L9211
37.12	Rb	XIII	97.857	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	98.018	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	98.086	100.0	0.0294	NIST	L9211
37.12	Rb	XIII	98.165	70.0	0.0206	NIST	L9211
37.12	Rb	XIII	98.428	750.0	0.2206	NIST	L9211
37.12	Rb	XIII	98.76	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	98.99	800.0	0.2353	NIST	L9211
37.12	Rb	XIII	99.024	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	99.331	550.0	0.1618	NIST	L9211
37.12	Rb	XIII	99.379	550.0	0.1618	NIST	L9211
37.12	Rb	XIII	99.518	70.0	0.0206	NIST	L9211
37.12	Rb	XIII	99.788	10.0	0.0029	NIST	L9211
37.12	Rb	XIII	99.947	40.0	0.0118	NIST	L9211
37.12	Rb	XIII	100.17	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	100.248	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	100.282	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	100.474	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	100.586	170.0	0.05	NIST	L9211
37.12	Rb	XIII	100.761	240.0	0.0706	NIST	L9211
37.12	Rb	XIII	100.903	10.0	0.0029	NIST	L9211
37.12	Rb	XIII	101.059	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	101.202	80.0	0.0235	NIST	L9211
37.12	Rb	XIII	101.818	140.0	0.0412	NIST	L9211
37.12	Rb	XIII	102.036	110.0	0.0324	NIST	L9211
37.12	Rb	XIII	102.219	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	102.322	30.0	0.0088	NIST	L9211
37.12	Rb	XIII	102.467	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	102.724	260.0	0.0765	NIST	L9211
37.12	Rb	XIII	102.978	150.0	0.0441	NIST	L9211
37.12	Rb	XIII	103.679	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	103.746	250.0	0.0735	NIST	L9211
37.12	Rb	XIII	104.202	10.0	0.0029	NIST	L9211
37.12	Rb	XIII	104.259	90.0	0.0265	NIST	L9211
37.12	Rb	XIII	104.36	50.0	0.0147	NIST	L9211
37.12	Rb	XIII	104.808	130.0	0.0382	NIST	L9211
37.12	Rb	XIII	105.246	290.0	0.0853	NIST	L9211
37.12	Rb	XIII	106.592	20.0	0.0059	NIST	L9211
37.12	Rb	XIII	107.188	50.0	0.0147	NIST	L9211
