atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
75.02	Re	III	1017.8347	17.0	0.0083	NIST	L20378
75.02	Re	III	1035.2519	37.0	0.018	NIST	L20378
75.02	Re	III	1050.0931	46.0	0.0224	NIST	L20378
75.02	Re	III	1054.7863	31.0	0.0151	NIST	L20378
75.02	Re	III	1056.3401	50.0	0.0244	NIST	L20378
75.02	Re	III	1074.2634	24.0	0.0117	NIST	L20378
75.02	Re	III	1074.5618	193.0	0.0941	NIST	L20378
75.02	Re	III	1080.3914	13.0	0.0063	NIST	L20378
75.02	Re	III	1085.1984	127.0	0.062	NIST	L20378
75.02	Re	III	1090.5565	752.0	0.3668	NIST	L20378
75.02	Re	III	1093.9051	73.0	0.0356	NIST	L20378
75.02	Re	III	1095.5336	63.0	0.0307	NIST	L20378
75.02	Re	III	1097.9617	159.0	0.0776	NIST	L20378
75.02	Re	III	1099.6097	172.0	0.0839	NIST	L20378
75.02	Re	III	1102.444	33.0	0.0161	NIST	L20378
75.02	Re	III	1103.6979	30.0	0.0146	NIST	L20378
75.02	Re	III	1104.8689	184.0	0.0898	NIST	L20378
75.02	Re	III	1107.4198	37.0	0.018	NIST	L20378
75.02	Re	III	1110.2886	128.0	0.0624	NIST	L20378
75.02	Re	III	1111.4041	19.0	0.0093	NIST	L20378
75.02	Re	III	1111.8696	12.0	0.0059	NIST	L20378
75.02	Re	III	1112.3082	321.0	0.1566	NIST	L20378
75.02	Re	III	1114.0547	89.0	0.0434	NIST	L20378
75.02	Re	III	1115.116	133.0	0.0649	NIST	L20378
75.02	Re	III	1116.8112	31.0	0.0151	NIST	L20378
75.02	Re	III	1121.6913	108.0	0.0527	NIST	L20378
75.02	Re	III	1121.9697	27.0	0.0132	NIST	L20378
75.02	Re	III	1122.4149	35.0	0.0171	NIST	L20378
75.02	Re	III	1127.6747	16.0	0.0078	NIST	L20378
75.02	Re	III	1131.1896	49.0	0.0239	NIST	L20378
75.02	Re	III	1132.1926	27.0	0.0132	NIST	L20378
75.02	Re	III	1133.9334	133.0	0.0649	NIST	L20378
75.02	Re	III	1134.1455	76.0	0.0371	NIST	L20378
75.02	Re	III	1135.2552	39.0	0.019	NIST	L20378
