atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
45.00	Rh	I	2288.57	140.0	0.0149	NIST	L3475
45.00	Rh	I	2309.82	110.0	0.0117	NIST	L3475
45.00	Rh	I	2318.36	55.0	0.0059	NIST	L3475
45.00	Rh	I	2319.1	95.0	0.0101	NIST	L3475
45.00	Rh	I	2321.73	95.0	0.0101	NIST	L3475
45.00	Rh	I	2322.58	350.0	0.0372	NIST	L3475
45.00	Rh	I	2326.47	140.0	0.0149	NIST	L3475
45.00	Rh	I	2328.64	80.0	0.0085	NIST	L3475
45.00	Rh	I	2345.41	55.0	0.0059	NIST	L3475
45.00	Rh	I	2352.47	55.0	0.0059	NIST	L3475
45.00	Rh	I	2359.18	55.0	0.0059	NIST	L3475
45.00	Rh	I	2361.92	300.0	0.0319	NIST	L3475
45.00	Rh	I	2368.34	110.0	0.0117	NIST	L3475
45.00	Rh	I	2382.89	270.0	0.0287	NIST	L3475
45.00	Rh	I	2383.4	230.0	0.0245	NIST	L3475
45.00	Rh	I	2384.65	40.0	0.0043	NIST	L3475
45.00	Rh	I	2407.88	80.0	0.0085	NIST	L3475
45.00	Rh	I	2408.19	27.0	0.0029	NIST	L3475
45.00	Rh	I	2410.25	27.0	0.0029	NIST	L3475
45.00	Rh	I	2419.75	45.0	0.0048	NIST	L3475
45.00	Rh	I	2427.68	130.0	0.0138	NIST	L3475
45.00	Rh	I	2429.52	230.0	0.0245	NIST	L3475
45.00	Rh	I	2432.66	40.0	0.0043	NIST	L3475
45.00	Rh	I	2437.08	18.0	0.0019	NIST	L3475
45.00	Rh	I	2437.9	110.0	0.0117	NIST	L3475
45.00	Rh	I	2440.34	330.0	0.0351	NIST	L3475
45.00	Rh	I	2444.27	50.0	0.0053	NIST	L3475
45.00	Rh	I	2448.84	65.0	0.0069	NIST	L3475
45.00	Rh	I	2449.04	50.0	0.0053	NIST	L3475
45.00	Rh	I	2450.56	75.0	0.008	NIST	L3475
45.00	Rh	I	2463.61	30.0	0.0032	NIST	L3475
45.00	Rh	I	2470.39	75.0	0.008	NIST	L3475
45.00	Rh	I	2471.47	90.0	0.0096	NIST	L3475
45.00	Rh	I	2472.51	30.0	0.0032	NIST	L3475
45.00	Rh	I	2473.09	130.0	0.0138	NIST	L3475
45.00	Rh	I	2482.04	25.0	0.0027	NIST	L3475
45.00	Rh	I	2483.33	50.0	0.0053	NIST	L3475
45.00	Rh	I	2487.47	150.0	0.016	NIST	L3475
45.00	Rh	I	2492.3	30.0	0.0032	NIST	L3475
45.00	Rh	I	2499.02	15.0	0.0016	NIST	L3475
45.00	Rh	I	2502.46	130.0	0.0138	NIST	L3475
45.00	Rh	I	2505.67	150.0	0.016	NIST	L3475
45.00	Rh	I	2509.7	350.0	0.0372	NIST	L3475
45.00	Rh	I	2515.75	200.0	0.0213	NIST	L3475
45.00	Rh	I	2525.99	13.0	0.0014	NIST	L3475
45.00	Rh	I	2531.74	13.0	0.0014	NIST	L3475
45.00	Rh	I	2545.7	350.0	0.0372	NIST	L3475
45.00	Rh	I	2555.36	550.0	0.0585	NIST	L3475
45.00	Rh	I	2558.62	25.0	0.0027	NIST	L3475
45.00	Rh	I	2565.79	50.0	0.0053	NIST	L3475
45.00	Rh	I	2566.04	45.0	0.0048	NIST	L3475
45.00	Rh	I	2575.75	25.0	0.0027	NIST	L3475
45.00	Rh	I	2622.58	150.0	0.016	NIST	L3475
45.00	Rh	I	2625.88	230.0	0.0245	NIST	L3475
45.00	Rh	I	2630.42	100.0	0.0106	NIST	L3475
45.00	Rh	I	2634.99	40.0	0.0043	NIST	L3475
45.00	Rh	I	2643.0	75.0	0.008	NIST	L3475
45.00	Rh	I	2647.28	110.0	0.0117	NIST	L3475
45.00	Rh	I	2652.66	400.0	0.0426	NIST	L3475
45.00	Rh	I	2659.01	30.0	0.0032	NIST	L3475
45.00	Rh	I	2671.06	30.0	0.0032	NIST	L3475
45.00	Rh	I	2676.11	65.0	0.0069	NIST	L3475
45.00	Rh	I	2680.28	25.0	0.0027	NIST	L3475
45.00	Rh	I	2680.63	100.0	0.0106	NIST	L3475
45.00	Rh	I	2681.78	30.0	0.0032	NIST	L3475
45.00	Rh	I	2694.31	50.0	0.0053	NIST	L3475
45.00	Rh	I	2703.73	400.0	0.0426	NIST	L3475
45.00	Rh	I	2707.23	40.0	0.0043	NIST	L3475
45.00	Rh	I	2714.41	75.0	0.008	NIST	L3475
45.00	Rh	I	2717.51	75.0	0.008	NIST	L3475
45.00	Rh	I	2718.54	180.0	0.0191	NIST	L3475
45.00	Rh	I	2720.14	65.0	0.0069	NIST	L3475
45.00	Rh	I	2720.52	30.0	0.0032	NIST	L3475
45.00	Rh	I	2728.94	160.0	0.017	NIST	L3475
45.00	Rh	I	2736.76	40.0	0.0043	NIST	L3475
45.00	Rh	I	2741.75	75.0	0.008	NIST	L3475
45.00	Rh	I	2767.73	50.0	0.0053	NIST	L3475
45.00	Rh	I	2771.51	100.0	0.0106	NIST	L3475
45.00	Rh	I	2778.06	50.0	0.0053	NIST	L3475
45.00	Rh	I	2779.54	75.0	0.008	NIST	L3475
45.00	Rh	I	2783.03	130.0	0.0138	NIST	L3475
45.00	Rh	I	2791.16	25.0	0.0027	NIST	L3475
45.00	Rh	I	2796.63	75.0	0.008	NIST	L3475
45.00	Rh	I	2826.43	150.0	0.016	NIST	L3475
45.00	Rh	I	2826.68	180.0	0.0191	NIST	L3475
45.00	Rh	I	2827.31	30.0	0.0032	NIST	L3475
45.00	Rh	I	2834.12	75.0	0.008	NIST	L3475
45.00	Rh	I	2835.44	45.0	0.0048	NIST	L3475
45.00	Rh	I	2836.69	75.0	0.008	NIST	L3475
