atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
45.02	Rh	III	746.28	10.0	0.0033	NIST	L3977
45.02	Rh	III	759.54	30.0	0.01	NIST	L3977
45.02	Rh	III	813.44	50.0	0.0167	NIST	L3977
45.02	Rh	III	826.01	30.0	0.01	NIST	L3977
45.02	Rh	III	843.63	30.0	0.01	NIST	L3977
45.02	Rh	III	849.08	30.0	0.01	NIST	L3977
45.02	Rh	III	852.7	40.0	0.0133	NIST	L3977
45.02	Rh	III	854.77	40.0	0.0133	NIST	L3977
45.02	Rh	III	859.89	40.0	0.0133	NIST	L3977
45.02	Rh	III	861.34	40.0	0.0133	NIST	L3977
45.02	Rh	III	863.78	50.0	0.0167	NIST	L3977
45.02	Rh	III	865.22	50.0	0.0167	NIST	L3977
45.02	Rh	III	870.4	50.0	0.0167	NIST	L3977
45.02	Rh	III	882.51	80.0	0.0267	NIST	L3977
45.02	Rh	III	925.75	100.0	0.0333	NIST	L3977
45.02	Rh	III	937.28	150.0	0.05	NIST	L3977
45.02	Rh	III	976.12	100.0	0.0333	NIST	L3977
45.02	Rh	III	991.62	500.0	0.1667	NIST	L3977
45.02	Rh	III	992.48	400.0	0.1333	NIST	L3977
45.02	Rh	III	1009.6	500.0	0.1667	NIST	L3977
45.02	Rh	III	1012.22	200.0	0.0667	NIST	L3977
45.02	Rh	III	1015.17	200.0	0.0667	NIST	L3977
45.02	Rh	III	1050.0	100.0	0.0333	NIST	L3977
45.02	Rh	III	1058.97	100.0	0.0333	NIST	L3977
45.02	Rh	III	1073.87	200.0	0.0667	NIST	L3977
45.02	Rh	III	1100.58	100.0	0.0333	NIST	L3977
45.02	Rh	III	1113.79	100.0	0.0333	NIST	L3977
45.02	Rh	III	1768.43	100.0	0.0333	NIST	L3977
45.02	Rh	III	1784.24	150.0	0.05	NIST	L3977
45.02	Rh	III	1784.94	200.0	0.0667	NIST	L3977
45.02	Rh	III	1796.5	150.0	0.05	NIST	L3977
45.02	Rh	III	1816.03	200.0	0.0667	NIST	L3977
45.02	Rh	III	1832.05	1000.0	0.3333	NIST	L3977
45.02	Rh	III	1859.85	500.0	0.1667	NIST	L3977
45.02	Rh	III	1874.7	100.0	0.0333	NIST	L3977
45.02	Rh	III	1880.66	800.0	0.2667	NIST	L3977
45.02	Rh	III	1884.91	500.0	0.1667	NIST	L3977
45.02	Rh	III	1887.36	500.0	0.1667	NIST	L3977
45.02	Rh	III	1888.62	700.0	0.2333	NIST	L3977
45.02	Rh	III	1901.32	800.0	0.2667	NIST	L3977
45.02	Rh	III	1910.16	500.0	0.1667	NIST	L3977
45.02	Rh	III	1919.37	600.0	0.2	NIST	L3977
45.02	Rh	III	1927.07	500.0	0.1667	NIST	L3977
45.02	Rh	III	1931.79	700.0	0.2333	NIST	L3977
45.02	Rh	III	1954.25	500.0	0.1667	NIST	L3977
45.02	Rh	III	1965.16	400.0	0.1333	NIST	L3977
45.02	Rh	III	1994.26	500.0	0.1667	NIST	L3977
45.02	Rh	III	2005.14	400.0	0.1333	NIST	L3977
45.02	Rh	III	2013.71	800.0	0.2667	NIST	L3977
45.02	Rh	III	2017.47	500.0	0.1667	NIST	L3977
45.02	Rh	III	2028.53	500.0	0.1667	NIST	L3977
45.02	Rh	III	2036.72	800.0	0.2667	NIST	L3977
45.02	Rh	III	2037.61	600.0	0.2	NIST	L3977
45.02	Rh	III	2040.18	1000.0	0.3333	NIST	L3977
45.02	Rh	III	2048.67	3000.0	1.0	NIST	L3977
45.02	Rh	III	2064.11	2000.0	0.6667	NIST	L3977
45.02	Rh	III	2076.84	800.0	0.2667	NIST	L3977
45.02	Rh	III	2118.53	1000.0	0.3333	NIST	L3977
45.02	Rh	III	2118.63	1000.0	0.3333	NIST	L3977
45.02	Rh	III	2139.44	1000.0	0.3333	NIST	L3977
45.02	Rh	III	2152.23	1000.0	0.3333	NIST	L3977
45.02	Rh	III	2158.17	3000.0	1.0	NIST	L3977
45.02	Rh	III	2163.19	3000.0	1.0	NIST	L3977
45.02	Rh	III	2167.33	3000.0	1.0	NIST	L3977
45.02	Rh	III	2207.0	100.0	0.0333	NIST	L3977
45.02	Rh	III	2230.66	100.0	0.0333	NIST	L3977
45.02	Rh	III	2250.84	50.0	0.0167	NIST	L3977
45.02	Rh	III	2374.84	30.0	0.01	NIST	L3977
45.02	Rh	III	2470.65	20.0	0.0067	NIST	L3977
45.02	Rh	III	3006.43	50.0	0.0167	NIST	L3977
45.02	Rh	III	3052.44	50.0	0.0167	NIST	L3977
45.02	Rh	III	3310.69	50.0	0.0167	NIST	L3977
45.02	Rh	III	3852.98	1.0	0.0003	NIST	L3977
