atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
86.00	Rn	I	3514.6	5.0	0.0167	NIST	L7432
86.00	Rn	I	3739.89	10.0	0.0333	NIST	L7432
86.00	Rn	I	3753.65	20.0	0.0667	NIST	L7432
86.00	Rn	I	3917.2	10.0	0.0333	NIST	L7432
86.00	Rn	I	3941.72	10.0	0.0333	NIST	L7432
86.00	Rn	I	3952.36	10.0	0.0333	NIST	L7432
86.00	Rn	I	4226.06	10.0	0.0333	NIST	L7432
86.00	Rn	I	4307.76	80.0	0.2667	NIST	L7432
86.00	Rn	I	4335.78	7.0	0.0233	NIST	L7432
86.00	Rn	I	4349.6	100.0	0.3333	NIST	L7432
86.00	Rn	I	4435.05	40.0	0.1333	NIST	L7432
86.00	Rn	I	4459.25	50.0	0.1667	NIST	L7432
86.00	Rn	I	4508.48	50.0	0.1667	NIST	L7432
86.00	Rn	I	4577.72	50.0	0.1667	NIST	L7432
86.00	Rn	I	4609.38	50.0	0.1667	NIST	L7432
86.00	Rn	I	4721.76	30.0	0.1	NIST	L7432
86.00	Rn	I	5722.58	6.0	0.02	NIST	L7432
86.00	Rn	I	6061.92	10.0	0.0333	NIST	L7432
86.00	Rn	I	6200.75	6.0	0.02	NIST	L7432
86.00	Rn	I	6380.45	6.0	0.02	NIST	L7432
86.00	Rn	I	6557.49	10.0	0.0333	NIST	L7432
86.00	Rn	I	6606.43	10.0	0.0333	NIST	L7432
86.00	Rn	I	6627.23	15.0	0.05	NIST	L7432
86.00	Rn	I	6669.6	6.0	0.02	NIST	L7432
86.00	Rn	I	6704.28	8.0	0.0267	NIST	L7432
86.00	Rn	I	6751.81	20.0	0.0667	NIST	L7432
86.00	Rn	I	6806.79	6.0	0.02	NIST	L7432
86.00	Rn	I	6836.95	8.0	0.0267	NIST	L7432
86.00	Rn	I	6837.57	8.0	0.0267	NIST	L7432
86.00	Rn	I	6891.16	10.0	0.0333	NIST	L7432
86.00	Rn	I	6998.9	10.0	0.0333	NIST	L7432
86.00	Rn	I	7055.42	200.0	0.6667	NIST	L7432
86.00	Rn	I	7268.11	100.0	0.3333	NIST	L7432
86.00	Rn	I	7291.0	20.0	0.0667	NIST	L7432
86.00	Rn	I	7320.98	6.0	0.02	NIST	L7432
86.00	Rn	I	7419.04	10.0	0.0333	NIST	L7432
86.00	Rn	I	7450.0	300.0	1.0	NIST	L7432
86.00	Rn	I	7470.89	8.0	0.0267	NIST	L7432
86.00	Rn	I	7483.13	8.0	0.0267	NIST	L7432
86.00	Rn	I	7514.13	8.0	0.0267	NIST	L7432
86.00	Rn	I	7516.92	8.0	0.0267	NIST	L7432
86.00	Rn	I	7523.93	6.0	0.02	NIST	L7432
86.00	Rn	I	7597.55	6.0	0.02	NIST	L7432
86.00	Rn	I	7601.28	8.0	0.0267	NIST	L7432
86.00	Rn	I	7657.48	10.0	0.0333	NIST	L7432
86.00	Rn	I	7738.43	10.0	0.0333	NIST	L7432
86.00	Rn	I	7746.64	20.0	0.0667	NIST	L7432
86.00	Rn	I	7809.82	100.0	0.3333	NIST	L7432
86.00	Rn	I	8049.0	20.0	0.0667	NIST	L7432
86.00	Rn	I	8099.51	100.0	0.3333	NIST	L7432
86.00	Rn	I	8173.84	6.0	0.02	NIST	L7432
86.00	Rn	I	8270.96	100.0	0.3333	NIST	L7432
86.00	Rn	I	8314.51	8.0	0.0267	NIST	L7432
86.00	Rn	I	8349.74	6.0	0.02	NIST	L7432
86.00	Rn	I	8381.05	10.0	0.0333	NIST	L7432
86.00	Rn	I	8487.48	10.0	0.0333	NIST	L7432
86.00	Rn	I	8494.89	10.0	0.0333	NIST	L7432
86.00	Rn	I	8520.95	20.0	0.0667	NIST	L7432
86.00	Rn	I	8600.07	100.0	0.3333	NIST	L7432
86.00	Rn	I	8639.76	10.0	0.0333	NIST	L7432
86.00	Rn	I	8675.83	15.0	0.05	NIST	L7432
86.00	Rn	I	8807.75	10.0	0.0333	NIST	L7432
86.00	Rn	I	9327.02	50.0	0.1667	NIST	L7432
86.00	Rn	I	9948.57	6.0	0.02	NIST	L7432
86.00	Rn	I	10106.13	5.0	0.0167	NIST	L7432
