atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
44.01	Ru	II	1875.5571	7.0	0.009	NIST	L9882
44.01	Ru	II	1888.0428	9.0	0.0115	NIST	L9882
44.01	Ru	II	1903.2208	12.0	0.0154	NIST	L9882
44.01	Ru	II	1916.8152	12.0	0.0154	NIST	L9882
44.01	Ru	II	1939.0428	6.0	0.0077	NIST	L9882
44.01	Ru	II	1939.5049	6.0	0.0077	NIST	L9882
44.01	Ru	II	2334.9699	120.0	0.1538	NIST	L9882
44.01	Ru	II	2342.849	190.0	0.2436	NIST	L9882
44.01	Ru	II	2357.9162	170.0	0.2179	NIST	L9882
44.01	Ru	II	2375.6345	80.0	0.1026	NIST	L9882
44.01	Ru	II	2396.7106	95.0	0.1218	NIST	L9882
44.01	Ru	II	2402.7195	780.0	1.0	NIST	L9882
44.01	Ru	II	2407.9222	150.0	0.1923	NIST	L9882
44.01	Ru	II	2414.8261	55.0	0.0705	NIST	L9882
44.01	Ru	II	2455.5314	180.0	0.2308	NIST	L9882
44.01	Ru	II	2456.4386	150.0	0.1923	NIST	L9882
44.01	Ru	II	2456.569	370.0	0.4744	NIST	L9882
44.01	Ru	II	2478.9239	280.0	0.359	NIST	L9882
44.01	Ru	II	2481.1133	28.0	0.0359	NIST	L9882
44.01	Ru	II	2493.6936	65.0	0.0833	NIST	L9882
44.01	Ru	II	2494.4789	45.0	0.0577	NIST	L9882
44.01	Ru	II	2495.6825	85.0	0.109	NIST	L9882
44.01	Ru	II	2498.415	140.0	0.1795	NIST	L9882
44.01	Ru	II	2498.5709	140.0	0.1795	NIST	L9882
44.01	Ru	II	2507.0124	260.0	0.3333	NIST	L9882
44.01	Ru	II	2513.3218	110.0	0.141	NIST	L9882
44.01	Ru	II	2517.3174	110.0	0.141	NIST	L9882
44.01	Ru	II	2535.5896	150.0	0.1923	NIST	L9882
44.01	Ru	II	2543.2494	65.0	0.0833	NIST	L9882
44.01	Ru	II	2656.2445	28.0	0.0359	NIST	L9882
44.01	Ru	II	2661.1705	23.0	0.0295	NIST	L9882
44.01	Ru	II	2661.6092	330.0	0.4231	NIST	L9882
44.01	Ru	II	2667.389	30.0	0.0385	NIST	L9882
44.01	Ru	II	2678.7551	690.0	0.8846	NIST	L9882
44.01	Ru	II	2687.4942	28.0	0.0359	NIST	L9882
44.01	Ru	II	2692.1136	330.0	0.4231	NIST	L9882
44.01	Ru	II	2712.4049	200.0	0.2564	NIST	L9882
44.01	Ru	II	2725.4617	140.0	0.1795	NIST	L9882
44.01	Ru	II	2734.3467	310.0	0.3974	NIST	L9882
44.01	Ru	II	2747.9704	35.0	0.0449	NIST	L9882
44.01	Ru	II	2752.4455	75.0	0.0962	NIST	L9882
44.01	Ru	II	2752.7612	75.0	0.0962	NIST	L9882
44.01	Ru	II	2765.435	35.0	0.0449	NIST	L9882
44.01	Ru	II	2768.9208	90.0	0.1154	NIST	L9882
44.01	Ru	II	2778.3889	100.0	0.1282	NIST	L9882
44.01	Ru	II	2787.8201	110.0	0.141	NIST	L9882
44.01	Ru	II	2806.7372	35.0	0.0449	NIST	L9882
44.01	Ru	II	2841.6718	35.0	0.0449	NIST	L9882
44.01	Ru	II	2882.1096	55.0	0.0705	NIST	L9882
44.01	Ru	II	2927.5341	35.0	0.0449	NIST	L9882
44.01	Ru	II	2945.6593	180.0	0.2308	NIST	L9882
44.01	Ru	II	2963.4022	18.0	0.0231	NIST	L9882
44.01	Ru	II	2965.5573	170.0	0.2179	NIST	L9882
44.01	Ru	II	2976.584	140.0	0.1795	NIST	L9882
44.01	Ru	II	2977.2248	45.0	0.0577	NIST	L9882
44.01	Ru	II	2979.9449	75.0	0.0962	NIST	L9882
44.01	Ru	II	2991.6153	35.0	0.0449	NIST	L9882
44.01	Ru	II	3177.0491	60.0	0.0769	NIST	L9882
