atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.00	S	I	929.51	10.0	0.0002	NIST	L6772
16.00	S	I	930.12	10.0	0.0002	NIST	L6772
16.00	S	I	931.09	20.0	0.0004	NIST	L6772
16.00	S	I	932.08	20.0	0.0004	NIST	L6772
16.00	S	I	933.53	20.0	0.0004	NIST	L6772
16.00	S	I	935.19	25.0	0.0005	NIST	L6772
16.00	S	I	937.96	30.0	0.0006	NIST	L6772
16.00	S	I	941.21	30.0	0.0006	NIST	L6772
16.00	S	I	944.85	25.0	0.0005	NIST	L6772
16.00	S	I	946.45	30.0	0.0006	NIST	L6772
16.00	S	I	952.48	30.0	0.0006	NIST	L6772
16.00	S	I	954.74	40.0	0.0008	NIST	L6772
16.00	S	I	958.32	30.0	0.0006	NIST	L6772
16.00	S	I	965.32	40.0	0.0008	NIST	L6772
16.00	S	I	969.13	40.0	0.0008	NIST	L6772
16.00	S	I	990.05	40.0	0.0008	NIST	L6772
16.00	S	I	993.93	30.0	0.0006	NIST	L6772
16.00	S	I	996.98	40.0	0.0008	NIST	L6772
16.00	S	I	1000.4	20.0	0.0004	NIST	L6772
16.00	S	I	1018.8	10.0	0.0002	NIST	L6772
16.00	S	I	1019.09	15.0	0.0003	NIST	L6772
16.00	S	I	1019.44	15.0	0.0003	NIST	L6772
16.00	S	I	1019.87	20.0	0.0004	NIST	L6772
16.00	S	I	1020.41	20.0	0.0004	NIST	L6772
16.00	S	I	1021.03	30.0	0.0006	NIST	L6772
16.00	S	I	1021.76	30.0	0.0006	NIST	L6772
16.00	S	I	1022.73	40.0	0.0008	NIST	L6772
16.00	S	I	1023.91	50.0	0.001	NIST	L6772
16.00	S	I	1025.08	45.0	0.0009	NIST	L6772
16.00	S	I	1025.45	40.0	0.0008	NIST	L6159
16.00	S	I	1025.95	50.0	0.001	NIST	L6159
16.00	S	I	1027.46	25.0	0.0005	NIST	L6772
16.00	S	I	1029.98	35.0	0.0007	NIST	L6772
16.00	S	I	1030.18	50.0	0.001	NIST	L6159
16.00	S	I	1033.95	50.0	0.001	NIST	L6772
16.00	S	I	1034.1	20.0	0.0004	NIST	L6772
16.00	S	I	1034.38	30.0	0.0006	NIST	L6772
16.00	S	I	1034.67	40.0	0.0008	NIST	L6772
16.00	S	I	1037.22	35.0	0.0007	NIST	L6772
16.00	S	I	1038.29	30.0	0.0006	NIST	L6772
16.00	S	I	1038.59	25.0	0.0005	NIST	L6772
16.00	S	I	1038.92	40.0	0.0008	NIST	L6772
16.00	S	I	1039.46	50.0	0.001	NIST	L6772
16.00	S	I	1040.11	40.0	0.0008	NIST	L6772
16.00	S	I	1040.59	50.0	0.001	NIST	L6772
16.00	S	I	1043.75	35.0	0.0007	NIST	L6772
16.00	S	I	1044.88	45.0	0.0009	NIST	L6772
16.00	S	I	1045.75	35.0	0.0007	NIST	L6772
16.00	S	I	1048.83	40.0	0.0008	NIST	L6159
16.00	S	I	1055.03	40.0	0.0008	NIST	L6772
16.00	S	I	1059.15	4.0	0.0001	NIST	L6772
16.00	S	I	1059.53	6.0	0.0001	NIST	L6772
16.00	S	I	1063.33	45.0	0.0009	NIST	L6772
16.00	S	I	1063.6	55.0	0.0011	NIST	L6772
16.00	S	I	1064.01	35.0	0.0007	NIST	L6772
16.00	S	I	1065.6	20.0	0.0004	NIST	L6159
16.00	S	I	1065.82	40.0	0.0008	NIST	L6772
16.00	S	I	1068.08	20.0	0.0004	NIST	L6772
16.00	S	I	1070.33	40.0	0.0008	NIST	L6772
16.00	S	I	1092.67	70.0	0.0014	NIST	L6772
16.00	S	I	1093.05	60.0	0.0012	NIST	L6772
16.00	S	I	1094.32	80.0	0.0016	NIST	L6772
16.00	S	I	1095.58	20.0	0.0004	NIST	L6772
16.00	S	I	1097.4	45.0	0.0009	NIST	L6772
16.00	S	I	1097.81	45.0	0.0009	NIST	L6772
16.00	S	I	1098.02	30.0	0.0006	NIST	L6772
16.00	S	I	1099.14	20.0	0.0004	NIST	L6772
16.00	S	I	1099.96	40.0	0.0008	NIST	L6772
16.00	S	I	1101.26	20.0	0.0004	NIST	L6772
16.00	S	I	1156.0	85.0	0.0017	NIST	L6772
