atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.02	S	III	475.286	7.0	0.028	NIST	L11011
16.02	S	III	476.351	4.0	0.016	NIST	L11011
16.02	S	III	476.495	7.0	0.028	NIST	L11011
16.02	S	III	477.035	4.0	0.016	NIST	L11011
16.02	S	III	477.386	5.0	0.02	NIST	L11011
16.02	S	III	478.257	5.0	0.02	NIST	L11011
16.02	S	III	480.533	5.0	0.02	NIST	L11011
16.02	S	III	480.968	6.0	0.024	NIST	L11011
16.02	S	III	481.234	4.0	0.016	NIST	L11011
16.02	S	III	481.712	1.0	0.004	NIST	L11011
16.02	S	III	482.463	6.0	0.024	NIST	L11011
16.02	S	III	482.953	8.0	0.032	NIST	L11011
16.02	S	III	484.172	6.0	0.024	NIST	L11011
16.02	S	III	484.564	7.0	0.028	NIST	L11011
16.02	S	III	484.874	5.0	0.02	NIST	L11011
16.02	S	III	485.255	7.0	0.028	NIST	L11011
16.02	S	III	485.818	5.0	0.02	NIST	L11011
16.02	S	III	486.14	1.0	0.004	NIST	L11011
16.02	S	III	489.627	6.0	0.024	NIST	L11011
16.02	S	III	490.803	2.0	0.008	NIST	L11011
16.02	S	III	494.511	7.0	0.028	NIST	L11011
16.02	S	III	499.988	7.0	0.028	NIST	L11011
16.02	S	III	500.444	10.0	0.04	NIST	L11011
16.02	S	III	503.516	7.0	0.028	NIST	L11011
16.02	S	III	515.931	8.0	0.032	NIST	L11011
16.02	S	III	536.547	5.0	0.02	NIST	L11011
16.02	S	III	542.984	7.0	0.028	NIST	L11011
16.02	S	III	547.147	3.0	0.012	NIST	L11011
16.02	S	III	654.34	1.0	0.004	NIST	L7404
16.02	S	III	677.734	20.0	0.08	NIST	u23
16.02	S	III	678.458	30.0	0.12	NIST	u23
16.02	S	III	679.115	10.0	0.04	NIST	u23
16.02	S	III	680.681	20.0	0.08	NIST	u23
16.02	S	III	680.929	8.0	0.032	NIST	u23
16.02	S	III	680.961	12.0	0.048	NIST	L11011
16.02	S	III	681.47	4.0	0.016	NIST	L11011
16.02	S	III	682.879	4.0	0.016	NIST	L11011
16.02	S	III	683.067	4.0	0.016	NIST	L11011
16.02	S	III	683.459	5.0	0.02	NIST	L11011
16.02	S	III	683.586	15.0	0.06	NIST	L11011
16.02	S	III	685.38	8.0	0.032	NIST	L11011
16.02	S	III	698.731	11.0	0.044	NIST	L11011
16.02	S	III	700.151	15.0	0.06	NIST	u23
16.02	S	III	700.187	5.0	0.02	NIST	u23
16.02	S	III	700.28	20.0	0.08	NIST	u23
16.02	S	III	702.778	35.0	0.14	NIST	u23
16.02	S	III	710.951	30.0	0.12	NIST	u23
16.02	S	III	724.289	10.0	0.04	NIST	u23
16.02	S	III	725.858	25.0	0.1	NIST	u23
16.02	S	III	728.685	35.0	0.14	NIST	u23
16.02	S	III	729.519	12.0	0.048	NIST	L11011
16.02	S	III	730.04	9.0	0.036	NIST	L11011
16.02	S	III	730.758	10.0	0.04	NIST	L11011
16.02	S	III	732.368	10.0	0.04	NIST	L11011
16.02	S	III	733.021	2.0	0.008	NIST	L11011
16.02	S	III	733.328	9.0	0.036	NIST	u22
16.02	S	III	734.061	3.0	0.012	NIST	L11011
16.02	S	III	735.238	11.0	0.044	NIST	L11011
16.02	S	III	736.25	5.0	0.02	NIST	L11011
16.02	S	III	738.471	9.0	0.036	NIST	L11011
16.02	S	III	788.989	10.0	0.04	NIST	L11011
16.02	S	III	796.675	11.0	0.044	NIST	L11011
16.02	S	III	820.88	3.0	0.012	NIST	L11011
16.02	S	III	822.567	4.0	0.016	NIST	L11011
16.02	S	III	824.828	6.0	0.024	NIST	L11011
16.02	S	III	836.293	9.0	0.036	NIST	L11011
16.02	S	III	900.28	1.0	0.004	NIST	L7404
16.02	S	III	901.677	1.0	0.004	NIST	L11011
16.02	S	III	902.571	4.0	0.016	NIST	u22
16.02	S	III	911.734	5.0	0.02	NIST	L11011
16.02	S	III	1012.504	50.0	0.2	NIST	u23
16.02	S	III	1015.487	25.0	0.1	NIST	L11011
16.02	S	III	1015.573	12.0	0.048	NIST	u23
16.02	S	III	1015.783	25.0	0.1	NIST	u23
16.02	S	III	1021.112	150.0	0.6	NIST	u23
16.02	S	III	1021.328	150.0	0.6	NIST	u23
16.02	S	III	1077.145	150.0	0.6	NIST	L11011
16.02	S	III	1121.76	4.0	0.016	NIST	L11011
16.02	S	III	1122.413	7.0	0.028	NIST	L11011
16.02	S	III	1126.536	5.0	0.02	NIST	L11011
16.02	S	III	1126.879	7.0	0.028	NIST	L11011
