atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
16.06	S	VII	47.098	50.0	0.05	NIST	L3463
16.06	S	VII	47.307	50.0	0.05	NIST	L3463
16.06	S	VII	48.647	150.0	0.15	NIST	L3463
16.06	S	VII	48.874	100.0	0.1	NIST	L3463
16.06	S	VII	50.027	70.0	0.07	NIST	L3463
16.06	S	VII	51.807	350.0	0.35	NIST	L3463
16.06	S	VII	52.097	200.0	0.2	NIST	L3463
16.06	S	VII	52.334	100.0	0.1	NIST	L7069
16.06	S	VII	54.652	100.0	0.1	NIST	L3463
16.06	S	VII	54.938	100.0	0.1	NIST	L3463
16.06	S	VII	60.161	1000.0	1.0	NIST	L3463
16.06	S	VII	60.804	750.0	0.75	NIST	L3463
16.06	S	VII	61.547	200.0	0.2	NIST	L3463
16.06	S	VII	72.029	1000.0	1.0	NIST	L3463
16.06	S	VII	72.663	1000.0	1.0	NIST	L3463
16.06	S	VII	330.145	200.0	0.2	NIST	L6141
16.06	S	VII	330.304	200.0	0.2	NIST	L6141
16.06	S	VII	331.645	400.0	0.4	NIST	L6141
16.06	S	VII	333.737	10.0	0.01	NIST	L6141
16.06	S	VII	335.113	800.0	0.8	NIST	L6141
16.06	S	VII	335.905	100.0	0.1	NIST	L6141
16.06	S	VII	337.214	600.0	0.6	NIST	L6141
16.06	S	VII	339.7	800.0	0.8	NIST	L6141
16.06	S	VII	341.09	600.0	0.6	NIST	L6141
16.06	S	VII	342.026	500.0	0.5	NIST	L6141
16.06	S	VII	342.698	600.0	0.6	NIST	L6141
16.06	S	VII	344.037	5.0	0.005	NIST	L6141
16.06	S	VII	350.873	10.0	0.01	NIST	L6141
16.06	S	VII	351.611	100.0	0.1	NIST	L6141
16.06	S	VII	352.31	5.0	0.005	NIST	L6141
16.06	S	VII	354.335	5.0	0.005	NIST	L6141
16.06	S	VII	361.149	100.0	0.1	NIST	L6141
16.06	S	VII	374.73	10.0	0.01	NIST	L6141
16.06	S	VII	376.6	10.0	0.01	NIST	L6141
16.06	S	VII	594.08	50.0	0.05	NIST	L7204
16.06	S	VII	595.58	10.0	0.01	NIST	L7204
16.06	S	VII	597.7	25.0	0.025	NIST	L7204
16.06	S	VII	600.8	10.0	0.01	NIST	L7204
16.06	S	VII	601.16	50.0	0.05	NIST	L5875
16.06	S	VII	608.39	100.0	0.1	NIST	L5875
16.06	S	VII	617.62	20.0	0.02	NIST	L5875
16.06	S	VII	623.49	170.0	0.17	NIST	L5875
16.06	S	VII	633.35	80.0	0.08	NIST	L5875
16.06	S	VII	638.0	20.0	0.02	NIST	L5875
16.06	S	VII	638.66	40.0	0.04	NIST	L5875
16.06	S	VII	646.21	20.0	0.02	NIST	L5875
16.06	S	VII	649.0	230.0	0.23	NIST	L5875
16.06	S	VII	662.65	250.0	0.25	NIST	L5875
16.06	S	VII	671.93	300.0	0.3	NIST	L5875
16.06	S	VII	677.69	400.0	0.4	NIST	L5875
16.06	S	VII	678.8	300.0	0.3	NIST	L5875
16.06	S	VII	680.65	650.0	0.65	NIST	L5875
16.06	S	VII	680.95	620.0	0.62	NIST	L5875
16.06	S	VII	683.59	160.0	0.16	NIST	L5875
16.06	S	VII	685.07	100.0	0.1	NIST	L5875
16.06	S	VII	686.85	200.0	0.2	NIST	L5875
16.06	S	VII	687.67	350.0	0.35	NIST	L5875
16.06	S	VII	693.98	10.0	0.01	NIST	L5875
16.06	S	VII	742.04	200.0	0.2	NIST	L5875
16.06	S	VII	785.64	50.0	0.05	NIST	L5875
16.06	S	VII	816.81	100.0	0.1	NIST	L5875
16.06	S	VII	828.43	150.0	0.15	NIST	L5875
16.06	S	VII	844.05	120.0	0.12	NIST	L5875
16.06	S	VII	859.93	60.0	0.06	NIST	L5875
16.06	S	VII	887.74	200.0	0.2	NIST	L5875
16.06	S	VII	893.24	80.0	0.08	NIST	L5875
16.06	S	VII	894.35	70.0	0.07	NIST	L5875
16.06	S	VII	897.82	270.0	0.27	NIST	L5875
16.06	S	VII	903.13	280.0	0.28	NIST	L5875
16.06	S	VII	913.35	10.0	0.01	NIST	L5875
16.06	S	VII	924.06	340.0	0.34	NIST	L5875
16.06	S	VII	930.2	10.0	0.01	NIST	L5875
16.06	S	VII	960.05	50.0	0.05	NIST	L5875
16.06	S	VII	1051.57	80.0	0.08	NIST	L5875
