atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
51.01	Sb	II	764.381	1.0	0.01	NIST	L16370
51.01	Sb	II	814.793	1.0	0.01	NIST	L16370
51.01	Sb	II	849.39	1.0	0.01	NIST	L3304
51.01	Sb	II	854.625	2.0	0.02	NIST	L16370
51.01	Sb	II	876.796	4.0	0.04	NIST	L16325
51.01	Sb	II	921.049	4.0	0.04	NIST	L16325
51.01	Sb	II	983.592	6.0	0.06	NIST	L16325
51.01	Sb	II	1001.144	6.0	0.06	NIST	L16370
51.01	Sb	II	1009.442	6.0	0.06	NIST	L16325
51.01	Sb	II	1052.236	6.0	0.06	NIST	L16325
51.01	Sb	II	1056.228	8.0	0.08	NIST	L16325
51.01	Sb	II	1057.276	8.0	0.08	NIST	L16325
51.01	Sb	II	1073.828	6.0	0.06	NIST	L16370
51.01	Sb	II	1230.236	6.0	0.06	NIST	L16325
51.01	Sb	II	1274.67	8.0	0.08	NIST	L16325
51.01	Sb	II	1274.938	8.0	0.08	NIST	L16325
51.01	Sb	II	1327.378	8.0	0.08	NIST	L16325
51.01	Sb	II	1358.009	6.0	0.06	NIST	L16325
51.01	Sb	II	1384.656	8.0	0.08	NIST	L16325
51.01	Sb	II	1407.784	6.0	0.06	NIST	L16325
51.01	Sb	II	1436.447	8.0	0.08	NIST	L16325
51.01	Sb	II	1565.501	6.0	0.06	NIST	L16325
51.01	Sb	II	1576.099	8.0	0.08	NIST	L16325
51.01	Sb	II	1581.353	7.0	0.07	NIST	L16325
51.01	Sb	II	1606.952	10.0	0.1	NIST	L16325
51.01	Sb	II	1657.036	20.0	0.2	NIST	L3304
51.01	Sb	II	1736.469	8.0	0.08	NIST	L16370
51.01	Sb	II	1990.17	1.0	0.01	NIST	L16370
51.01	Sb	II	1990.34	6.0	0.06	NIST	L16370
51.01	Sb	II	2141.8	10.0	0.1	NIST	L3304
51.01	Sb	II	2225.15	6.0	0.06	NIST	L3304
51.01	Sb	II	2480.46	8.0	0.08	NIST	L3304
51.01	Sb	II	2528.535	15.0	0.15	NIST	L3304
51.01	Sb	II	2567.754	10.0	0.1	NIST	L3304
51.01	Sb	II	2656.55	12.0	0.12	NIST	L3304
51.01	Sb	II	2966.1	12.0	0.12	NIST	L3304
51.01	Sb	II	2980.962	15.0	0.15	NIST	L3304
51.01	Sb	II	3034.01	12.0	0.12	NIST	L3304
51.01	Sb	II	3040.669	12.0	0.12	NIST	L3304
51.01	Sb	II	3241.28	20.0	0.2	NIST	L3304
51.01	Sb	II	3498.46	15.0	0.15	NIST	L3304
51.01	Sb	II	3520.474	12.0	0.12	NIST	L3304
51.01	Sb	II	3850.22	20.0	0.2	NIST	L3304
51.01	Sb	II	4133.63	20.0	0.2	NIST	L3304
51.01	Sb	II	4140.54	15.0	0.15	NIST	L3304
51.01	Sb	II	4195.17	15.0	0.15	NIST	L3304
51.01	Sb	II	4219.07	20.0	0.2	NIST	L3304
51.01	Sb	II	4314.32	20.0	0.2	NIST	L3304
51.01	Sb	II	4344.83	12.0	0.12	NIST	L3304
51.01	Sb	II	4411.42	12.0	0.12	NIST	L3304
51.01	Sb	II	4446.48	12.0	0.12	NIST	L3304
51.01	Sb	II	4506.92	12.0	0.12	NIST	L3304
51.01	Sb	II	4514.5	15.0	0.15	NIST	L3304
51.01	Sb	II	4596.9	30.0	0.3	NIST	L3304
51.01	Sb	II	4599.09	20.0	0.2	NIST	L3304
51.01	Sb	II	4604.77	15.0	0.15	NIST	L3304
51.01	Sb	II	4647.316	30.0	0.3	NIST	L3304
51.01	Sb	II	4675.745	20.0	0.2	NIST	L3304
51.01	Sb	II	4711.26	40.0	0.4	NIST	L3304
51.01	Sb	II	4735.44	12.0	0.12	NIST	L3304
51.01	Sb	II	4757.81	20.0	0.2	NIST	L3304
51.01	Sb	II	4765.36	20.0	0.2	NIST	L3304
51.01	Sb	II	4766.91	12.0	0.12	NIST	L3304
51.01	Sb	II	4784.03	30.0	0.3	NIST	L3304
51.01	Sb	II	4802.01	20.0	0.2	NIST	L3304
51.01	Sb	II	4832.82	20.0	0.2	NIST	L3304
51.01	Sb	II	4877.24	20.0	0.2	NIST	L3304
51.01	Sb	II	4947.4	15.0	0.15	NIST	L3304
51.01	Sb	II	5044.56	15.0	0.15	NIST	L3304
51.01	Sb	II	5166.32	12.0	0.12	NIST	L3304
51.01	Sb	II	5176.55	15.0	0.15	NIST	L3304
51.01	Sb	II	5238.94	20.0	0.2	NIST	L3304
51.01	Sb	II	5354.24	20.0	0.2	NIST	L3304
51.01	Sb	II	5464.08	15.0	0.15	NIST	L3304
51.01	Sb	II	5568.13	15.0	0.15	NIST	L3304
51.01	Sb	II	5639.75	30.0	0.3	NIST	L3304
51.01	Sb	II	5895.09	15.0	0.15	NIST	L3304
51.01	Sb	II	6005.21	100.0	1.0	NIST	L3304
51.01	Sb	II	6053.411	20.0	0.2	NIST	L3304
51.01	Sb	II	6079.797	30.0	0.3	NIST	L3304
51.01	Sb	II	6130.04	50.0	0.5	NIST	L3304
51.01	Sb	II	6130.043	50.0	0.5	NIST	L3304
51.01	Sb	II	6154.945	20.0	0.2	NIST	L3304
51.01	Sb	II	6302.764	12.0	0.12	NIST	L3304
51.01	Sb	II	6647.44	30.0	0.3	NIST	L3304
51.01	Sb	II	6688.01	15.0	0.15	NIST	L3304
51.01	Sb	II	6806.67	6.0	0.06	NIST	L3304
