atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.08	Sc	IX	93.889	1.0	0.0833	NIST	L1111
21.08	Sc	IX	102.653	1.0	0.0833	NIST	L1111
21.08	Sc	IX	110.718	1.0	0.0833	NIST	L1111
21.08	Sc	IX	119.444	4.0	0.3333	NIST	L1111
21.08	Sc	IX	120.236	5.0	0.4167	NIST	L1111
21.08	Sc	IX	143.324	2.0	0.1667	NIST	L1111
21.08	Sc	IX	143.393	2.0	0.1667	NIST	L1111
21.08	Sc	IX	146.628	3.0	0.25	NIST	L1111
21.08	Sc	IX	146.954	4.0	0.3333	NIST	L1111
21.08	Sc	IX	147.31	3.0	0.25	NIST	L1111
21.08	Sc	IX	147.834	2.0	0.1667	NIST	L1111
21.08	Sc	IX	148.103	2.0	0.1667	NIST	L1111
21.08	Sc	IX	151.401	4.0	0.3333	NIST	L1111
21.08	Sc	IX	173.771	3.0	0.25	NIST	L1111
21.08	Sc	IX	173.858	4.0	0.3333	NIST	L1111
21.08	Sc	IX	318.615	8.0	0.6667	NIST	L1111
21.08	Sc	IX	324.199	12.0	1.0	NIST	L1111
21.08	Sc	IX	324.57	1.0	0.0833	NIST	L1111
21.08	Sc	IX	385.867	6.0	0.5	NIST	L3633
21.08	Sc	IX	390.888	8.0	0.6667	NIST	L3633
21.08	Sc	IX	394.647	8.0	0.6667	NIST	L3633
21.08	Sc	IX	399.888	6.0	0.5	NIST	L3633
21.08	Sc	IX	416.041	4.0	0.3333	NIST	L3633
21.08	Sc	IX	426.256	4.0	0.3333	NIST	L3633
21.08	Sc	IX	521.894	8.0	0.6667	NIST	L3633
21.08	Sc	IX	536.982	10.0	0.8333	NIST	L3633
21.08	Sc	IX	538.075	1.0	0.0833	NIST	L3633
