atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.04	Sc	V	174.437	4.0	0.2667	NIST	L6469
21.04	Sc	V	175.771	3.0	0.2	NIST	L6469
21.04	Sc	V	179.308	2.0	0.1333	NIST	L6469
21.04	Sc	V	180.036	5.0	0.3333	NIST	L6469
21.04	Sc	V	180.718	2.0	0.1333	NIST	L6469
21.04	Sc	V	180.862	3.0	0.2	NIST	L6469
21.04	Sc	V	181.447	1.0	0.0667	NIST	L6469
21.04	Sc	V	185.162	3.0	0.2	NIST	L6469
21.04	Sc	V	185.99	1.0	0.0667	NIST	L6469
21.04	Sc	V	186.37	1.0	0.0667	NIST	L6469
21.04	Sc	V	186.596	2.0	0.1333	NIST	L6469
21.04	Sc	V	188.11	1.0	0.0667	NIST	L6469
21.04	Sc	V	191.038	3.0	0.2	NIST	L6469
21.04	Sc	V	191.603	8.0	0.5333	NIST	L6469
21.04	Sc	V	228.577	5.0	0.3333	NIST	L6469
21.04	Sc	V	230.854	4.0	0.2667	NIST	L6469
21.04	Sc	V	243.834	1.0	0.0667	NIST	L6469
21.04	Sc	V	243.874	7.0	0.4667	NIST	L6469
21.04	Sc	V	246.431	6.0	0.4	NIST	L6469
21.04	Sc	V	250.984	6.0	0.4	NIST	L6469
21.04	Sc	V	252.852	8.0	0.5333	NIST	L6469
21.04	Sc	V	253.745	6.0	0.4	NIST	L6469
21.04	Sc	V	255.65	4.0	0.2667	NIST	L6469
21.04	Sc	V	257.164	4.0	0.2667	NIST	L6469
21.04	Sc	V	258.815	3.0	0.2	NIST	L6469
21.04	Sc	V	259.05	1.0	0.0667	NIST	L6469
21.04	Sc	V	260.055	1.0	0.0667	NIST	L6469
21.04	Sc	V	280.992	7.0	0.4667	NIST	L6469
21.04	Sc	V	283.913	12.0	0.8	NIST	L6469
21.04	Sc	V	284.45	9.0	0.6	NIST	L6469
21.04	Sc	V	288.285	7.0	0.4667	NIST	L6469
21.04	Sc	V	289.593	9.0	0.6	NIST	L6469
21.04	Sc	V	291.928	8.0	0.5333	NIST	L6469
21.04	Sc	V	293.26	7.0	0.4667	NIST	L6469
21.04	Sc	V	296.164	7.0	0.4667	NIST	L6469
21.04	Sc	V	300.008	7.0	0.4667	NIST	L6469
21.04	Sc	V	319.806	4.0	0.2667	NIST	L6469
21.04	Sc	V	320.645	5.0	0.3333	NIST	L6469
21.04	Sc	V	325.159	5.0	0.3333	NIST	L6469
21.04	Sc	V	342.047	5.0	0.3333	NIST	L6469
21.04	Sc	V	344.46	5.0	0.3333	NIST	L6469
21.04	Sc	V	345.973	4.0	0.2667	NIST	L6469
21.04	Sc	V	368.07	4.0	0.2667	NIST	L6469
21.04	Sc	V	370.023	3.0	0.2	NIST	L6469
21.04	Sc	V	373.442	2.0	0.1333	NIST	L6469
21.04	Sc	V	375.044	8.0	0.5333	NIST	L6469
21.04	Sc	V	376.615	6.0	0.4	NIST	L6469
21.04	Sc	V	378.023	5.0	0.3333	NIST	L6469
21.04	Sc	V	378.668	6.0	0.4	NIST	L6469
21.04	Sc	V	379.57	5.0	0.3333	NIST	L6469
21.04	Sc	V	384.307	6.0	0.4	NIST	L6469
21.04	Sc	V	384.969	7.0	0.4667	NIST	L6469
21.04	Sc	V	385.906	3.0	0.2	NIST	L6469
21.04	Sc	V	388.68	8.0	0.5333	NIST	L6469
21.04	Sc	V	390.099	5.0	0.3333	NIST	L6469
21.04	Sc	V	391.096	6.0	0.4	NIST	L6469
21.04	Sc	V	392.716	5.0	0.3333	NIST	L6469
21.04	Sc	V	395.327	6.0	0.4	NIST	L6469
21.04	Sc	V	396.791	4.0	0.2667	NIST	L6469
21.04	Sc	V	399.5	7.0	0.4667	NIST	L6469
21.04	Sc	V	415.102	2.0	0.1333	NIST	L6469
21.04	Sc	V	419.452	1.0	0.0667	NIST	L6469
21.04	Sc	V	419.7	1.0	0.0667	NIST	L6469
21.04	Sc	V	427.376	5.0	0.3333	NIST	L6469
21.04	Sc	V	432.042	2.0	0.1333	NIST	L6469
21.04	Sc	V	432.878	1.0	0.0667	NIST	L6469
21.04	Sc	V	434.096	1.0	0.0667	NIST	L6469
21.04	Sc	V	436.586	4.0	0.2667	NIST	L6469
21.04	Sc	V	458.226	1.0	0.0667	NIST	L6469
21.04	Sc	V	464.779	1.0	0.0667	NIST	L6469
21.04	Sc	V	465.983	1.0	0.0667	NIST	L6469
21.04	Sc	V	466.964	3.0	0.2	NIST	L6469
21.04	Sc	V	468.104	3.0	0.2	NIST	L6469
21.04	Sc	V	469.502	2.0	0.1333	NIST	L6469
21.04	Sc	V	473.355	1.0	0.0667	NIST	L6469
21.04	Sc	V	474.679	5.0	0.3333	NIST	L6469
21.04	Sc	V	476.002	2.0	0.1333	NIST	L6469
21.04	Sc	V	477.357	1.0	0.0667	NIST	L6469
21.04	Sc	V	478.895	1.0	0.0667	NIST	L6469
21.04	Sc	V	480.542	5.0	0.3333	NIST	L6469
21.04	Sc	V	482.069	1.0	0.0667	NIST	L6469
21.04	Sc	V	483.336	5.0	0.3333	NIST	L6469
21.04	Sc	V	486.605	4.0	0.2667	NIST	L6469
21.04	Sc	V	487.088	2.0	0.1333	NIST	L6469
21.04	Sc	V	487.319	4.0	0.2667	NIST	L6469
21.04	Sc	V	487.51	1.0	0.0667	NIST	L6469
21.04	Sc	V	487.837	1.0	0.0667	NIST	L6469
21.04	Sc	V	487.976	4.0	0.2667	NIST	L6469
21.04	Sc	V	488.27	1.0	0.0667	NIST	L6469
21.04	Sc	V	488.889	2.0	0.1333	NIST	L6469
21.04	Sc	V	489.541	2.0	0.1333	NIST	L6469
21.04	Sc	V	489.753	6.0	0.4	NIST	L6469
21.04	Sc	V	490.413	3.0	0.2	NIST	L6469
21.04	Sc	V	491.805	1.0	0.0667	NIST	L6469
21.04	Sc	V	492.16	4.0	0.2667	NIST	L6469
21.04	Sc	V	493.283	3.0	0.2	NIST	L6469
21.04	Sc	V	493.852	5.0	0.3333	NIST	L6469
21.04	Sc	V	493.995	5.0	0.3333	NIST	L6469
21.04	Sc	V	494.38	2.0	0.1333	NIST	L6469
