atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
21.12	Sc	XIII	24.097	9.0	0.01	NIST	L2181
21.12	Sc	XIII	24.284	9.0	0.01	NIST	L2181
21.12	Sc	XIII	24.484	10.0	0.0111	NIST	L2181
21.12	Sc	XIII	24.56	20.0	0.0222	NIST	L2181
21.12	Sc	XIII	24.648	7.0	0.0078	NIST	L2181
21.12	Sc	XIII	24.666	9.0	0.01	NIST	L2181
21.12	Sc	XIII	24.715	12.0	0.0133	NIST	L2181
21.12	Sc	XIII	24.791	7.0	0.0078	NIST	L2181
21.12	Sc	XIII	24.899	2.0	0.0022	NIST	L2181
21.12	Sc	XIII	24.97	10.0	0.0111	NIST	L2181
21.12	Sc	XIII	24.998	2.0	0.0022	NIST	L2181
21.12	Sc	XIII	25.079	5.0	0.0056	NIST	L2181
21.12	Sc	XIII	25.099	6.0	0.0067	NIST	L2181
21.12	Sc	XIII	25.133	8.0	0.0089	NIST	L2181
21.12	Sc	XIII	25.163	1.0	0.0011	NIST	L2181
21.12	Sc	XIII	25.2	12.0	0.0133	NIST	L2181
21.12	Sc	XIII	25.242	12.0	0.0133	NIST	L2181
21.12	Sc	XIII	25.341	8.0	0.0089	NIST	L2181
21.12	Sc	XIII	25.402	4.0	0.0044	NIST	L2181
21.12	Sc	XIII	25.44	9.0	0.01	NIST	L2181
21.12	Sc	XIII	26.893	4.0	0.0044	NIST	L2181
21.12	Sc	XIII	27.17	3.0	0.0033	NIST	L2181
21.12	Sc	XIII	27.628	12.0	0.0133	NIST	L2181
21.12	Sc	XIII	27.911	10.0	0.0111	NIST	L2181
21.12	Sc	XIII	27.979	8.0	0.0089	NIST	L2181
21.12	Sc	XIII	28.131	15.0	0.0167	NIST	L2181
21.12	Sc	XIII	28.28	10.0	0.0111	NIST	L2181
21.12	Sc	XIII	28.324	15.0	0.0167	NIST	L2181
21.12	Sc	XIII	28.434	4.0	0.0044	NIST	L2181
21.12	Sc	XIII	28.463	4.0	0.0044	NIST	L2181
21.12	Sc	XIII	28.497	3.0	0.0033	NIST	L2181
21.12	Sc	XIII	28.566	3.0	0.0033	NIST	L2181
21.12	Sc	XIII	28.633	2.0	0.0022	NIST	L2181
21.12	Sc	XIII	28.748	4.0	0.0044	NIST	L2181
21.12	Sc	XIII	130.952	900.0	1.0	NIST	L5515
21.12	Sc	XIII	137.799	500.0	0.5556	NIST	L5515
