atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
14.01	Si	II	805.1	10.0	0.005	NIST	L3541
14.01	Si	II	820.52	20.0	0.01	NIST	L3541
14.01	Si	II	843.72	20.0	0.01	NIST	L3541
14.01	Si	II	845.77	40.0	0.02	NIST	L3541
14.01	Si	II	850.14	10.0	0.005	NIST	L3541
14.01	Si	II	889.72	100.0	0.05	NIST	L3541
14.01	Si	II	892.0	200.0	0.1	NIST	L3541
14.01	Si	II	899.41	10.0	0.005	NIST	L3541
14.01	Si	II	901.74	20.0	0.01	NIST	L3541
14.01	Si	II	913.01	10.0	0.005	NIST	L3541
14.01	Si	II	913.85	20.0	0.01	NIST	L3541
14.01	Si	II	929.81	20.0	0.01	NIST	L3541
14.01	Si	II	989.87	100.0	0.05	NIST	L3541
14.01	Si	II	992.68	200.0	0.1	NIST	L3541
14.01	Si	II	1020.7	25.0	0.0125	NIST	L3541
14.01	Si	II	1023.69	50.0	0.025	NIST	L3541
14.01	Si	II	1057.05	30.0	0.015	NIST	L3541
14.01	Si	II	1057.5	15.0	0.0075	NIST	L3541
14.01	Si	II	1127.44	20.0	0.01	NIST	L3541
14.01	Si	II	1127.91	40.0	0.02	NIST	L3541
14.01	Si	II	1190.42	100.0	0.05	NIST	L3541
14.01	Si	II	1193.28	200.0	0.1	NIST	L3541
14.01	Si	II	1194.5	250.0	0.125	NIST	L3541
14.01	Si	II	1197.39	100.0	0.05	NIST	L3541
14.01	Si	II	1216.12	10.0	0.005	NIST	L3541
14.01	Si	II	1223.91	20.0	0.01	NIST	L3541
14.01	Si	II	1224.25	20.0	0.01	NIST	L3541
14.01	Si	II	1224.97	10.0	0.005	NIST	L3541
14.01	Si	II	1226.81	50.0	0.025	NIST	L3541
14.01	Si	II	1226.89	20.0	0.01	NIST	L3541
14.01	Si	II	1226.99	40.0	0.02	NIST	L3541
14.01	Si	II	1227.6	100.0	0.05	NIST	L3541
14.01	Si	II	1228.44	10.0	0.005	NIST	L3541
14.01	Si	II	1228.62	25.0	0.0125	NIST	L3541
14.01	Si	II	1228.75	150.0	0.075	NIST	L3541
14.01	Si	II	1229.39	200.0	0.1	NIST	L3541
14.01	Si	II	1235.92	10.0	0.005	NIST	L3541
14.01	Si	II	1246.74	100.0	0.05	NIST	L3541
14.01	Si	II	1248.43	150.0	0.075	NIST	L3541
14.01	Si	II	1250.09	100.0	0.05	NIST	L3541
14.01	Si	II	1250.43	150.0	0.075	NIST	L3541
14.01	Si	II	1251.16	200.0	0.1	NIST	L3541
14.01	Si	II	1260.42	1000.0	0.5	NIST	L3541
14.01	Si	II	1264.73	2000.0	1.0	NIST	L3541
14.01	Si	II	1265.02	200.0	0.1	NIST	L3541
14.01	Si	II	1304.37	100.0	0.05	NIST	L3541
14.01	Si	II	1305.59	50.0	0.025	NIST	L3541
14.01	Si	II	1309.27	200.0	0.1	NIST	L3541
14.01	Si	II	1309.46	20.0	0.01	NIST	L3541
14.01	Si	II	1346.87	100.0	0.05	NIST	L3541
14.01	Si	II	1348.54	100.0	0.05	NIST	L3541
14.01	Si	II	1350.06	150.0	0.075	NIST	L3541
14.01	Si	II	1350.52	20.0	0.01	NIST	L3541
14.01	Si	II	1350.66	20.0	0.01	NIST	L3541
14.01	Si	II	1352.64	100.0	0.05	NIST	L3541
14.01	Si	II	1353.72	100.0	0.05	NIST	L3541
14.01	Si	II	1409.07	10.0	0.005	NIST	L3541
14.01	Si	II	1410.22	20.0	0.01	NIST	L3541
14.01	Si	II	1416.97	10.0	0.005	NIST	L3541
14.01	Si	II	1474.65	15.0	0.0075	NIST	L3541
14.01	Si	II	1484.87	15.0	0.0075	NIST	L3541
14.01	Si	II	1485.02	90.0	0.045	NIST	L3541
14.01	Si	II	1485.22	30.0	0.015	NIST	L3541
14.01	Si	II	1485.51	100.0	0.05	NIST	L3541
14.01	Si	II	1509.1	100.0	0.05	NIST	L3541
14.01	Si	II	1512.07	50.0	0.025	NIST	L3541
14.01	Si	II	1513.57	30.0	0.015	NIST	L3541
14.01	Si	II	1516.91	60.0	0.03	NIST	L3541
14.01	Si	II	1526.72	500.0	0.25	NIST	L3541
14.01	Si	II	1533.45	1000.0	0.5	NIST	L3541
14.01	Si	II	1562.45	10.0	0.005	NIST	L3541
14.01	Si	II	1562.85	15.0	0.0075	NIST	L3541
14.01	Si	II	1563.77	10.0	0.005	NIST	L3541
14.01	Si	II	1710.83	10.0	0.005	NIST	L3541
14.01	Si	II	1711.3	20.0	0.01	NIST	L3541
14.01	Si	II	1808.0	150.0	0.075	NIST	L3541
14.01	Si	II	1816.92	200.0	0.1	NIST	L3541
14.01	Si	II	1817.45	10.0	0.005	NIST	L3541
14.01	Si	II	1869.32	20.0	0.01	NIST	L3541
14.01	Si	II	1870.23	15.0	0.0075	NIST	L3541
14.01	Si	II	1902.46	100.0	0.05	NIST	L3541
14.01	Si	II	1910.62	50.0	0.025	NIST	L3541
14.01	Si	II	1941.67	50.0	0.025	NIST	L3541
14.01	Si	II	1944.59	15.0	0.0075	NIST	L3541
14.01	Si	II	1949.33	10.0	0.005	NIST	L3541
14.01	Si	II	1949.56	100.0	0.05	NIST	L3541
14.01	Si	II	2058.65	50.0	0.025	NIST	L3541
14.01	Si	II	2059.01	50.0	0.025	NIST	L3541
14.01	Si	II	2072.02	200.0	0.1	NIST	L3541
14.01	Si	II	2072.7	200.0	0.1	NIST	L3541
14.01	Si	II	2133.99	10.0	0.005	NIST	L3541
14.01	Si	II	2136.4	30.0	0.015	NIST	L3541
14.01	Si	II	2136.56	50.0	0.025	NIST	L3541
14.01	Si	II	2334.4	30.0	0.015	NIST	L3541
14.01	Si	II	2334.61	30.0	0.015	NIST	L3541
14.01	Si	II	2344.2	10.0	0.005	NIST	L3541
14.01	Si	II	2349.54	10.0	0.005	NIST	L3541
14.01	Si	II	2350.17	20.0	0.01	NIST	L3541
14.01	Si	II	2353.09	20.0	0.01	NIST	L3541
14.01	Si	II	2356.3	100.0	0.05	NIST	L3541
14.01	Si	II	2357.18	30.0	0.015	NIST	L3541
14.01	Si	II	2357.97	50.0	0.025	NIST	L3541
14.01	Si	II	2360.2	10.0	0.005	NIST	L3541
