atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
14.03	Si	IV	457.82	4.0	0.2667	NIST	L6098
14.03	Si	IV	458.16	3.0	0.2	NIST	L6098
14.03	Si	IV	515.12	2.0	0.1333	NIST	L6098
14.03	Si	IV	516.35	3.0	0.2	NIST	L6098
14.03	Si	IV	645.76	2.0	0.1333	NIST	L6098
14.03	Si	IV	749.94	5.0	0.3333	NIST	L6098
14.03	Si	IV	815.05	7.0	0.4667	NIST	L6098
14.03	Si	IV	818.13	8.0	0.5333	NIST	L6098
14.03	Si	IV	1066.63	8.0	0.5333	NIST	L6098
14.03	Si	IV	1122.49	8.0	0.5333	NIST	L6098
14.03	Si	IV	1128.34	10.0	0.6667	NIST	L6098
14.03	Si	IV	1393.76	15.0	1.0	NIST	L6098
14.03	Si	IV	1402.77	12.0	0.8	NIST	L6098
14.03	Si	IV	1634.61	1.0	0.0667	NIST	L6098
14.03	Si	IV	1722.53	6.0	0.4	NIST	L6098
14.03	Si	IV	1727.38	5.0	0.3333	NIST	L6098
14.03	Si	IV	2120.18	3.0	0.2	NIST	L6098
14.03	Si	IV	2127.47	4.0	0.2667	NIST	L6098
14.03	Si	IV	2287.04	5.0	0.3333	NIST	L6098
14.03	Si	IV	2328.56	2.0	0.1333	NIST	L6098
14.03	Si	IV	2366.76	2.0	0.1333	NIST	L6098
14.03	Si	IV	2370.99	3.0	0.2	NIST	L6098
14.03	Si	IV	2482.82	2.0	0.1333	NIST	L6098
14.03	Si	IV	2485.38	1.0	0.0667	NIST	L6098
14.03	Si	IV	2517.51	7.0	0.4667	NIST	L6098
14.03	Si	IV	2672.19	1.0	0.0667	NIST	L6098
14.03	Si	IV	2675.12	4.0	0.2667	NIST	L6098
14.03	Si	IV	2675.25	4.0	0.2667	NIST	L6098
14.03	Si	IV	2677.57	1.0	0.0667	NIST	L6098
14.03	Si	IV	2723.81	3.0	0.2	NIST	L6098
14.03	Si	IV	2895.13	3.0	0.2	NIST	L6098
14.03	Si	IV	2904.47	2.0	0.1333	NIST	L6098
14.03	Si	IV	2971.52	1.0	0.0667	NIST	L6098
14.03	Si	IV	3149.56	7.0	0.4667	NIST	L6098
14.03	Si	IV	3165.71	9.0	0.6	NIST	L6098
14.03	Si	IV	3244.19	1.0	0.0667	NIST	L6098
14.03	Si	IV	3762.44	8.0	0.5333	NIST	L6098
14.03	Si	IV	3773.15	6.0	0.4	NIST	L6098
14.03	Si	IV	4031.39	1.0	0.0667	NIST	L6098
14.03	Si	IV	4038.06	2.0	0.1333	NIST	L6098
14.03	Si	IV	4088.85	10.0	0.6667	NIST	L6098
14.03	Si	IV	4116.1	9.0	0.6	NIST	L6098
14.03	Si	IV	4212.41	7.0	0.4667	NIST	L6098
14.03	Si	IV	4314.1	3.0	0.2	NIST	L6098
14.03	Si	IV	4328.18	5.0	0.3333	NIST	L6098
14.03	Si	IV	4403.73	2.0	0.1333	NIST	L6098
14.03	Si	IV	4411.65	1.0	0.0667	NIST	L6098
14.03	Si	IV	4611.27	1.0	0.0667	NIST	L6098
14.03	Si	IV	4628.62	3.0	0.2	NIST	L6098
14.03	Si	IV	4631.24	9.0	0.6	NIST	L6098
14.03	Si	IV	4654.32	10.0	0.6667	NIST	L6098
14.03	Si	IV	4656.92	3.0	0.2	NIST	L6098
14.03	Si	IV	4667.14	1.0	0.0667	NIST	L6098
14.03	Si	IV	4673.3	2.0	0.1333	NIST	L6098
14.03	Si	IV	4947.45	1.0	0.0667	NIST	L6098
14.03	Si	IV	4950.11	3.0	0.2	NIST	L6098
14.03	Si	IV	5304.97	2.0	0.1333	NIST	L6098
14.03	Si	IV	5309.49	1.0	0.0667	NIST	L6098
14.03	Si	IV	6667.56	5.0	0.3333	NIST	L6098
14.03	Si	IV	6701.21	7.0	0.4667	NIST	L6098
14.03	Si	IV	6998.36	3.0	0.2	NIST	L6098
14.03	Si	IV	7047.94	6.0	0.4	NIST	L6098
14.03	Si	IV	7068.41	4.0	0.2667	NIST	L6098
14.03	Si	IV	7630.5	2.0	0.1333	NIST	L6098
14.03	Si	IV	7654.56	4.0	0.2667	NIST	L6098
14.03	Si	IV	7678.75	4.0	0.2667	NIST	L6098
14.03	Si	IV	7718.79	5.0	0.3333	NIST	L6098
14.03	Si	IV	7723.82	6.0	0.4	NIST	L6098
14.03	Si	IV	7725.64	2.0	0.1333	NIST	L6098
14.03	Si	IV	7730.47	1.0	0.0667	NIST	L6098
14.03	Si	IV	7752.91	1.0	0.0667	NIST	L6098
14.03	Si	IV	8240.61	1.0	0.0667	NIST	L6098
14.03	Si	IV	8957.25	2.0	0.1333	NIST	L6098
14.03	Si	IV	9018.16	1.0	0.0667	NIST	L6098
