atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
50.01	Sn	II	888.313	1400.0	0.0026	NIST	L17864
50.01	Sn	II	899.884	3400.0	0.0064	NIST	L17864
50.01	Sn	II	917.378	7300.0	0.0138	NIST	L18891
50.01	Sn	II	922.856	3500.0	0.0066	NIST	L17864
50.01	Sn	II	923.01	3700.0	0.007	NIST	L3368
50.01	Sn	II	935.571	5800.0	0.0109	NIST	L17864
50.01	Sn	II	945.802	14000.0	0.0264	NIST	L18891
50.01	Sn	II	954.44	12000.0	0.0226	NIST	L18891
50.01	Sn	II	954.614	6200.0	0.0117	NIST	L18891
50.01	Sn	II	955.299	6900.0	0.013	NIST	L18891
50.01	Sn	II	960.545	2400.0	0.0045	NIST	L17864
50.01	Sn	II	985.11	18000.0	0.034	NIST	L18891
50.01	Sn	II	985.411	10000.0	0.0189	NIST	L17864
50.01	Sn	II	995.742	8600.0	0.0162	NIST	L18891
50.01	Sn	II	997.168	19000.0	0.0358	NIST	L18891
50.01	Sn	II	1016.238	16000.0	0.0302	NIST	L18891
50.01	Sn	II	1040.72	24000.0	0.0453	NIST	L18891
50.01	Sn	II	1041.313	16000.0	0.0302	NIST	L18891
50.01	Sn	II	1062.123	25000.0	0.0472	NIST	L18891
50.01	Sn	II	1108.138	43000.0	0.0811	NIST	L18891
50.01	Sn	II	1159.014	53000.0	0.1	NIST	L18891
50.01	Sn	II	1161.434	74000.0	0.1396	NIST	L18891
50.01	Sn	II	1162.926	56000.0	0.1057	NIST	L18891
50.01	Sn	II	1185.675	37000.0	0.0698	NIST	L18891
50.01	Sn	II	1193.299	66000.0	0.1245	NIST	L18891
50.01	Sn	II	1219.088	91000.0	0.1717	NIST	L18891
50.01	Sn	II	1223.715	100000.0	0.1887	NIST	L18891
50.01	Sn	II	1242.928	110000.0	0.2075	NIST	L18891
50.01	Sn	II	1285.659	31000.0	0.0585	NIST	L18891
50.01	Sn	II	1290.871	200000.0	0.3774	NIST	L18891
50.01	Sn	II	1303.902	37000.0	0.0698	NIST	L18891
50.01	Sn	II	1312.275	210000.0	0.3962	NIST	L18891
50.01	Sn	II	1313.087	100000.0	0.1887	NIST	L18891
50.01	Sn	II	1316.572	210000.0	0.3962	NIST	L18891
50.01	Sn	II	1317.907	86000.0	0.1623	NIST	L18891
50.01	Sn	II	1327.669	33000.0	0.0623	NIST	L18891
50.01	Sn	II	1337.103	67000.0	0.1264	NIST	L18891
50.01	Sn	II	1353.843	13000.0	0.0245	NIST	L18891
50.01	Sn	II	1358.707	58000.0	0.1094	NIST	L18891
50.01	Sn	II	1360.226	200000.0	0.3774	NIST	L18891
50.01	Sn	II	1363.799	93000.0	0.1755	NIST	L18891
50.01	Sn	II	1365.282	100000.0	0.1887	NIST	L18891
