atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
38.00	Sr	I	2354.319	80.0	0.0028	NIST	L7362
38.00	Sr	I	2428.095	160.0	0.0055	NIST	L7362
38.00	Sr	I	2569.469	40.0	0.0014	NIST	L7362
38.00	Sr	I	2931.83	130.0	0.0045	NIST	L7362
38.00	Sr	I	3301.734	420.0	0.0145	NIST	L7362
38.00	Sr	I	3307.534	430.0	0.0148	NIST	L7362
38.00	Sr	I	3322.231	260.0	0.009	NIST	L7362
38.00	Sr	I	3329.988	270.0	0.0093	NIST	L7362
38.00	Sr	I	3351.246	1400.0	0.0483	NIST	L7362
38.00	Sr	I	3366.333	500.0	0.0172	NIST	L7362
38.00	Sr	I	3499.672	200.0	0.0069	NIST	L7362
38.00	Sr	I	3548.083	190.0	0.0066	NIST	L7362
38.00	Sr	I	3577.243	30.0	0.001	NIST	L7362
38.00	Sr	I	3628.345	40.0	0.0014	NIST	L7362
38.00	Sr	I	3629.144	150.0	0.0052	NIST	L7362
38.00	Sr	I	3639.902	60.0	0.0021	NIST	L4447
38.00	Sr	I	3643.838	70.0	0.0024	NIST	L4447
38.00	Sr	I	3644.595	60.0	0.0021	NIST	L4447
38.00	Sr	I	3647.83	90.0	0.0031	NIST	L4447
38.00	Sr	I	3650.159	80.0	0.0028	NIST	L4447
38.00	Sr	I	3652.533	90.0	0.0031	NIST	L4447
38.00	Sr	I	3653.27	180.0	0.0062	NIST	L7362
38.00	Sr	I	3653.928	50.0	0.0017	NIST	L7362
38.00	Sr	I	3656.819	80.0	0.0028	NIST	L4447
38.00	Sr	I	3657.213	80.0	0.0028	NIST	L4447
38.00	Sr	I	3658.125	100.0	0.0034	NIST	L4447
38.00	Sr	I	3661.267	100.0	0.0034	NIST	L4447
38.00	Sr	I	3664.827	110.0	0.0038	NIST	L4447
38.00	Sr	I	3664.907	90.0	0.0031	NIST	L4447
38.00	Sr	I	3665.993	120.0	0.0041	NIST	L4447
38.00	Sr	I	3671.627	120.0	0.0041	NIST	L4447
38.00	Sr	I	3672.951	120.0	0.0041	NIST	L4447
38.00	Sr	I	3674.859	80.0	0.0028	NIST	L4447
38.00	Sr	I	3678.368	140.0	0.0048	NIST	L4447
38.00	Sr	I	3682.919	130.0	0.0045	NIST	L4447
38.00	Sr	I	3686.559	140.0	0.0048	NIST	L4447
38.00	Sr	I	3687.261	90.0	0.0031	NIST	L4447
38.00	Sr	I	3695.409	150.0	0.0052	NIST	L4447
38.00	Sr	I	3696.613	150.0	0.0052	NIST	L4447
38.00	Sr	I	3703.078	100.0	0.0034	NIST	L4447
38.00	Sr	I	3705.901	250.0	0.0086	NIST	L7362
38.00	Sr	I	3706.674	180.0	0.0062	NIST	L4447
38.00	Sr	I	3709.173	150.0	0.0052	NIST	L4447
38.00	Sr	I	3711.279	140.0	0.0048	NIST	L4447
38.00	Sr	I	3723.628	100.0	0.0034	NIST	L4447
38.00	Sr	I	3725.165	190.0	0.0066	NIST	L4447
38.00	Sr	I	3731.926	180.0	0.0062	NIST	L4447
38.00	Sr	I	3745.958	200.0	0.0069	NIST	L4447
38.00	Sr	I	3751.07	140.0	0.0048	NIST	L4447
38.00	Sr	I	3759.493	190.0	0.0066	NIST	L4447
38.00	Sr	I	3773.73	220.0	0.0076	NIST	L4447
38.00	Sr	I	3780.527	70.0	0.0024	NIST	L7362
38.00	Sr	I	3788.918	190.0	0.0066	NIST	L4447
38.00	Sr	I	3797.502	240.0	0.0083	NIST	L4447
38.00	Sr	I	3797.526	100.0	0.0034	NIST	L4447
38.00	Sr	I	3807.424	200.0	0.0069	NIST	L7362
38.00	Sr	I	3812.02	200.0	0.0069	NIST	L4447
38.00	Sr	I	3812.044	80.0	0.0028	NIST	L4447
38.00	Sr	I	3843.325	220.0	0.0076	NIST	L4447
38.00	Sr	I	3852.144	280.0	0.0097	NIST	L4447
38.00	Sr	I	3865.451	240.0	0.0083	NIST	L7362
38.00	Sr	I	3867.067	290.0	0.01	NIST	L4447
38.00	Sr	I	3919.566	250.0	0.0086	NIST	L4447
38.00	Sr	I	3924.184	280.0	0.0097	NIST	L4447
38.00	Sr	I	3925.872	280.0	0.0097	NIST	L4447
38.00	Sr	I	3929.607	280.0	0.0097	NIST	L4447
38.00	Sr	I	3933.523	140.0	0.0048	NIST	L4447
38.00	Sr	I	3935.056	290.0	0.01	NIST	L4447
38.00	Sr	I	3935.099	110.0	0.0038	NIST	L4447
38.00	Sr	I	3936.037	260.0	0.009	NIST	L4447
38.00	Sr	I	3940.711	170.0	0.0059	NIST	L4447
38.00	Sr	I	3940.8	500.0	0.0172	NIST	L7362
38.00	Sr	I	3943.747	230.0	0.0079	NIST	L4447
38.00	Sr	I	3949.374	150.0	0.0052	NIST	L4447
38.00	Sr	I	3950.636	210.0	0.0072	NIST	L7362
38.00	Sr	I	3950.67	150.0	0.0052	NIST	L4447
38.00	Sr	I	3953.095	240.0	0.0083	NIST	L4447
38.00	Sr	I	3959.961	150.0	0.0052	NIST	L4447
38.00	Sr	I	3964.581	220.0	0.0076	NIST	L4447
38.00	Sr	I	3969.261	700.0	0.0241	NIST	L7362
38.00	Sr	I	3970.043	500.0	0.0172	NIST	L7362
38.00	Sr	I	3973.072	190.0	0.0066	NIST	L4447
38.00	Sr	I	3978.929	260.0	0.009	NIST	L4447
38.00	Sr	I	3989.593	260.0	0.009	NIST	L4447
38.00	Sr	I	3997.174	300.0	0.0103	NIST	L4447
38.00	Sr	I	4010.806	350.0	0.0121	NIST	L4447
38.00	Sr	I	4020.882	360.0	0.0124	NIST	L4447
38.00	Sr	I	4030.377	1000.0	0.0345	NIST	L7362
38.00	Sr	I	4032.379	500.0	0.0172	NIST	L7362
38.00	Sr	I	4033.191	160.0	0.0055	NIST	L7362
38.00	Sr	I	4038.642	370.0	0.0128	NIST	L4447
38.00	Sr	I	4052.512	420.0	0.0145	NIST	L4447
38.00	Sr	I	4060.923	390.0	0.0134	NIST	L4447
38.00	Sr	I	4070.718	440.0	0.0152	NIST	L4447
38.00	Sr	I	4070.805	360.0	0.0124	NIST	L4447
38.00	Sr	I	4076.147	410.0	0.0141	NIST	L4447
38.00	Sr	I	4087.344	340.0	0.0117	NIST	L7362
38.00	Sr	I	4087.442	290.0	0.01	NIST	L4447
38.00	Sr	I	4096.063	500.0	0.0172	NIST	L4447
38.00	Sr	I	4128.213	500.0	0.0172	NIST	L4447
38.00	Sr	I	4158.526	600.0	0.0207	NIST	L4447
38.00	Sr	I	4185.424	520.0	0.0179	NIST	L4447
38.00	Sr	I	4192.777	530.0	0.0183	NIST	L4447
38.00	Sr	I	4193.148	320.0	0.011	NIST	L4447
38.00	Sr	I	4201.534	500.0	0.0172	NIST	L4447
38.00	Sr	I	4202.209	430.0	0.0148	NIST	L4447
38.00	Sr	I	4202.522	190.0	0.0066	NIST	L7362
38.00	Sr	I	4203.78	320.0	0.011	NIST	L4447
38.00	Sr	I	4212.036	700.0	0.0241	NIST	L4447
38.00	Sr	I	4213.23	440.0	0.0152	NIST	L4447
38.00	Sr	I	4214.246	440.0	0.0152	NIST	L4447
38.00	Sr	I	4224.698	700.0	0.0241	NIST	L4447
38.00	Sr	I	4226.771	450.0	0.0155	NIST	L4447
38.00	Sr	I	4226.826	450.0	0.0155	NIST	L4447
38.00	Sr	I	4240.01	600.0	0.0207	NIST	L4447
38.00	Sr	I	4242.399	600.0	0.0207	NIST	L4447
38.00	Sr	I	4243.868	500.0	0.0172	NIST	L4447
38.00	Sr	I	4252.939	700.0	0.0241	NIST	L4447
38.00	Sr	I	4258.745	240.0	0.0083	NIST	L4447
38.00	Sr	I	4259.013	420.0	0.0145	NIST	L4447
38.00	Sr	I	4262.32	700.0	0.0241	NIST	L4447
38.00	Sr	I	4265.66	500.0	0.0172	NIST	L4447
38.00	Sr	I	4288.145	600.0	0.0207	NIST	L4447
38.00	Sr	I	4294.148	600.0	0.0207	NIST	L4447
38.00	Sr	I	4308.105	700.0	0.0241	NIST	L7362
38.00	Sr	I	4313.182	110.0	0.0038	NIST	L7362
38.00	Sr	I	4319.053	900.0	0.031	NIST	L7362
38.00	Sr	I	4319.22	340.0	0.0117	NIST	L4447
38.00	Sr	I	4321.953	600.0	0.0207	NIST	L4447
38.00	Sr	I	4326.445	300.0	0.0103	NIST	L7362
38.00	Sr	I	4332.439	600.0	0.0207	NIST	L4447
38.00	Sr	I	4337.664	1100.0	0.0379	NIST	L7362
38.00	Sr	I	4337.891	420.0	0.0145	NIST	L4447
38.00	Sr	I	4340.75	700.0	0.0241	NIST	L3942
38.00	Sr	I	4361.71	800.0	0.0276	NIST	L7362
38.00	Sr	I	4369.365	700.0	0.0241	NIST	L4447
38.00	Sr	I	4379.47	680.0	0.0234	NIST	L3942
38.00	Sr	I	4385.82	800.0	0.0276	NIST	L4447
38.00	Sr	I	4406.009	410.0	0.0141	NIST	L4447
38.00	Sr	I	4412.621	160.0	0.0055	NIST	L7362
38.00	Sr	I	4418.087	400.0	0.0138	NIST	L4447
38.00	Sr	I	4438.044	1000.0	0.0345	NIST	L7362
38.00	Sr	I	4451.804	90.0	0.0031	NIST	L7362
38.00	Sr	I	4463.301	1000.0	0.0345	NIST	L4447
38.00	Sr	I	4480.507	440.0	0.0152	NIST	L7362
38.00	Sr	I	4522.301	470.0	0.0162	NIST	L4447
38.00	Sr	I	4531.348	500.0	0.0172	NIST	L7362
38.00	Sr	I	4532.375	1000.0	0.0345	NIST	L4447
38.00	Sr	I	4582.993	1100.0	0.0379	NIST	L4447
38.00	Sr	I	4607.331	29000.0	1.0	NIST	L7362
38.00	Sr	I	4677.75	600.0	0.0207	NIST	L4447
38.00	Sr	I	4678.326	1000.0	0.0345	NIST	L7362
38.00	Sr	I	4688.546	1400.0	0.0483	NIST	L4447
38.00	Sr	I	4703.984	110.0	0.0038	NIST	L7362
38.00	Sr	I	4712.146	1000.0	0.0345	NIST	L4447
38.00	Sr	I	4712.347	600.0	0.0207	NIST	L4447
38.00	Sr	I	4713.959	160.0	0.0055	NIST	L7362
38.00	Sr	I	4722.278	1600.0	0.0552	NIST	L7362
38.00	Sr	I	4729.466	220.0	0.0076	NIST	L7362
38.00	Sr	I	4741.922	1600.0	0.0552	NIST	L7362
38.00	Sr	I	4755.495	700.0	0.0241	NIST	L7362
38.00	Sr	I	4783.782	1500.0	0.0517	NIST	L4447
38.00	Sr	I	4784.32	1700.0	0.0586	NIST	L7362
38.00	Sr	I	4811.881	2300.0	0.0793	NIST	L7362
38.00	Sr	I	4832.043	2900.0	0.1	NIST	L4447
38.00	Sr	I	4855.045	1200.0	0.0414	NIST	L7362
38.00	Sr	I	4868.7	1200.0	0.0414	NIST	L7362
38.00	Sr	I	4869.17	1100.0	0.0379	NIST	L4447
38.00	Sr	I	4872.493	1500.0	0.0517	NIST	L7362
38.00	Sr	I	4876.075	1200.0	0.0414	NIST	L4447
38.00	Sr	I	4891.98	1500.0	0.0517	NIST	L7362
38.00	Sr	I	4892.639	1100.0	0.0379	NIST	L4447
38.00	Sr	I	4956.277	1300.0	0.0448	NIST	L4447
38.00	Sr	I	4962.263	2500.0	0.0862	NIST	L7362
38.00	Sr	I	4965.584	1900.0	0.0655	NIST	L4447
38.00	Sr	I	4967.944	1200.0	0.0414	NIST	L7362
38.00	Sr	I	4971.668	120.0	0.0041	NIST	L7362
38.00	Sr	I	5077.692	900.0	0.031	NIST	L4447
38.00	Sr	I	5156.04	500.0	0.0172	NIST	L7362
38.00	Sr	I	5165.486	1800.0	0.0621	NIST	L4447
38.00	Sr	I	5212.978	200.0	0.0069	NIST	L7362
38.00	Sr	I	5222.198	1400.0	0.0483	NIST	L7362
38.00	Sr	I	5225.108	1400.0	0.0483	NIST	L7362
38.00	Sr	I	5229.27	1400.0	0.0483	NIST	L7362
38.00	Sr	I	5238.549	2000.0	0.069	NIST	L7362
38.00	Sr	I	5256.899	3400.0	0.1172	NIST	L7362
38.00	Sr	I	5329.813	500.0	0.0172	NIST	L7362
38.00	Sr	I	5374.069	290.0	0.01	NIST	L4447
38.00	Sr	I	5450.836	1000.0	0.0345	NIST	L7362
38.00	Sr	I	5480.865	2700.0	0.0931	NIST	L7362
38.00	Sr	I	5486.136	1000.0	0.0345	NIST	L7362
38.00	Sr	I	5504.184	2000.0	0.069	NIST	L7362
38.00	Sr	I	5521.765	1700.0	0.0586	NIST	L7362
38.00	Sr	I	5534.794	1000.0	0.0345	NIST	L7362
38.00	Sr	I	5540.051	1000.0	0.0345	NIST	L7362
38.00	Sr	I	5543.355	1000.0	0.0345	NIST	L7362
38.00	Sr	I	5556.384	1400.0	0.0483	NIST	L4447
38.00	Sr	I	5557.908	600.0	0.0207	NIST	L4447
38.00	Sr	I	5598.163	1200.0	0.0414	NIST	L4447
38.00	Sr	I	5816.771	1500.0	0.0517	NIST	L7362
38.00	Sr	I	5970.078	600.0	0.0207	NIST	L7362
38.00	Sr	I	6158.951	350.0	0.0121	NIST	L4447
38.00	Sr	I	6203.901	80.0	0.0028	NIST	L4447
38.00	Sr	I	6272.042	80.0	0.0028	NIST	L7362
38.00	Sr	I	6345.726	1400.0	0.0483	NIST	L7362
38.00	Sr	I	6363.91	200.0	0.0069	NIST	L7362
38.00	Sr	I	6369.918	500.0	0.0172	NIST	L7362
38.00	Sr	I	6380.728	1000.0	0.0345	NIST	L7362
38.00	Sr	I	6386.458	1300.0	0.0448	NIST	L7362
38.00	Sr	I	6388.203	800.0	0.0276	NIST	L7362
38.00	Sr	I	6408.463	3100.0	0.1069	NIST	L7362
38.00	Sr	I	6446.654	350.0	0.0121	NIST	L7362
38.00	Sr	I	6465.774	280.0	0.0097	NIST	L7362
38.00	Sr	I	6503.989	2100.0	0.0724	NIST	L7362
38.00	Sr	I	6546.791	500.0	0.0172	NIST	L7362
38.00	Sr	I	6550.244	1400.0	0.0483	NIST	L7362
38.00	Sr	I	6617.266	1100.0	0.0379	NIST	L7362
38.00	Sr	I	6643.536	400.0	0.0138	NIST	L7362
38.00	Sr	I	6791.022	7000.0	0.2414	NIST	L7362
38.00	Sr	I	6878.313	12000.0	0.4138	NIST	L7362
38.00	Sr	I	6892.585	2300.0	0.0793	NIST	L7362
38.00	Sr	I	7070.071	14000.0	0.4828	NIST	L7362
38.00	Sr	I	7153.02	170.0	0.0059	NIST	L13482
38.00	Sr	I	7167.143	1100.0	0.0379	NIST	L7362
38.00	Sr	I	7232.131	440.0	0.0152	NIST	L7362
38.00	Sr	I	7287.344	70.0	0.0024	NIST	L7362
38.00	Sr	I	7309.417	1700.0	0.0586	NIST	L7362
38.00	Sr	I	7408.12	17.0	0.0006	NIST	L13482
38.00	Sr	I	7438.42	10.0	0.0003	NIST	L13482
38.00	Sr	I	7503.38	3.0	0.0001	NIST	L13482
38.00	Sr	I	7621.5	100.0	0.0034	NIST	L7362
38.00	Sr	I	7673.077	200.0	0.0069	NIST	L7362
38.00	Sr	I	9170.0	40.0	0.0014	NIST	L2631
38.00	Sr	I	9204.5	30.0	0.001	NIST	L2631
38.00	Sr	I	9283.9	20.0	0.0007	NIST	L2631
38.00	Sr	I	9294.1	100.0	0.0034	NIST	L2631
38.00	Sr	I	9306.6	15.0	0.0005	NIST	L2631
38.00	Sr	I	9319.2	30.0	0.001	NIST	L2631
38.00	Sr	I	9380.45	60.0	0.0021	NIST	L2631
38.00	Sr	I	9596.0	600.0	0.0207	NIST	L2631
38.00	Sr	I	9624.7	300.0	0.0103	NIST	L2631
38.00	Sr	I	9638.1	100.0	0.0034	NIST	L2631
38.00	Sr	I	9817.3	4.0	0.0001	NIST	L2631
38.00	Sr	I	10036.659	300.0	0.0103	NIST	L7362
38.00	Sr	I	10864.3	4.0	0.0001	NIST	L2631
38.00	Sr	I	10984.0	10.0	0.0003	NIST	L2631
38.00	Sr	I	11241.25	700.0	0.0241	NIST	L2631
38.00	Sr	I	12047.7	8.0	0.0003	NIST	L2631
38.00	Sr	I	12098.0	4.0	0.0001	NIST	L2631
38.00	Sr	I	12171.6	15.0	0.0005	NIST	L2631
38.00	Sr	I	12236.2	20.0	0.0007	NIST	L2631
38.00	Sr	I	12422.4	10.0	0.0003	NIST	L2631
38.00	Sr	I	12479.6	20.0	0.0007	NIST	L2631
38.00	Sr	I	12495.0	40.0	0.0014	NIST	L2631
38.00	Sr	I	12502.4	12.0	0.0004	NIST	L2631
38.00	Sr	I	12555.0	5.0	0.0002	NIST	L2631
38.00	Sr	I	12652.2	15.0	0.0005	NIST	L2631
38.00	Sr	I	12661.5	3.0	0.0001	NIST	L2631
38.00	Sr	I	12928.6	10.0	0.0003	NIST	L2631
38.00	Sr	I	13461.1	6.0	0.0002	NIST	L2631
38.00	Sr	I	13522.8	15.0	0.0005	NIST	L2631
38.00	Sr	I	14500.9	3.0	0.0001	NIST	L2631
38.00	Sr	I	14720.0	6.0	0.0002	NIST	L2631
38.00	Sr	I	14725.1	4.0	0.0001	NIST	L2631
38.00	Sr	I	15512.2	7.0	0.0002	NIST	L2631
38.00	Sr	I	15726.4	5.0	0.0002	NIST	L2631
38.00	Sr	I	15761.1	8.0	0.0003	NIST	L2631
38.00	Sr	I	15816.7	5.0	0.0002	NIST	L2631
38.00	Sr	I	17013.8	3.0	0.0001	NIST	L2631
38.00	Sr	I	17048.6	1.0	0.0	NIST	L2631
38.00	Sr	I	17140.9	15.0	0.0005	NIST	L2631
38.00	Sr	I	17170.5	30.0	0.001	NIST	L2631
38.00	Sr	I	17184.4	10.0	0.0003	NIST	L2631
38.00	Sr	I	17447.4	50.0	0.0017	NIST	L2631
38.00	Sr	I	17484.7	10.0	0.0003	NIST	L2631
38.00	Sr	I	17708.9	8.0	0.0003	NIST	L2631
38.00	Sr	I	17743.0	30.0	0.001	NIST	L2631
38.00	Sr	I	19759.6	15.0	0.0005	NIST	L2631
38.00	Sr	I	20267.0	230.0	0.0079	NIST	L2631
38.00	Sr	I	20706.3	120.0	0.0041	NIST	L2631
38.00	Sr	I	20770.1	40.0	0.0014	NIST	L2631
38.00	Sr	I	20784.4	15.0	0.0005	NIST	L2631
38.00	Sr	I	20884.7	10.0	0.0003	NIST	L2631
38.00	Sr	I	26030.7	30.0	0.001	NIST	L2631
