atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
38.10	Sr	XI	83.095	700.0	0.7	NIST	L5322
38.10	Sr	XI	83.771	1000.0	1.0	NIST	L5322
38.10	Sr	XI	84.906	10.0	0.01	NIST	L5322
38.10	Sr	XI	313.975	20.0	0.02	NIST	L6987
38.10	Sr	XI	316.291	35.0	0.035	NIST	L6987
38.10	Sr	XI	317.855	7.0	0.007	NIST	L6987
38.10	Sr	XI	319.8	30.0	0.03	NIST	L6987
38.10	Sr	XI	319.95	60.0	0.06	NIST	L6987
38.10	Sr	XI	320.343	10.0	0.01	NIST	L6987
38.10	Sr	XI	322.448	25.0	0.025	NIST	L6987
38.10	Sr	XI	323.249	40.0	0.04	NIST	L6987
38.10	Sr	XI	325.272	15.0	0.015	NIST	L6987
38.10	Sr	XI	327.53	80.0	0.08	NIST	L6987
38.10	Sr	XI	328.19	30.0	0.03	NIST	L6987
38.10	Sr	XI	328.755	30.0	0.03	NIST	L6987
38.10	Sr	XI	328.927	40.0	0.04	NIST	L6987
38.10	Sr	XI	330.943	50.0	0.05	NIST	L6987
38.10	Sr	XI	330.984	30.0	0.03	NIST	L6987
38.10	Sr	XI	331.885	45.0	0.045	NIST	L6987
38.10	Sr	XI	334.655	50.0	0.05	NIST	L6987
38.10	Sr	XI	334.865	50.0	0.05	NIST	L6987
38.10	Sr	XI	336.968	65.0	0.065	NIST	L6987
38.10	Sr	XI	337.155	55.0	0.055	NIST	L6987
38.10	Sr	XI	337.565	20.0	0.02	NIST	L6987
38.10	Sr	XI	341.607	70.0	0.07	NIST	L6987
38.10	Sr	XI	341.707	40.0	0.04	NIST	L6987
38.10	Sr	XI	341.88	100.0	0.1	NIST	L6987
38.10	Sr	XI	342.321	110.0	0.11	NIST	L6987
38.10	Sr	XI	342.369	100.0	0.1	NIST	L6987
38.10	Sr	XI	342.951	20.0	0.02	NIST	L6987
38.10	Sr	XI	343.738	80.0	0.08	NIST	L6987
38.10	Sr	XI	343.99	120.0	0.12	NIST	L6987
38.10	Sr	XI	345.568	50.0	0.05	NIST	L6987
38.10	Sr	XI	350.007	50.0	0.05	NIST	L6987
38.10	Sr	XI	354.495	20.0	0.02	NIST	L6987
38.10	Sr	XI	363.46	25.0	0.025	NIST	L7252
38.10	Sr	XI	363.52	37.0	0.037	NIST	L7252
38.10	Sr	XI	365.415	60.0	0.06	NIST	L7252
38.10	Sr	XI	366.152	30.0	0.03	NIST	L7252
38.10	Sr	XI	367.454	38.0	0.038	NIST	L7252
38.10	Sr	XI	368.85	20.0	0.02	NIST	L7252
38.10	Sr	XI	369.324	50.0	0.05	NIST	L7252
38.10	Sr	XI	463.095	15.0	0.015	NIST	L6987
38.10	Sr	XI	463.373	10.0	0.01	NIST	L6987
38.10	Sr	XI	471.366	15.0	0.015	NIST	L6987
38.10	Sr	XI	479.729	65.0	0.065	NIST	L6987
38.10	Sr	XI	481.338	35.0	0.035	NIST	L6987
38.10	Sr	XI	484.869	15.0	0.015	NIST	L6987
38.10	Sr	XI	487.8	50.0	0.05	NIST	L6987
38.10	Sr	XI	488.31	40.0	0.04	NIST	L6987
38.10	Sr	XI	491.078	60.0	0.06	NIST	L6987
38.10	Sr	XI	494.284	80.0	0.08	NIST	L6987
38.10	Sr	XI	507.082	100.0	0.1	NIST	L6987
38.10	Sr	XI	507.378	80.0	0.08	NIST	L6987
38.10	Sr	XI	512.017	20.0	0.02	NIST	L6987
38.10	Sr	XI	521.474	30.0	0.03	NIST	L6987
38.10	Sr	XI	522.566	30.0	0.03	NIST	L6987
38.10	Sr	XI	523.008	50.0	0.05	NIST	L6987
38.10	Sr	XI	525.565	50.0	0.05	NIST	L6987
38.10	Sr	XI	527.949	30.0	0.03	NIST	L6987
38.10	Sr	XI	534.017	20.0	0.02	NIST	L6987
38.10	Sr	XI	543.371	25.0	0.025	NIST	L6987
38.10	Sr	XI	553.009	50.0	0.05	NIST	L6987
38.10	Sr	XI	554.387	30.0	0.03	NIST	L6987
38.10	Sr	XI	561.8	75.0	0.075	NIST	L6987
38.10	Sr	XI	565.879	25.0	0.025	NIST	L6987
38.10	Sr	XI	570.689	25.0	0.025	NIST	L6987
