atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
38.26	Sr	XXVII	99.938	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	104.06	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	111.567	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	114.077	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	114.876	7.0	0.2917	NIST	L10765
38.26	Sr	XXVII	115.066	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	115.303	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	115.697	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	116.419	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	116.506	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	117.26	10.0	0.4167	NIST	L10765
38.26	Sr	XXVII	117.601	7.0	0.2917	NIST	L10765
38.26	Sr	XXVII	117.69	7.0	0.2917	NIST	L10765
38.26	Sr	XXVII	118.49	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	118.599	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	119.085	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	119.274	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	119.694	3.0	0.125	NIST	L10678
38.26	Sr	XXVII	121.069	7.0	0.2917	NIST	L10765
38.26	Sr	XXVII	123.081	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	123.835	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	123.89	7.0	0.2917	NIST	L10765
38.26	Sr	XXVII	124.668	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	128.038	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	129.269	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	129.535	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	130.452	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	130.752	10.0	0.4167	NIST	L10765
38.26	Sr	XXVII	131.762	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	133.165	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	133.282	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	133.494	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	133.721	10.0	0.4167	NIST	L10765
38.26	Sr	XXVII	134.505	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	134.821	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	134.96	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	135.238	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	135.357	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	135.526	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	136.415	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	137.195	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	137.246	1.0	0.0417	NIST	L10678
38.26	Sr	XXVII	137.532	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	137.7	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	138.629	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	138.725	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	141.269	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	142.455	10.0	0.4167	NIST	L10765
38.26	Sr	XXVII	144.948	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	146.271	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	148.73	5.0	0.2083	NIST	L6990
38.26	Sr	XXVII	149.296	6.0	0.25	NIST	L10765
38.26	Sr	XXVII	149.374	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	150.726	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	150.945	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	152.349	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	152.94	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	153.575	11.0	0.4583	NIST	L10765
38.26	Sr	XXVII	154.346	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	154.611	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	154.698	4.0	0.1667	NIST	L10765
38.26	Sr	XXVII	155.39	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	157.064	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	158.21	24.0	1.0	NIST	L6990
38.26	Sr	XXVII	161.196	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	163.564	5.0	0.2083	NIST	L10765
38.26	Sr	XXVII	168.077	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	171.408	3.0	0.125	NIST	L10765
38.26	Sr	XXVII	178.524	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	180.96	18.0	0.75	NIST	L6990
38.26	Sr	XXVII	182.714	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	182.821	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	191.991	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	196.557	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	197.588	2.0	0.0833	NIST	L10765
38.26	Sr	XXVII	203.922	1.0	0.0417	NIST	L10765
38.26	Sr	XXVII	220.145	1.0	0.0417	NIST	L10765
