atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
43.00	Tc	I	2119.406	15.0	0.0008	NIST	L4515
43.00	Tc	I	2156.272	30.0	0.0015	NIST	L4515
43.00	Tc	I	2185.394	30.0	0.0015	NIST	L4515
43.00	Tc	I	2189.055	30.0	0.0015	NIST	L4515
43.00	Tc	I	2193.347	40.0	0.002	NIST	L4515
43.00	Tc	I	2282.121	10.0	0.0005	NIST	L149
43.00	Tc	I	2282.713	10.0	0.0005	NIST	L4515
43.00	Tc	I	2285.451	50.0	0.0025	NIST	L4515
43.00	Tc	I	2298.08	100.0	0.005	NIST	L4515
43.00	Tc	I	2416.217	30.0	0.0015	NIST	L4515
43.00	Tc	I	2423.228	50.0	0.0025	NIST	L4515
43.00	Tc	I	2424.538	20.0	0.001	NIST	L149
43.00	Tc	I	2435.829	20.0	0.001	NIST	L4515
43.00	Tc	I	2436.994	10.0	0.0005	NIST	L149
43.00	Tc	I	2463.694	80.0	0.004	NIST	L4515
43.00	Tc	I	2465.086	20.0	0.001	NIST	L149
43.00	Tc	I	2466.873	30.0	0.0015	NIST	L149
43.00	Tc	I	2475.107	20.0	0.001	NIST	L149
43.00	Tc	I	2480.699	50.0	0.0025	NIST	L149
43.00	Tc	I	2483.224	50.0	0.0025	NIST	L4515
43.00	Tc	I	2486.496	20.0	0.001	NIST	L149
43.00	Tc	I	2492.721	25.0	0.0013	NIST	L149
43.00	Tc	I	2493.432	20.0	0.001	NIST	L4515
43.00	Tc	I	2510.167	30.0	0.0015	NIST	L4515
43.00	Tc	I	2578.791	300.0	0.015	NIST	L149
43.00	Tc	I	2589.861	200.0	0.01	NIST	L149
43.00	Tc	I	2590.189	20.0	0.001	NIST	L4515
43.00	Tc	I	2592.816	100.0	0.005	NIST	L149
43.00	Tc	I	2608.855	500.0	0.025	NIST	L149
43.00	Tc	I	2614.233	1500.0	0.075	NIST	L149
43.00	Tc	I	2615.873	1000.0	0.05	NIST	L149
43.00	Tc	I	2618.279	30.0	0.0015	NIST	L4515
43.00	Tc	I	2636.357	80.0	0.004	NIST	L4515
43.00	Tc	I	2641.255	30.0	0.0015	NIST	L4515
43.00	Tc	I	2642.372	100.0	0.005	NIST	L149
43.00	Tc	I	2649.207	300.0	0.015	NIST	L4515
43.00	Tc	I	2653.566	30.0	0.0015	NIST	L4515
