atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
43.01	Tc	II	2106.23	15.0	0.015	NIST	L4515
43.01	Tc	II	2116.44	20.0	0.02	NIST	L4515
43.01	Tc	II	2266.22	10.0	0.01	NIST	L4515
43.01	Tc	II	2496.77	100.0	0.1	NIST	L4515
43.01	Tc	II	2529.34	80.0	0.08	NIST	L4515
43.01	Tc	II	2543.23	500.0	0.5	NIST	L4515
43.01	Tc	II	2544.81	60.0	0.06	NIST	L4515
43.01	Tc	II	2547.92	50.0	0.05	NIST	L4515
43.01	Tc	II	2558.61	50.0	0.05	NIST	L4515
43.01	Tc	II	2567.01	50.0	0.05	NIST	L4515
43.01	Tc	II	2575.06	30.0	0.03	NIST	L4515
43.01	Tc	II	2576.28	80.0	0.08	NIST	L4515
43.01	Tc	II	2577.86	40.0	0.04	NIST	L4515
43.01	Tc	II	2597.19	20.0	0.02	NIST	L4515
43.01	Tc	II	2609.99	1000.0	1.0	NIST	L4515
43.01	Tc	II	2634.91	200.0	0.2	NIST	L4515
43.01	Tc	II	2644.5	40.0	0.04	NIST	L4515
43.01	Tc	II	2647.01	1000.0	1.0	NIST	L4515
43.01	Tc	II	2652.35	100.0	0.1	NIST	L4515
43.01	Tc	II	2681.19	80.0	0.08	NIST	L4515
43.01	Tc	II	2702.96	40.0	0.04	NIST	L4515
43.01	Tc	II	2707.9	100.0	0.1	NIST	L4515
43.01	Tc	II	2736.83	60.0	0.06	NIST	L4515
43.01	Tc	II	2738.83	20.0	0.02	NIST	L4515
43.01	Tc	II	2777.31	20.0	0.02	NIST	L4515
43.01	Tc	II	2795.78	200.0	0.2	NIST	L4515
43.01	Tc	II	2809.65	50.0	0.05	NIST	L4515
43.01	Tc	II	2811.61	500.0	0.5	NIST	L4515
43.01	Tc	II	2821.35	100.0	0.1	NIST	L4515
43.01	Tc	II	2831.18	60.0	0.06	NIST	L4515
43.01	Tc	II	2840.38	50.0	0.05	NIST	L4515
43.01	Tc	II	2846.39	10.0	0.01	NIST	L4515
43.01	Tc	II	2889.2	30.0	0.03	NIST	L4515
43.01	Tc	II	2923.34	20.0	0.02	NIST	L4515
43.01	Tc	II	3037.9	20.0	0.02	NIST	L4515
43.01	Tc	II	3195.2	800.0	0.8	NIST	L4515
43.01	Tc	II	3212.02	1000.0	1.0	NIST	L4515
43.01	Tc	II	3237.02	1000.0	1.0	NIST	L4515
43.01	Tc	II	3298.84	30.0	0.03	NIST	L4515
43.01	Tc	II	4274.97	800.0	0.8	NIST	L4515
