atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
52.00	Te	I	1655.4	200000.0	0.027	NIST	L7363
52.00	Te	I	1688.5	400000.0	0.0541	NIST	L7363
52.00	Te	I	1699.9	1200000.0	0.1622	NIST	L5704
52.00	Te	I	1708.06	240000.0	0.0324	NIST	L5704
52.00	Te	I	1750.88	850000.0	0.1149	NIST	L5704
52.00	Te	I	1759.232	420000.0	0.0568	NIST	L5789
52.00	Te	I	1775.0	350000.0	0.0473	NIST	L7363
52.00	Te	I	1796.04	640000.0	0.0865	NIST	L5704
52.00	Te	I	1822.151	3400000.0	0.4595	NIST	L5789
52.00	Te	I	1825.5	260000.0	0.0351	NIST	L7363
52.00	Te	I	1850.481	190000.0	0.0257	NIST	L5789
52.00	Te	I	1852.013	190000.0	0.0257	NIST	L5789
52.00	Te	I	1853.71	180000.0	0.0243	NIST	L5704
52.00	Te	I	1857.279	500000.0	0.0676	NIST	L5789
52.00	Te	I	1860.5	61000.0	0.0082	NIST	L5704
52.00	Te	I	1994.841	320000.0	0.0432	NIST	L5789
52.00	Te	I	2000.26	190000.0	0.0257	NIST	L5704
52.00	Te	I	2002.019	530000.0	0.0716	NIST	L5789
52.00	Te	I	2071.06	90000.0	0.0122	NIST	L5813
52.00	Te	I	2081.17	340000.0	0.0459	NIST	L5813
52.00	Te	I	2142.81	7400000.0	1.0	NIST	L3475
52.00	Te	I	2147.25	190000.0	0.0257	NIST	L3475
52.00	Te	I	2159.86	77000.0	0.0104	NIST	L5813
52.00	Te	I	2208.83	58000.0	0.0078	NIST	L17457
52.00	Te	I	2255.52	130000.0	0.0176	NIST	L5813
52.00	Te	I	2259.03	970000.0	0.1311	NIST	L3475
52.00	Te	I	2265.53	140000.0	0.0189	NIST	L5813
52.00	Te	I	2383.28	930000.0	0.1257	NIST	L5813
52.00	Te	I	2385.79	1200000.0	0.1622	NIST	L5813
52.00	Te	I	2530.74	190000.0	0.0257	NIST	L5813
52.00	Te	I	2677.13	98000.0	0.0132	NIST	L3475
52.00	Te	I	2769.65	57000.0	0.0077	NIST	L7363
52.00	Te	I	3175.15	3400.0	0.0005	NIST	L7363
52.00	Te	I	5082.88	130.0	0.0	NIST	L5813
52.00	Te	I	5148.77	130.0	0.0	NIST	L5813
52.00	Te	I	5733.6	160.0	0.0	NIST	L5813
52.00	Te	I	5789.22	140.0	0.0	NIST	L17457
52.00	Te	I	6273.5	200.0	0.0	NIST	L3315
52.00	Te	I	6349.52	330.0	0.0	NIST	L17457
52.00	Te	I	6406.19	210.0	0.0	NIST	L5813
52.00	Te	I	6456.7	280.0	0.0	NIST	L3315
52.00	Te	I	6613.4	290.0	0.0	NIST	L3315
52.00	Te	I	6690.14	290.0	0.0	NIST	L17457
52.00	Te	I	6790.0	300.0	0.0	NIST	L3315
52.00	Te	I	6837.65	430.0	0.0001	NIST	L17457
52.00	Te	I	6853.88	300.0	0.0	NIST	L17457
52.00	Te	I	7191.08	400.0	0.0001	NIST	L17457
52.00	Te	I	7263.8	400.0	0.0001	NIST	L3546
52.00	Te	I	7280.9	190.0	0.0	NIST	L3315
52.00	Te	I	7556.8	270.0	0.0	NIST	L3315
52.00	Te	I	7759.1	430.0	0.0001	NIST	L3315
52.00	Te	I	7972.9	560.0	0.0001	NIST	L3315
52.00	Te	I	8061.4	1100.0	0.0001	NIST	L3315
52.00	Te	I	8082.5	360.0	0.0	NIST	L3315
52.00	Te	I	8251.6	330.0	0.0	NIST	L3315
52.00	Te	I	8276.6	330.0	0.0	NIST	L3315
52.00	Te	I	8290.1	330.0	0.0	NIST	L3315
52.00	Te	I	8356.0	520.0	0.0001	NIST	L3315
52.00	Te	I	8469.8	220.0	0.0	NIST	L3315
52.00	Te	I	8492.2	260.0	0.0	NIST	L3315
52.00	Te	I	8500.8	190.0	0.0	NIST	L3315
52.00	Te	I	8521.4	390.0	0.0001	NIST	L3315
52.00	Te	I	8632.2	250.0	0.0	NIST	L3315
52.00	Te	I	8701.09	620.0	0.0001	NIST	L3682
52.00	Te	I	8758.183	5100.0	0.0007	NIST	L3682
52.00	Te	I	8831.521	450.0	0.0001	NIST	L3682
