atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
52.01	Te	II	796.953	31000.0	0.0633	NIST	L15043
52.01	Te	II	799.574	42000.0	0.0857	NIST	L15043
52.01	Te	II	802.269	34000.0	0.0694	NIST	L15043
52.01	Te	II	803.474	15000.0	0.0306	NIST	L15043
52.01	Te	II	804.679	18000.0	0.0367	NIST	L15043
52.01	Te	II	805.906	8500.0	0.0173	NIST	L15043
52.01	Te	II	815.183	14000.0	0.0286	NIST	L15043
52.01	Te	II	818.345	24000.0	0.049	NIST	L15043
52.01	Te	II	822.908	26000.0	0.0531	NIST	L15043
52.01	Te	II	824.071	21000.0	0.0429	NIST	L15043
52.01	Te	II	825.247	31000.0	0.0633	NIST	L15043
52.01	Te	II	825.706	29000.0	0.0592	NIST	L15043
52.01	Te	II	826.005	24000.0	0.049	NIST	L15043
52.01	Te	II	829.049	25000.0	0.051	NIST	L15043
52.01	Te	II	846.555	11000.0	0.0224	NIST	L15043
52.01	Te	II	848.452	9000.0	0.0184	NIST	L15043
52.01	Te	II	851.23	16000.0	0.0327	NIST	L15043
52.01	Te	II	855.893	34000.0	0.0694	NIST	L15043
52.01	Te	II	859.864	18000.0	0.0367	NIST	L15043
52.01	Te	II	864.299	14000.0	0.0286	NIST	L15043
52.01	Te	II	864.426	11000.0	0.0224	NIST	L15043
52.01	Te	II	869.289	17000.0	0.0347	NIST	L15043
52.01	Te	II	873.947	28000.0	0.0571	NIST	L15043
52.01	Te	II	876.44	29000.0	0.0592	NIST	L15043
52.01	Te	II	878.249	33000.0	0.0673	NIST	L15043
52.01	Te	II	880.717	36000.0	0.0735	NIST	L15043
52.01	Te	II	881.181	37000.0	0.0755	NIST	L15043
52.01	Te	II	886.074	10000.0	0.0204	NIST	L15043
52.01	Te	II	886.134	11000.0	0.0224	NIST	L15043
52.01	Te	II	887.754	22000.0	0.0449	NIST	L15043
52.01	Te	II	891.075	32000.0	0.0653	NIST	L15043
52.01	Te	II	893.053	120000.0	0.2449	NIST	L15043
52.01	Te	II	895.56	36000.0	0.0735	NIST	L15043
52.01	Te	II	900.409	18000.0	0.0367	NIST	L15043
52.01	Te	II	901.833	55000.0	0.1122	NIST	L15043
52.01	Te	II	902.192	12000.0	0.0245	NIST	L15043
52.01	Te	II	907.969	53000.0	0.1082	NIST	L15043
52.01	Te	II	919.51	61000.0	0.1245	NIST	L15043
52.01	Te	II	923.825	41000.0	0.0837	NIST	L15043
52.01	Te	II	927.743	64000.0	0.1306	NIST	L15043
52.01	Te	II	929.918	34000.0	0.0694	NIST	L15043
52.01	Te	II	930.042	70000.0	0.1429	NIST	L15043
52.01	Te	II	934.848	33000.0	0.0673	NIST	L15043
52.01	Te	II	937.96	40000.0	0.0816	NIST	L15043
52.01	Te	II	942.62	250000.0	0.5102	NIST	L3546
52.01	Te	II	943.413	35000.0	0.0714	NIST	L15043
52.01	Te	II	943.629	23000.0	0.0469	NIST	L15043
52.01	Te	II	944.255	25000.0	0.051	NIST	L15043
52.01	Te	II	945.559	33000.0	0.0673	NIST	L15043
52.01	Te	II	948.056	54000.0	0.1102	NIST	L15043
52.01	Te	II	953.109	48000.0	0.098	NIST	L15043
52.01	Te	II	953.818	53000.0	0.1082	NIST	L15043
52.01	Te	II	961.077	34000.0	0.0694	NIST	L15043
52.01	Te	II	965.824	30000.0	0.0612	NIST	L15043
52.01	Te	II	968.251	46000.0	0.0939	NIST	L15043
52.01	Te	II	973.668	120000.0	0.2449	NIST	L15043
52.01	Te	II	974.628	64000.0	0.1306	NIST	L15043
52.01	Te	II	975.716	27000.0	0.0551	NIST	L15043
52.01	Te	II	978.049	45000.0	0.0918	NIST	L15043
52.01	Te	II	979.161	92000.0	0.1878	NIST	L15043
52.01	Te	II	983.929	130000.0	0.2653	NIST	L15043
52.01	Te	II	988.71	110000.0	0.2245	NIST	L15043
52.01	Te	II	989.423	120000.0	0.2449	NIST	L15043
52.01	Te	II	992.651	120000.0	0.2449	NIST	L15043
52.01	Te	II	993.891	66000.0	0.1347	NIST	L15043
52.01	Te	II	999.479	59000.0	0.1204	NIST	L15043
52.01	Te	II	1003.76	89000.0	0.1816	NIST	L15043
52.01	Te	II	1007.766	150000.0	0.3061	NIST	L15043
52.01	Te	II	1014.223	140000.0	0.2857	NIST	L15043
52.01	Te	II	1022.713	140000.0	0.2857	NIST	L15043
52.01	Te	II	1023.397	180000.0	0.3673	NIST	L15043
52.01	Te	II	1025.782	91000.0	0.1857	NIST	L15043
