atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
90.01	Th	II	2740.47225	210.0	0.005	NIST	L5951
90.01	Th	II	2743.06356	1000.0	0.0238	NIST	L5951
90.01	Th	II	2748.80507	440.0	0.0105	NIST	L5951
90.01	Th	II	2749.53079	750.0	0.0179	NIST	L5951
90.01	Th	II	2749.71375	620.0	0.0148	NIST	L5951
90.01	Th	II	2750.08049	280.0	0.0067	NIST	L5951
90.01	Th	II	2751.57312	270.0	0.0064	NIST	L5951
90.01	Th	II	2751.75349	120.0	0.0029	NIST	L5951
90.01	Th	II	2752.16655	2800.0	0.0667	NIST	L5951
90.01	Th	II	2755.9555	430.0	0.0102	NIST	L5951
90.01	Th	II	2759.40805	590.0	0.014	NIST	L5951
90.01	Th	II	2759.72047	130.0	0.0031	NIST	L5951
90.01	Th	II	2760.39	980.0	0.0233	NIST	L5951
90.01	Th	II	2763.60538	640.0	0.0152	NIST	L5951
90.01	Th	II	2764.63644	720.0	0.0171	NIST	L5951
90.01	Th	II	2765.12338	640.0	0.0152	NIST	L5951
90.01	Th	II	2765.88066	130.0	0.0031	NIST	L5951
90.01	Th	II	2768.84151	2300.0	0.0548	NIST	L5951
90.01	Th	II	2770.13017	140.0	0.0033	NIST	L5951
90.01	Th	II	2770.81524	1400.0	0.0333	NIST	L5951
90.01	Th	II	2771.45966	390.0	0.0093	NIST	L5951
90.01	Th	II	2771.51107	840.0	0.02	NIST	L5951
90.01	Th	II	2772.00998	160.0	0.0038	NIST	L5951
90.01	Th	II	2773.01831	94.0	0.0022	NIST	L5951
90.01	Th	II	2773.95129	830.0	0.0198	NIST	L5951
90.01	Th	II	2774.066	250.0	0.006	NIST	L5951
90.01	Th	II	2774.83752	350.0	0.0083	NIST	L5951
90.01	Th	II	2775.01413	130.0	0.0031	NIST	L5951
90.01	Th	II	2775.4687	110.0	0.0026	NIST	L5951
90.01	Th	II	2777.80029	500.0	0.0119	NIST	L5951
90.01	Th	II	2778.021	110.0	0.0026	NIST	L5951
90.01	Th	II	2778.06075	240.0	0.0057	NIST	L5951
90.01	Th	II	2778.22637	120.0	0.0029	NIST	L5951
90.01	Th	II	2778.70444	610.0	0.0145	NIST	L5951
90.01	Th	II	2780.40799	660.0	0.0157	NIST	L5951
90.01	Th	II	2780.69983	580.0	0.0138	NIST	L5951
90.01	Th	II	2782.36461	140.0	0.0033	NIST	L5951
90.01	Th	II	2782.81339	160.0	0.0038	NIST	L5951
90.01	Th	II	2783.04921	720.0	0.0171	NIST	L5951
90.01	Th	II	2783.39706	280.0	0.0067	NIST	L5951
90.01	Th	II	2783.48947	250.0	0.006	NIST	L5951
90.01	Th	II	2783.9302	76.0	0.0018	NIST	L5951
90.01	Th	II	2784.0601	430.0	0.0102	NIST	L5951
90.01	Th	II	2784.4966	79.0	0.0019	NIST	L5951
90.01	Th	II	2784.97479	300.0	0.0071	NIST	L5951
90.01	Th	II	2785.54508	120.0	0.0029	NIST	L5951
90.01	Th	II	2785.60827	130.0	0.0031	NIST	L5951
90.01	Th	II	2786.23939	320.0	0.0076	NIST	L5951
90.01	Th	II	2786.68248	270.0	0.0064	NIST	L5951
90.01	Th	II	2786.91195	800.0	0.019	NIST	L5951
90.01	Th	II	2787.12806	690.0	0.0164	NIST	L5951
90.01	Th	II	2787.66649	380.0	0.009	NIST	L5951
90.01	Th	II	2788.68475	250.0	0.006	NIST	L5951
90.01	Th	II	2790.42118	330.0	0.0079	NIST	L5951
90.01	Th	II	2791.01251	300.0	0.0071	NIST	L5951
90.01	Th	II	2791.42939	180.0	0.0043	NIST	L5951
90.01	Th	II	2791.6774	86.0	0.002	NIST	L5951
90.01	Th	II	2792.04922	97.0	0.0023	NIST	L5951
90.01	Th	II	2793.56891	110.0	0.0026	NIST	L5951
90.01	Th	II	2794.01959	110.0	0.0026	NIST	L5951
90.01	Th	II	2794.25504	640.0	0.0152	NIST	L5951
90.01	Th	II	2797.02262	330.0	0.0079	NIST	L5951
90.01	Th	II	2797.73624	460.0	0.011	NIST	L5951
90.01	Th	II	2798.26568	480.0	0.0114	NIST	L5951
90.01	Th	II	2798.50483	110.0	0.0026	NIST	L5951
90.01	Th	II	2799.11386	410.0	0.0098	NIST	L5951
90.01	Th	II	2800.24961	130.0	0.0031	NIST	L5951
90.01	Th	II	2800.569	390.0	0.0093	NIST	L5951
90.01	Th	II	2802.27705	170.0	0.004	NIST	L5951
90.01	Th	II	2803.37748	170.0	0.004	NIST	L5951
90.01	Th	II	2804.20831	170.0	0.004	NIST	L5951
90.01	Th	II	2807.04769	130.0	0.0031	NIST	L5951
90.01	Th	II	2807.71421	370.0	0.0088	NIST	L5951
90.01	Th	II	2807.82691	750.0	0.0179	NIST	L5951
90.01	Th	II	2808.86335	160.0	0.0038	NIST	L5951
90.01	Th	II	2808.89279	140.0	0.0033	NIST	L5951
90.01	Th	II	2808.9764	580.0	0.0138	NIST	L5951
90.01	Th	II	2808.99877	520.0	0.0124	NIST	L5951
90.01	Th	II	2811.4134	87.0	0.0021	NIST	L5951
90.01	Th	II	2812.28043	120.0	0.0029	NIST	L5951
90.01	Th	II	2812.42562	100.0	0.0024	NIST	L5951
90.01	Th	II	2814.3189	390.0	0.0093	NIST	L5951
90.01	Th	II	2814.46939	150.0	0.0036	NIST	L5951
90.01	Th	II	2814.57539	560.0	0.0133	NIST	L5951
90.01	Th	II	2816.07	240.0	0.0057	NIST	L5951
90.01	Th	II	2816.9276	88.0	0.0021	NIST	L5951
90.01	Th	II	2817.13492	120.0	0.0029	NIST	L5951
90.01	Th	II	2819.32269	450.0	0.0107	NIST	L5951
90.01	Th	II	2820.33494	260.0	0.0062	NIST	L5951
90.01	Th	II	2821.60441	250.0	0.006	NIST	L5951
90.01	Th	II	2822.02488	620.0	0.0148	NIST	L5951
90.01	Th	II	2822.18051	210.0	0.005	NIST	L5951
90.01	Th	II	2822.2748	77.0	0.0018	NIST	L5951
90.01	Th	II	2822.35755	160.0	0.0038	NIST	L5951
90.01	Th	II	2822.40592	120.0	0.0029	NIST	L5951
90.01	Th	II	2822.55881	310.0	0.0074	NIST	L5951
90.01	Th	II	2822.68732	140.0	0.0033	NIST	L5951
90.01	Th	II	2823.13258	250.0	0.006	NIST	L5951
90.01	Th	II	2823.55476	120.0	0.0029	NIST	L5951
90.01	Th	II	2825.37662	190.0	0.0045	NIST	L5951
90.01	Th	II	2825.944	160.0	0.0038	NIST	L5951
90.01	Th	II	2826.85488	840.0	0.02	NIST	L5951
90.01	Th	II	2827.28154	140.0	0.0033	NIST	L5951
90.01	Th	II	2827.75527	330.0	0.0079	NIST	L5951
90.01	Th	II	2827.98913	290.0	0.0069	NIST	L5951
90.01	Th	II	2829.43409	120.0	0.0029	NIST	L5951
90.01	Th	II	2829.93265	260.0	0.0062	NIST	L5951
90.01	Th	II	2830.44162	390.0	0.0093	NIST	L5951
90.01	Th	II	2831.2086	130.0	0.0031	NIST	L5951
90.01	Th	II	2832.01091	140.0	0.0033	NIST	L5951
90.01	Th	II	2832.31527	4800.0	0.1143	NIST	L5951
90.01	Th	II	2833.33353	350.0	0.0083	NIST	L5951
90.01	Th	II	2833.53306	160.0	0.0038	NIST	L5951
90.01	Th	II	2834.48209	620.0	0.0148	NIST	L5951
90.01	Th	II	2834.53139	300.0	0.0071	NIST	L5951
90.01	Th	II	2834.77755	130.0	0.0031	NIST	L5951
90.01	Th	II	2836.04697	860.0	0.0205	NIST	L5951
90.01	Th	II	2836.20554	120.0	0.0029	NIST	L5951
90.01	Th	II	2836.3891	150.0	0.0036	NIST	L5951
90.01	Th	II	2836.43633	220.0	0.0052	NIST	L5951
90.01	Th	II	2837.20153	110.0	0.0026	NIST	L5951
90.01	Th	II	2837.2554	120.0	0.0029	NIST	L5951
90.01	Th	II	2837.29533	7400.0	0.1762	NIST	L5951
90.01	Th	II	2839.24148	370.0	0.0088	NIST	L5951
90.01	Th	II	2839.33664	180.0	0.0043	NIST	L5951
90.01	Th	II	2839.60666	280.0	0.0067	NIST	L5951
90.01	Th	II	2840.15613	520.0	0.0124	NIST	L5951
90.01	Th	II	2841.16353	550.0	0.0131	NIST	L5951
90.01	Th	II	2841.81212	140.0	0.0033	NIST	L5951
90.01	Th	II	2842.67526	220.0	0.0052	NIST	L5951
90.01	Th	II	2842.81264	1700.0	0.0405	NIST	L5951
90.01	Th	II	2843.05775	120.0	0.0029	NIST	L5951
90.01	Th	II	2843.30528	110.0	0.0026	NIST	L5951
90.01	Th	II	2845.18663	210.0	0.005	NIST	L5951
90.01	Th	II	2845.83335	300.0	0.0071	NIST	L5951
90.01	Th	II	2846.53137	240.0	0.0057	NIST	L5951
90.01	Th	II	2847.35438	590.0	0.014	NIST	L5951
90.01	Th	II	2847.88966	140.0	0.0033	NIST	L5951
90.01	Th	II	2848.01244	360.0	0.0086	NIST	L5951
90.01	Th	II	2849.169	82.0	0.002	NIST	L5951
90.01	Th	II	2851.11882	150.0	0.0036	NIST	L5951
90.01	Th	II	2851.25897	2100.0	0.05	NIST	L5951
90.01	Th	II	2851.44276	500.0	0.0119	NIST	L5951
90.01	Th	II	2852.50031	370.0	0.0088	NIST	L5951
90.01	Th	II	2852.98154	110.0	0.0026	NIST	L5951
90.01	Th	II	2854.13263	500.0	0.0119	NIST	L5951
90.01	Th	II	2854.91717	280.0	0.0067	NIST	L5951
90.01	Th	II	2855.8671	79.0	0.0019	NIST	L5951
90.01	Th	II	2855.90393	310.0	0.0074	NIST	L5951
90.01	Th	II	2857.262	30.0	0.0007	NIST	L2372
90.01	Th	II	2857.3981	120.0	0.0029	NIST	L2372
90.01	Th	II	2857.49075	290.0	0.0069	NIST	L5951
90.01	Th	II	2857.599	30.0	0.0007	NIST	L2372
90.01	Th	II	2858.915	230.0	0.0055	NIST	L2372
90.01	Th	II	2859.6911	14.0	0.0003	NIST	L2372
90.01	Th	II	2861.27046	160.0	0.0038	NIST	L5951
90.01	Th	II	2861.32957	680.0	0.0162	NIST	L5951
90.01	Th	II	2861.3908	81.0	0.0019	NIST	L5951
90.01	Th	II	2861.41462	860.0	0.0205	NIST	L5951
90.01	Th	II	2861.442	120.0	0.0029	NIST	L2372
90.01	Th	II	2862.00681	220.0	0.0052	NIST	L5951
90.01	Th	II	2862.52694	210.0	0.005	NIST	L5951
90.01	Th	II	2862.61	4400.0	0.1048	NIST	L2372
90.01	Th	II	2862.646	43.0	0.001	NIST	L2372
90.01	Th	II	2862.732	14.0	0.0003	NIST	L2372
90.01	Th	II	2863.0691	14.0	0.0003	NIST	L2372
90.01	Th	II	2864.65642	850.0	0.0202	NIST	L5951
90.01	Th	II	2864.98	28.0	0.0007	NIST	L2372
90.01	Th	II	2865.2432	110.0	0.0026	NIST	L5951
90.01	Th	II	2866.4066	190.0	0.0045	NIST	L5951
90.01	Th	II	2866.65124	300.0	0.0071	NIST	L5951
90.01	Th	II	2867.0273	70.0	0.0017	NIST	L5951
90.01	Th	II	2867.067	140.0	0.0033	NIST	L2372
90.01	Th	II	2867.1201	69.0	0.0016	NIST	L2372
90.01	Th	II	2867.9201	69.0	0.0016	NIST	L2372
90.01	Th	II	2868.41655	100.0	0.0024	NIST	L5951
90.01	Th	II	2868.68097	210.0	0.005	NIST	L5951
90.01	Th	II	2869.528	26.0	0.0006	NIST	L2372
90.01	Th	II	2869.91513	470.0	0.0112	NIST	L5951
90.01	Th	II	2870.04952	130.0	0.0031	NIST	L5951
90.01	Th	II	2870.28471	110.0	0.0026	NIST	L5951
90.01	Th	II	2870.40648	3400.0	0.081	NIST	L5951
90.01	Th	II	2870.82254	330.0	0.0079	NIST	L5951
90.01	Th	II	2871.105	64.0	0.0015	NIST	L2372
90.01	Th	II	2871.7541	38.0	0.0009	NIST	L2372
90.01	Th	II	2872.2671	25.0	0.0006	NIST	L2372
90.01	Th	II	2872.441	25.0	0.0006	NIST	L2372
90.01	Th	II	2873.168	24.0	0.0006	NIST	L2372
90.01	Th	II	2873.71531	97.0	0.0023	NIST	L5951
90.01	Th	II	2874.62506	96.0	0.0023	NIST	L5951
90.01	Th	II	2874.753	23.0	0.0005	NIST	L2372
90.01	Th	II	2874.9147	430.0	0.0102	NIST	L5951
90.01	Th	II	2875.64164	640.0	0.0152	NIST	L5951
90.01	Th	II	2876.41769	340.0	0.0081	NIST	L5951
90.01	Th	II	2876.658	34.0	0.0008	NIST	L2372
90.01	Th	II	2877.3871	91.0	0.0022	NIST	L5951
90.01	Th	II	2878.6437	78.0	0.0019	NIST	L5951
90.01	Th	II	2879.18187	97.0	0.0023	NIST	L5951
90.01	Th	II	2879.20558	120.0	0.0029	NIST	L5951
90.01	Th	II	2879.5321	170.0	0.004	NIST	L5951
90.01	Th	II	2879.958	22.0	0.0005	NIST	L2372
90.01	Th	II	2880.313	11.0	0.0003	NIST	L2372
90.01	Th	II	2881.13832	250.0	0.006	NIST	L5951
90.01	Th	II	2882.00931	560.0	0.0133	NIST	L5951
90.01	Th	II	2882.191	10.0	0.0002	NIST	L2372
90.01	Th	II	2882.354	87.0	0.0021	NIST	L2372
90.01	Th	II	2882.4031	10.0	0.0002	NIST	L2372
90.01	Th	II	2882.51185	180.0	0.0043	NIST	L5951
90.01	Th	II	2882.9591	21.0	0.0005	NIST	L2372
90.01	Th	II	2883.184	21.0	0.0005	NIST	L2372
90.01	Th	II	2883.446	54.0	0.0013	NIST	L2372
90.01	Th	II	2883.6193	150.0	0.0036	NIST	L5951
90.01	Th	II	2884.28959	2000.0	0.0476	NIST	L5951
90.01	Th	II	2885.04903	2600.0	0.0619	NIST	L5951
90.01	Th	II	2885.9698	86.0	0.002	NIST	L5951
90.01	Th	II	2886.24283	210.0	0.005	NIST	L5951
90.01	Th	II	2886.50604	330.0	0.0079	NIST	L5951
90.01	Th	II	2886.7851	19.0	0.0005	NIST	L2372
90.01	Th	II	2887.8175	1700.0	0.0405	NIST	L5951
90.01	Th	II	2888.0448	96.0	0.0023	NIST	L5951
90.01	Th	II	2888.904	46.0	0.0011	NIST	L2372
90.01	Th	II	2889.181	920.0	0.0219	NIST	L2372
90.01	Th	II	2889.5641	9.0	0.0002	NIST	L2372
90.01	Th	II	2890.1881	45.0	0.0011	NIST	L2372
90.01	Th	II	2890.3161	9.0	0.0002	NIST	L2372
90.01	Th	II	2890.48	45.0	0.0011	NIST	L2372
90.01	Th	II	2890.589	27.0	0.0006	NIST	L2372
90.01	Th	II	2890.888	72.0	0.0017	NIST	L5951
90.01	Th	II	2891.1286	79.0	0.0019	NIST	L5951
90.01	Th	II	2891.2493	1000.0	0.0238	NIST	L5951
90.01	Th	II	2891.73	540.0	0.0129	NIST	L5951
90.01	Th	II	2891.8164	610.0	0.0145	NIST	L5951
