atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
90.03	Th	IV	797.53	4.0	0.02	NIST	L3508
90.03	Th	IV	835.55	1.0	0.005	NIST	L3508
90.03	Th	IV	846.91	30.0	0.15	NIST	L7373
90.03	Th	IV	854.02	1.0	0.005	NIST	L3508
90.03	Th	IV	882.39	30.0	0.15	NIST	L7373
90.03	Th	IV	886.66	12.0	0.06	NIST	L7373
90.03	Th	IV	1565.85	100.0	0.5	NIST	L3508
90.03	Th	IV	1682.22	70.0	0.35	NIST	L3508
90.03	Th	IV	1684.01	30.0	0.15	NIST	L3508
90.03	Th	IV	1707.37	150.0	0.75	NIST	L3508
90.03	Th	IV	1959.02	200.0	1.0	NIST	L3508
90.03	Th	IV	2002.34	200.0	1.0	NIST	L3508
90.03	Th	IV	2066.7	100.0	0.5	NIST	L3508
90.03	Th	IV	2143.91	20.0	0.1	NIST	L3508
90.03	Th	IV	2146.81	30.0	0.15	NIST	L3508
90.03	Th	IV	2242.11	1.0	0.005	NIST	L3508
90.03	Th	IV	2261.26	2.0	0.01	NIST	L3508
90.03	Th	IV	2296.81	5.0	0.025	NIST	L3508
90.03	Th	IV	2693.99	100.0	0.5	NIST	L3508
90.03	Th	IV	4937.09	2.0	0.01	NIST	L3508
90.03	Th	IV	4952.52	4.0	0.02	NIST	L3508
90.03	Th	IV	5420.38	3.0	0.015	NIST	L3508
90.03	Th	IV	6711.87	2.0	0.01	NIST	L3508
90.03	Th	IV	6740.37	3.0	0.015	NIST	L3508
90.03	Th	IV	6901.16	50.0	0.25	NIST	L3508
